Date,Close,Open,High,Low,Vol.
2024-06-06,48000.0,47550.0,48000.0,47200.0,13131270.0
2024-06-05,47500.0,47700.0,47750.0,47200.0,12931100.0
2024-06-04,47600.0,47500.0,47800.0,47000.0,12239000.0
2024-06-03,47150.0,47500.0,47700.0,47100.0,12291000.0
2024-05-31,47000.0,46800.0,47000.0,46300.0,7954200.0
2024-05-30,46800.0,46050.0,46800.0,45850.0,7641700.0
2024-05-29,46500.0,47000.0,47050.0,46400.0,7308600.0
2024-05-28,46900.0,46500.0,46950.0,46300.0,6014900.0
2024-05-27,46500.0,46400.0,46600.0,46000.0,5077700.0
2024-05-24,46400.0,46150.0,47250.0,45800.0,21753600.0
2024-05-23,46500.0,46300.0,46650.0,45850.0,7238900.0
2024-05-22,46400.0,47250.0,47500.0,46350.0,15355900.0
2024-05-21,47200.0,48100.0,48200.0,47050.0,19123500.0
2024-05-20,49700.0,49950.0,50500.0,49550.0,11449600.0
2024-05-17,49750.0,49750.0,50000.0,49650.0,6345600.0
2024-05-16,49900.0,48500.0,49950.0,48400.0,20864900.0
2024-05-15,48100.0,47900.0,48150.0,47750.0,9678900.0
2024-05-14,47900.0,48450.0,48450.0,47850.0,7472800.0
2024-05-13,48400.0,48500.0,48650.0,48000.0,6004900.0
2024-05-10,48500.0,48800.0,48800.0,47900.0,7679300.0
2024-05-09,48450.0,48600.0,48900.0,47800.0,8705600.0
2024-05-08,48200.0,47900.0,49200.0,47300.0,15386300.0
2024-05-07,47900.0,48350.0,48350.0,47700.0,9058500.0
2024-05-06,50000.0,48500.0,50000.0,47900.0,7910000.0
2024-05-03,48650.0,47000.0,48800.0,46950.0,13660000.0
2024-05-02,46850.0,48000.0,48000.0,43350.0,4350000.0
2024-04-26,47530.0,49350.0,49350.0,45650.0,5680000.0
2024-04-25,43750.0,48410.0,48410.0,43750.0,7160000.0
2024-04-24,47000.0,48500.0,48500.0,46400.0,7530000.0
2024-04-23,46200.0,45450.0,47500.0,45350.0,15590000.0
2024-04-22,45250.0,44500.0,45830.0,44500.0,6810000.0
2024-04-19,43870.0,44750.0,45000.0,43350.0,14440000.0
2024-04-17,44850.0,45800.0,46860.0,44650.0,7450000.0
2024-04-16,45500.0,41300.0,45730.0,41300.0,15150000.0
2024-04-15,45000.0,47400.0,47450.0,44200.0,13740000.0
2024-04-12,47400.0,45550.0,47400.0,42500.0,13460000.0
2024-04-11,45100.0,45650.0,48800.0,43000.0,11370000.0
2024-04-10,45650.0,46000.0,47170.0,45500.0,7750000.0
2024-04-09,45800.0,45500.0,45800.0,44500.0,5380000.0
2024-04-08,45500.0,45150.0,46550.0,44900.0,9960000.0
2024-04-05,45200.0,45900.0,46000.0,42800.0,12130000.0
2024-04-04,46000.0,45800.0,47730.0,45800.0,10760000.0
2024-04-03,44500.0,47650.0,49000.0,44350.0,8780000.0
2024-04-02,47650.0,48000.0,50700.0,44150.0,13560000.0
2024-04-01,44250.0,47200.0,47700.0,44250.0,8560000.0
2024-03-29,47550.0,48500.0,48500.0,44650.0,6400000.0
2024-03-28,47600.0,48700.0,48700.0,47600.0,30020000.0
2024-03-27,45950.0,47320.0,48240.0,44700.0,4640000.0
2024-03-26,45950.0,44800.0,47900.0,42100.0,7760000.0
2024-03-25,45000.0,46550.0,48000.0,41800.0,10740000.0
2024-03-22,44900.0,45100.0,48000.0,41950.0,10790000.0
2024-03-21,45100.0,42600.0,45100.0,42600.0,16920000.0
2024-03-20,42300.0,40400.0,42450.0,40050.0,16880000.0
2024-03-19,40300.0,40200.0,40400.0,39600.0,5330000.0
2024-03-18,40100.0,41200.0,41200.0,39400.0,11300000.0
2024-03-15,41400.0,41250.0,41650.0,40400.0,7540000.0
2024-03-14,41400.0,42100.0,42100.0,41250.0,6640000.0
2024-03-13,42000.0,41200.0,42000.0,40950.0,7890000.0
2024-03-12,41200.0,40350.0,41300.0,40100.0,8500000.0
2024-03-11,40400.0,40900.0,41200.0,39900.0,11180000.0
2024-03-08,41000.0,42450.0,42600.0,41000.0,20130000.0
2024-03-07,42600.0,42850.0,43300.0,42400.0,7210000.0
2024-03-06,42650.0,42050.0,43500.0,41800.0,8540000.0
