Date,Close,Open,High,Low,Vol.
2024-06-06,39050.0,39400.0,39600.0,39000.0,5109000.0
2024-06-05,39300.0,39550.0,39900.0,39300.0,13914300.0
2024-06-04,39400.0,39400.0,40200.0,39400.0,7955300.0
2024-06-03,39300.0,39200.0,39400.0,39100.0,5242000.0
2024-05-31,38850.0,39200.0,39650.0,38850.0,21184734.0
2024-05-30,39000.0,39450.0,39500.0,39000.0,6423700.0
2024-05-29,39450.0,40000.0,40100.0,39450.0,8152400.0
2024-05-28,39950.0,39850.0,40050.0,39750.0,5598700.0
2024-05-27,39800.0,39850.0,40050.0,39750.0,4742900.0
2024-05-24,39800.0,40400.0,40550.0,39750.0,12955200.0
2024-05-23,40550.0,40450.0,40550.0,40100.0,6387700.0
2024-05-22,40350.0,40200.0,41650.0,40200.0,11927800.0
2024-05-21,40200.0,40500.0,40750.0,40050.0,11760200.0
2024-05-20,40450.0,41050.0,41250.0,40450.0,9537100.0
2024-05-17,40850.0,40350.0,41200.0,40200.0,16136900.0
2024-05-16,40250.0,40300.0,40400.0,40150.0,8379700.0
2024-05-15,40250.0,40200.0,40400.0,40050.0,6594800.0
2024-05-14,40150.0,41100.0,41250.0,40150.0,6866000.0
2024-05-13,40100.0,40450.0,40550.0,39700.0,9093900.0
2024-05-10,40350.0,41000.0,41100.0,40350.0,7276500.0
2024-05-09,40950.0,41000.0,41750.0,40850.0,7299700.0
2024-05-08,40900.0,41000.0,41000.0,40500.0,28104400.0
2024-05-07,41050.0,41250.0,41250.0,40900.0,4514800.0
2024-05-06,41150.0,41400.0,41400.0,40850.0,4940000.0
2024-05-03,41100.0,41150.0,41500.0,40850.0,4390000.0
2024-05-02,41150.0,41200.0,41300.0,40350.0,4570000.0
2024-04-26,40800.0,40550.0,41050.0,40300.0,4700000.0
2024-04-25,40700.0,40600.0,41000.0,40400.0,2990000.0
2024-04-24,40600.0,40200.0,40900.0,40150.0,5040000.0
2024-04-23,40200.0,38600.0,41400.0,38550.0,8620000.0
2024-04-22,41450.0,41500.0,41800.0,40500.0,9170000.0
2024-04-19,41500.0,41800.0,41800.0,40100.0,12530000.0
2024-04-17,41800.0,43000.0,43050.0,41500.0,10860000.0
2024-04-16,42700.0,42400.0,42800.0,40750.0,16850000.0
2024-04-15,42400.0,43850.0,45000.0,41500.0,20420000.0
2024-04-12,44500.0,41100.0,44800.0,41100.0,16820000.0
2024-04-11,44150.0,43900.0,44250.0,43200.0,14570000.0
2024-04-10,44200.0,43400.0,44650.0,43000.0,24320000.0
2024-04-09,43200.0,40000.0,43200.0,40000.0,10940000.0
2024-04-08,42950.0,43000.0,43100.0,42400.0,15430000.0
2024-04-05,42950.0,43000.0,43100.0,42400.0,13460000.0
2024-04-04,43000.0,43100.0,43200.0,42700.0,9670000.0
2024-04-03,43100.0,43300.0,43700.0,42850.0,11840000.0
2024-04-02,42900.0,42650.0,43150.0,42200.0,13760000.0
2024-04-01,42900.0,42950.0,43150.0,42650.0,7520000.0
2024-03-29,42850.0,43300.0,43700.0,42100.0,7690000.0
2024-03-28,43300.0,42550.0,44050.0,42550.0,18560000.0
