Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"6,721,518","2,763,921","4,892,313","3,905,419","3,905,419","727,297,968","121,950,918","500,339,694","652,507,236","89,358,866","492,804,396","74,790,732","39,112,283","24,191,662","4,170.00","19,256.00",6.83,5.36,0.54,"Quý 1/2024
01/01-31/03
CKT/HN"
"6,289,616","3,013,248","5,043,574","4,006,279","4,006,279","718,794,589","114,873,931","482,234,900","647,838,628","89,506,662","482,702,731","70,955,961","39,112,283","20,286,243","4,369.00","18,269.00",5.47,5.82,0.59,"Quý 4/2023
01/10-31/12
CKT/HN"
"6,209,128","2,868,218","5,035,481","4,037,579","4,037,579","648,509,938","98,170,290","444,641,463","581,684,649","64,119,526","445,499,845","66,825,289","39,112,283","18,617,293","4,211.00","17,205.00",5.19,6.23,0.63,"Quý 3/2023
01/07-30/09
CKT/HN"
"6,245,672","2,485,180","4,832,447","3,865,846","3,865,846","630,893,169","89,763,275","429,058,305","568,025,987","68,957,497","432,410,465","62,867,182","39,112,283","14,579,714","4,238.00","16,186.00",5.20,6.17,0.62,"Quý 2/2023
01/04-30/06
CKT/HN"
"6,721,518","2,763,921","4,892,313","3,905,419","3,905,419","727,297,968","121,950,918","500,339,694","652,507,236","89,358,866","492,804,396","74,790,732","39,112,283","24,191,662","4,170.00","19,256.00",6.83,5.36,0.54,"Quý 1/2024
01/01-31/03
CKT/HN"
"6,289,616","3,013,248","5,043,574","4,006,279","4,006,279","718,794,589","114,873,931","482,234,900","647,838,628","89,506,662","482,702,731","70,955,961","39,112,283","20,286,243","4,369.00","18,269.00",5.47,5.82,0.59,"Quý 4/2023
01/10-31/12
CKT/HN"
"6,209,128","2,868,218","5,035,481","4,037,579","4,037,579","648,509,938","98,170,290","444,641,463","581,684,649","64,119,526","445,499,845","66,825,289","39,112,283","18,617,293","4,211.00","17,205.00",5.19,6.23,0.63,"Quý 3/2023
01/07-30/09
CKT/HN"
"6,245,672","2,485,180","4,832,447","3,865,846","3,865,846","630,893,169","89,763,275","429,058,305","568,025,987","68,957,497","432,410,465","62,867,182","39,112,283","14,579,714","4,238.00","16,186.00",5.20,6.17,0.62,"Quý 2/2023
01/04-30/06
CKT/HN"
"6,215,154","2,507,640","5,156,497","4,135,029","4,135,029","611,223,523","94,638,910","406,620,881","548,693,358","52,857,299","422,755,092","62,530,165","34,046,130","19,307,456","4,487.00","18,514.00",5.57,6.84,0.68,"Quý 1/2023
01/01-31/03
CKT/HN"
"6,454,217","4,064,328","3,611,083","2,870,518","2,870,518","607,875,185","85,971,313","408,856,508","549,436,522","67,840,840","413,952,789","58,438,663","34,046,130","15,172,408","4,442.00","17,303.00",4.93,5.03,0.49,"Quý 4/2022
01/10-31/12
CKT/HN"
"6,032,250","2,525,765","4,474,760","3,586,992","3,586,992","561,113,724","62,584,455","396,661,986","505,378,993","51,830,484","392,023,517","55,734,731","34,046,130","14,358,157","4,560.00","16,502.00",4.87,6.65,0.65,"Quý 3/2022
01/07-30/09
CKT/HN"
"5,606,390","2,276,351","4,914,360","3,943,148","3,943,148","543,736,728","57,122,539","390,049,375","491,670,697","50,712,628","388,131,932","52,066,031","27,291,260","17,526,035","4,306.00","15,416.00",5.57,7.87,0.74,"Quý 2/2022
01/04-30/06
CKT/HN"
"5,440,672","2,738,601","4,114,005","3,287,535","3,287,535","528,636,428","54,337,806","374,124,636","480,433,095","44,323,457","386,050,921","48,203,333","27,291,260","13,732,887","4,022.00","17,840.00",8.22,7.06,0.62,"Quý 1/2022
01/01-31/03
CKT/HN"
"4,794,322","2,417,444","3,029,760","2,428,495","2,428,495","527,769,944","49,818,776","356,050,950","482,869,035","54,393,939","379,920,669","44,900,909","27,291,260","10,445,352","3,900.00","16,618.00",8.85,5.56,0.48,"Quý 4/2021
01/10-31/12
CKT/HN"
"4,520,511","2,254,497","2,615,599","2,102,615","2,102,615","479,308,753","28,675,646","330,911,258","436,825,317","20,324,174","365,770,473","42,483,436","27,291,260","9,439,070","4,187.00","15,723.00",7.54,5.07,0.44,"Quý 3/2021
01/07-30/09
CKT/HN"
"4,990,387","1,592,538","3,248,434","2,588,235","2,588,235","471,275,438","28,988,545","336,827,639","430,895,193","27,085,956","358,474,148","40,380,245","21,887,364","12,740,351","4,621.00","14,945.00",7.73,6.61,0.56,"Quý 2/2021
01/04-30/06
CKT/HN"
"4,639,572","1,965,297","3,104,319","2,483,401","2,483,401","449,514,732","27,746,394","320,754,992","411,585,397","20,335,604","352,217,653","37,929,335","21,887,364","10,302,116","4,419.00","17,547.00",7.53,6.77,0.56,"Quý 1/2021
01/01-31/03
CKT/HN"
"4,415,732","1,763,715","3,184,729","2,549,543","2,549,543","444,530,104","31,671,245","308,528,625","409,081,941","23,875,242","353,195,838","35,448,163","21,887,364","7,819,040","4,192.00","16,399.00",6.70,7.46,0.59,"Quý 4/2020
01/10-31/12
CKT/HN"
"3,635,001","1,732,012","2,591,572","2,074,572","2,074,572","418,748,315","29,838,744","294,472,526","385,829,347","17,961,521","334,729,380","32,918,968","21,887,364","6,415,275","3,922.00","15,229.00",5.74,6.51,0.51,"Quý 3/2020
01/07-30/09
CKT/HN"
"3,111,946","1,767,906","1,894,664","1,521,655","1,521,655","396,760,420","25,079,336","280,990,276","365,927,975","2,366,296","330,551,052","30,832,445","16,899,152","9,328,915","3,890.00","18,543.00",5.86,5.05,0.39,"Quý 2/2020
01/04-30/06
CKT/HN"
"3,419,444","2,360,635","1,924,923","1,537,053","1,537,053","387,396,053","30,650,377","272,135,299","357,983,688","13,433,213","312,653,631","29,412,365","16,899,152","7,907,260","4,164.00","17,756.00",4.28,5.38,0.40,"Quý 1/2020
01/01-31/03
CKT/HN"
"3,329,591","2,742,896","1,954,930","1,549,241","1,549,241","383,514,439","30,341,599","266,164,852","355,761,932","19,248,572","308,129,391","27,752,507","16,799,171","6,339,916","4,328.00","16,754.00",5.27,5.83,0.42,"Quý 4/2019
01/10-31/12
CKT/HN"
"3,023,025","1,843,617","1,938,773","1,549,212","1,549,212","358,175,116","25,612,836","253,342,924","332,810,807","8,628,094","298,007,119","25,364,309","15,961,648","5,710,876","4,539.00","15,644.00",5.16,6.30,0.44,"Quý 3/2019
01/07-30/09
CKT/HN"
