Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Time
"811,605","574,204","123,233","119,237","118,116","28,160,520","54,069,051","34,542,659","22,551,228","19,526,392","2,440.00","18,866.00",26.60,14.69,0.61,0.22,"Quý 1/2024
01/01-31/03
CKT/HN"
"5,059,625","2,590,283","2,368,882","2,049,743","2,050,962","31,086,082","53,180,456","34,091,459","22,997,831","19,088,997","2,414.00","18,443.00",26.06,40.51,11.07,4.00,"Quý 4/2023
01/10-31/12
CKT/HN"
"1,127,346","728,357","269,878","215,630","217,372","28,481,901","49,454,195","31,481,075","19,478,641","17,973,121",487.00,"17,365.00",142.78,19.13,1.21,0.44,"Quý 3/2023
01/07-30/09
CKT/HN"
"1,285,965","727,111","181,946","31,589","138,616","27,997,264","48,811,540","30,874,864","20,413,372","17,936,677",473.00,"17,330.00",167.39,2.46,0.77,0.28,"Quý 2/2023
01/04-30/06
CKT/HN"
"791,414","406,407","80,943","74,426","91,514","28,069,250","48,589,284","30,627,128","19,010,930","17,962,156","1,227.00","17,355.00",67.56,9.40,0.51,0.19,"Quý 1/2023
01/01-31/03
CKT/HN"
"878,821","305,144","73,788","6,944","56,308","28,248,387","48,519,059","30,681,696","18,964,802","17,837,363","1,549.00","17,234.00",52.04,0.79,0.31,0.12,"Quý 4/2022
01/10-31/12
CKT/HN"
"2,263,445","674,907","280,708","259,159","203,274","28,350,294","49,228,038","30,636,404","18,986,779","18,591,634","1,770.00","17,963.00",51.20,11.45,1.10,0.41,"Quý 3/2022
01/07-30/09
CKT/HN"
"1,924,715","955,029","1,022,484","978,567","918,921","28,946,131","49,815,986","31,522,463","19,605,115","18,293,522","1,620.00","17,675.00",41.36,50.84,5.13,1.85,"Quý 2/2022
01/04-30/06
CKT/HN"
"1,433,349","820,637","472,359","391,041","424,575","29,524,429","49,503,913","31,973,860","18,748,261","17,530,052","1,189.00","16,937.00",61.73,27.28,2.45,0.86,"Quý 1/2022
01/01-31/03
CKT/HN"
"3,111,460","1,479,437","742,824","331,470","284,691","28,630,035","48,565,008","31,797,310","19,050,973","16,767,698","1,220.00","16,201.00",52.46,10.65,1.72,0.59,"Quý 4/2021
01/10-31/12
CKT/HN"
"761,226","417,932","146,451","50,339","48,576","29,597,841","48,253,318","31,943,617","19,482,751","16,309,701","1,693.00","15,758.00",26.35,6.61,0.30,0.10,"Quý 3/2021
01/07-30/09
CKT/HN"
"1,637,221","726,895","568,954","505,709","472,876","29,188,441","48,535,172","32,022,000","20,920,525","16,513,172","2,211.00","15,955.00",24.60,30.89,2.82,1.00,"Quý 2/2021
01/04-30/06
CKT/HN"
"1,398,926","579,956","509,075","467,902","456,599","27,111,411","46,365,172","29,332,355","20,219,119","17,032,817","1,970.00","16,457.00",29.19,33.45,2.67,0.96,"Quý 1/2021
01/01-31/03
CKT/HN"
"2,513,087","1,331,051","982,434","866,855","773,766","29,698,417","48,190,838","31,456,054","21,563,592","16,734,783","1,829.00","16,169.00",22.53,34.49,4.69,1.63,"Quý 4/2020
01/10-31/12
CKT/HN"
"1,553,585","725,928","692,857","631,089","585,599","29,484,256","46,672,409","30,430,333","22,797,835","16,242,076","1,908.00","15,693.00",21.23,40.62,3.70,1.28,"Quý 3/2020
01/07-30/09
CKT/HN"
"1,254,321","554,131","268,447","248,327","222,748","29,148,072","44,910,026","29,486,778","23,715,532","15,423,248","1,818.00","14,902.00",14.63,19.80,1.42,0.50,"Quý 2/2020
01/04-30/06
CKT/HN"
"1,229,362","564,455","362,010","332,227","310,678","28,341,744","44,024,502","27,971,525","21,929,419","16,052,977","2,263.00","15,510.00",7.34,27.02,1.95,0.71,"Quý 1/2020
01/01-31/03
CKT/HN"
"3,524,297","1,403,078","1,014,150","925,594","855,866","28,451,207","43,501,743","28,491,982","22,298,105","15,009,761","2,555.00","14,502.00",11.78,26.26,5.82,1.95,"Quý 4/2019
01/10-31/12
CKT/HN"
"1,391,174","629,265","544,845","526,147","491,482","29,749,085","44,385,223","29,964,298","19,912,076","14,420,925","3,432.00","13,933.00",9.09,37.82,3.53,1.11,"Quý 3/2019
01/07-30/09
CKT/HN"
"2,040,444","967,820","806,452","710,320","670,089","30,169,310","44,356,605","30,968,564","20,066,669","13,388,041","5,025.00","13,222.00",4.96,34.81,4.91,1.51,"Quý 2/2019
01/04-30/06
CKT/HN"
"1,338,288","491,838","696,160","613,195","597,659","30,275,438","44,594,425","30,706,272","19,677,551","13,888,153","8,870.00","13,716.00",2.99,45.82,4.36,1.33,"Quý 1/2019
01/01-31/03
CKT/HN"
"1,402,167","1,239,389","1,038,905","940,103","862,239","30,378,937","44,629,192","32,030,074","23,165,570","12,599,118","75,820.00","12,443.00",0.32,67.05,6.75,1.75,"Quý 4/2018
01/10-31/12
CKT/HN"
"2,081,131","573,459","456,024","421,865","394,624","37,552,312","53,665,807","40,726,995","25,664,211","12,938,812","54,829.00","12,778.00",0.36,20.27,3.27,0.74,"Quý 3/2018
01/07-30/09
CKT/HN"
"1,587,185","697,662","546,174","470,089","435,277","38,320,555","52,395,851","41,163,877","25,373,799","11,231,974","38,014.00","11,092.00",0.50,29.62,3.90,0.84,"Quý 2/2018
01/04-30/06
CKT/HN"
"1,906,671","657,771","496,189","483,602","456,881","36,967,012","51,350,520","40,276,123","25,688,019","11,074,398","19,492.00","10,937.00",1.28,25.36,3.97,0.89,"Quý 1/2018
01/01-31/03
CKT/HN"
"364,603","159,136",-980,574,574,"33,224,048","42,703,358","33,168,710","19,699,133","9,534,648",1.00,"11,991.00",0,0.16,0.01,0,"Quý 2/2017
01/04-30/06
CKT/CTM"
"3,895,570","266,024","74,006","68,537","68,537","26,412,428","37,128,711","28,979,434","19,993,605","8,149,276",85.00,"10,149.00",0,1.76,1.68,0.37,"Quý 2/2015
01/04-30/06
CKT/CTM"
"1,688,621","252,502","228,337","215,178","215,178","23,604,478","33,110,990","25,511,997","16,037,634","7,598,993",351.00,"12,385.00",0,12.74,5.66,1.30,"Quý 2/2014
01/04-30/06
CKT/CTM"
"364,603","159,136",-980,574,574,"33,224,048","42,703,358","33,168,710","19,699,133","9,534,648",1.00,"11,991.00",,0.16,0.01,0,"Quý 2/2017
01/04-30/06
CKT/CTM"
