Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"13,541,360","5,392,606","7,389,914","5,915,579","5,812,648","2,328,730,752","231,693,608","1,752,683,396","2,199,712,917","167,810,233","1,734,779,072","129,017,835","72,711,297","36,136,858","4,171.00","22,633.00",12.49,4.62,0.25,"Quý 1/2024
01/01-31/03
CKT/HN"
"14,869,088","7,829,831","7,886,764","6,190,625","6,074,285","2,300,814,314","211,808,501","1,737,244,618","2,177,897,270","182,252,124","1,704,269,050","122,917,044","72,711,297","33,588,517","4,228.00","21,563.00",10.26,5.02,0.27,"Quý 4/2023
01/10-31/12
CKT/HN"
"13,783,096","6,044,456","5,892,788","4,727,935","4,582,880","2,132,854,577","194,288,953","1,611,643,506","2,013,766,739","187,836,067","1,583,543,509","119,087,838","66,282,564","36,007,993","3,887.00","23,542.00",11.41,3.93,0.22,"Quý 3/2023
01/07-30/09
CKT/HN"
"13,806,993","6,370,229","6,942,823","5,557,162","5,425,578","2,124,802,899","199,683,000","1,589,448,060","2,010,633,562","191,572,674","1,545,569,148","114,169,337","66,204,497","31,427,653","4,025.00","22,570.00",10.77,4.84,0.26,"Quý 2/2023
01/04-30/06
CKT/HN"
"13,936,193","4,831,771","6,919,579","5,559,041","5,468,480","2,106,864,549","174,793,284","1,554,793,891","1,997,016,087","146,847,411","1,497,395,473","109,848,462","66,204,497","27,028,393","3,983.00","21,716.00",11.60,5.23,0.26,"Quý 1/2024
01/01-31/03
CKT/HN"
"14,532,344","7,577,716","5,380,885","4,261,784","4,186,385","2,120,527,692","221,146,701","1,484,030,778","2,016,322,127","178,797,484","1,473,604,981","104,205,565","66,204,497","24,321,599","3,608.00","20,600.00",10.70,4.08,0.20,"Quý 4/2023
01/10-31/12
CKT/HN"
"14,098,425","5,452,199","6,673,383","5,354,232","5,277,956","2,048,952,718","259,681,711","1,451,882,428","1,948,027,658","199,716,316","1,414,224,009","100,925,060","66,204,497","20,593,079","3,397.00","19,951.00",9.98,5.42,0.26,"Quý 3/2023
01/07-30/09
CKT/HN"
"14,618,850","5,194,203","6,570,351","5,264,154","5,215,695","1,979,416,229","216,987,172","1,443,296,463","1,885,428,566","208,128,128","1,406,297,004","93,987,663","65,145,472","16,392,697","2,883.00","18,580.00",11.62,5.67,0.27,"Quý 2/2023
01/04-30/06
CKT/HN"
"12,825,927","4,322,027","4,513,501","3,637,665","3,571,160","1,847,704,434","163,893,889","1,382,262,545","1,757,866,709","128,450,020","1,396,301,169","89,837,725","65,145,472","12,262,506","2,703.00","17,760.00",16.09,4.05,0.20,"Quý 1/2023
01/01-31/03
CKT/HN"
"10,853,341","6,145,777","2,868,211","2,295,616","2,217,704","1,761,938,950","135,940,238","1,325,577,562","1,675,572,305","98,003,606","1,380,401,585","86,366,645","65,145,472","10,269,320","2,636.00","17,073.00",14.08,2.57,0.13,"Quý 4/2022
01/10-31/12
CKT/HN"
