Doanh thu thuần,LN gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích CĐ thiểu số,Time
"9,618,629","-807,043","-807,043","616,900","585,772","122,492,417","234,271,578","211,395,655","38,507,301","22,875,923","2,403.00","30,817.00",17.79,6.41,8.31,0.26,,"Quý 1/2024
01/01-31/03
CKT/HN"
"10,570,319","-935,325","-935,325","369,713","358,606","122,497,126","221,205,665","199,008,686","30,889,644","22,196,979","2,325.00","29,902.00",16.99,3.5,4.98,0.16,,"Quý 4/2023
01/10-31/12
CKT/HN"
"9,726,325","-1,278,142","-1,278,142","460,331","433,660","120,032,861","215,293,121","192,724,045","30,343,614","22,569,075","2,302.00","30,403.00",18.31,4.73,6.2,0.2,,"Quý 3/2023
01/07-30/09
CKT/HN"
"9,891,174","-1,215,386","-1,215,386","426,732","405,410","131,044,912","220,771,027","198,619,372","41,340,807","22,151,655","2,235.00","29,841.00",19.73,4.31,5.75,0.18,,"Quý 2/2023
01/04-30/06
CKT/HN"
"9,846,491","-707,400","-707,400","546,142","528,160","133,622,000","220,460,966","198,653,638","45,866,044","21,807,328","2,105.00","29,377.00",23.02,5.55,7.36,0.25,,"Quý 1/2024
01/01-31/03
CKT/HN"
"10,588,349","-899,999","-899,999","352,201","341,516","117,332,455","201,610,057","180,319,271","32,558,300","21,290,786","2,041.00","28,681.00",22.83,3.33,4.74,0.17,,"Quý 4/2023
01/10-31/12
CKT/HN"
"10,048,469","-584,284","-584,284","408,352","384,173","115,119,751","190,853,362","167,688,097","25,572,911","23,165,265","2,288.00","31,206.00",23.39,4.06,5.5,0.2,,"Quý 3/2023
01/07-30/09
CKT/HN"
"10,333,860","-504,458","-504,458","317,121","308,607","125,118,297","193,291,038","170,510,642","33,894,574","22,780,395","2,340.00","30,688.00",22.43,3.07,4.27,0.16,,"Quý 2/2023
01/04-30/06
CKT/HN"
"9,727,370","-239,895","-239,895","510,816","480,945","109,879,453","183,724,857","161,187,414","30,147,749","22,537,443","2,490.00","29,559.00",24.7,5.25,6.88,0.27,,"Quý 1/2023
01/01-31/03
SX/HN"
"10,043,536","-4,891","-4,891","551,929","524,539","99,487,772","169,460,924","147,448,333","21,631,436","22,012,592","2,474.00","29,654.00",22.63,5.5,7.44,0.31,,"Quý 4/2022
01/10-31/12
CKT/HN"
"8,984,567","-245,795","-245,795","441,446","423,208","98,980,199","165,122,100","142,997,200","23,050,391","22,124,900","2,383.00","29,805.00",24.51,4.91,5.7,0.27,,"Quý 3/2022
01/07-30/09
CKT/HN"
"9,514,009","-433,219","-433,219","442,956","419,708","89,483,814","149,047,977","127,385,167","12,112,788","21,662,810","2,433.00","29,182.00",24,4.66,5.65,0.28,,"Quý 2/2022
01/04-30/06
CKT/HN"
"8,709,020","-168,967","-168,967","498,879","469,132","95,996,992","146,603,447","125,336,259","14,723,851","21,267,189","2,552.00","28,650.00",23.36,5.73,6.32,0.32,,"Quý 1/2022
01/01-31/03
SX/HN"
"9,655,436","-598,597","-598,597","474,551","456,571","92,791,583","147,283,427","126,514,551","20,680,649","20,768,876","2,081.00","27,978.00",31.72,4.91,6.15,0.31,,"Quý 4/2021
01/10-31/12
CKT/HN"
"8,736,258","-46,410","-545,277","473,308","460,553","99,896,126","144,960,944","124,041,612","23,565,411","20,919,332","1,608.00","28,181.00",30.29,5.42,6.2,0.33,,"Quý 3/2021
01/07-30/09
CKT/HN"
"8,214,740","-471,228","-1,101,882","541,810","508,079","95,548,730","137,838,679","117,349,688","116,772,489","20,488,991","1,484.00","27,601.00",30.67,6.6,2.51,0.37,,"Quý 2/2021
01/04-30/06
CKT/HN"
