Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"15,174,236","4,807,448","6,210,282","5,002,524","4,958,810","2,077,615,056","332,707,091","1,483,622,353","1,947,032,568","325,515,909","1,427,664,878","130,582,488","63,510,626","46,998,456","4,056.00","24,317.00",8.76,3.87,0.24,"Quý 1/2024
01/01-31/03
CKT/HN"
"14,572,026","6,304,215","7,698,581","6,143,224","6,119,475","2,032,690,017","279,841,639","1,445,571,643","1,905,119,435","304,424,134","1,410,899,038","127,570,582","63,510,626","44,054,853","4,137.00","23,756.00",6.55,4.90,0.31,"Quý 4/2023
01/10-31/12
CKT/HN"
"13,087,437","5,081,879","4,870,950","3,895,322","3,863,075","1,888,338,295","254,955,175","1,353,619,192","1,766,333,172","288,612,623","1,310,323,594","122,005,123","57,868,215","47,147,795","3,773.00","25,387.00",7.96,3.22,0.21,"Quý 3/2023
01/07-30/09
CKT/HN"
"12,757,470","4,743,381","6,550,196","5,263,655","5,203,306","1,860,104,522","230,782,730","1,330,128,708","1,742,044,149","263,937,809","1,310,048,451","118,060,373","57,868,215","43,293,999","3,664.00","24,566.00",8.05,4.50,0.28,"Quý 2/2023
01/04-30/06
CKT/HN"
"12,666,171","4,313,889","5,980,335","4,831,201","4,806,377","1,823,962,183","207,791,425","1,303,638,965","1,711,017,010","177,278,728","1,272,350,383","112,945,173","57,868,215","38,167,405","3,548.00","23,502.00",8.23,4.36,0.26,"Quý 1/2023
01/01-31/03
CKT/HN"
"12,847,616","6,363,452","5,349,296","4,273,632","4,260,411","1,809,188,549","243,099,096","1,245,057,876","1,700,883,827","210,159,957","1,249,181,034","108,304,722","57,868,215","33,487,474","3,518.00","22,536.00",7.75,3.97,0.24,"Quý 4/2022
01/10-31/12
CKT/HN"
"12,923,636","4,846,989","4,156,564","3,319,664","3,338,328","1,750,789,603","238,664,064","1,205,989,335","1,644,680,947","232,869,143","1,189,722,937","106,108,656","57,612,478","33,954,333","3,240.00","22,080.00",7.16,3.20,0.19,"Quý 3/2022
01/07-30/09
CKT/HN"
"11,972,354","4,272,331","5,785,062","4,680,851","4,645,413","1,691,061,895","188,405,480","1,206,862,124","1,588,279,814","217,176,920","1,205,567,462","102,782,081","57,612,492","30,625,845","3,099.00","21,387.00",8.44,4.62,0.28,"Quý 2/2022
01/04-30/06
CKT/HN"
"10,145,865","3,821,026","5,822,496","4,697,912","4,663,907","1,663,730,167","177,089,244","1,199,357,414","1,565,433,744","194,897,542","1,212,678,007","98,296,423","57,548,112","26,125,429","2,739.00","20,454.00",11.85,4.86,0.29,"Quý 1/2022
01/01-31/03
CKT/HN"
"10,395,939","5,831,801","3,678,083","2,985,705","2,920,816","1,531,468,324","149,265,358","1,104,872,766","1,437,815,206","138,833,846","1,161,796,827","93,653,118","57,548,112","21,493,885","3,328.00","19,488.00",10.19,3.09,0.20,"Quý 4/2021
01/10-31/12
CKT/HN"
"9,871,806","3,646,918","3,060,627","2,465,637","2,459,772","1,447,809,011","112,616,156","1,063,141,547","1,352,207,779","160,353,249","1,072,892,689","95,601,232","57,548,112","25,386,698","4,189.00","19,893.00",7.26,2.61,0.17,"Quý 3/2021
01/07-30/09
CKT/HN"
"10,878,584","4,187,076","2,790,066","2,238,561","2,206,426","1,473,022,358","152,895,821","1,057,905,018","1,379,832,802","164,527,010","1,039,519,813","93,189,556","46,724,652","33,731,825","4,394.00","25,028.00",11.99,2.38,0.16,"Quý 2/2021
01/04-30/06
CKT/HN"
"10,642,136","3,512,229","8,060,191","6,471,151","6,461,533","1,343,984,509","139,620,432","1,003,228,487","1,252,147,404","123,597,851","1,003,700,363","91,837,105","46,724,652","32,438,131","4,761.00","24,665.00",8.43,7.29,0.48,"Quý 1/2021
01/01-31/03
CKT/HN"
"10,286,763","5,713,435","6,706,311","5,384,390","5,356,339","1,341,392,922","102,532,918","1,002,770,924","1,255,997,908","128,519,115","990,331,385","85,395,014","46,724,652","25,984,590","3,674.00","22,935.00",9.40,6.35,0.41,"Quý 4/2020
01/10-31/12
CKT/HN"
"9,078,280","3,748,792","2,904,024","2,341,649","2,336,652","1,261,204,481","128,657,592","942,889,055","1,177,882,018","125,879,374","939,175,387","83,322,463","46,724,652","25,895,094","2,948.00","22,378.00",9.00,2.84,0.19,"Quý 3/2020
01/07-30/09
CKT/HN"
"7,797,899","3,281,706","4,485,578","3,610,243","3,571,650","1,239,556,783","130,011,162","928,563,088","1,158,537,342","113,721,935","913,319,796","81,019,441","46,724,637","23,579,527","2,995.00","21,760.00",7.19,4.47,0.29,"Quý 2/2020
01/04-30/06
CKT/HN"
"8,418,438","3,317,572","2,974,427","2,404,717","2,414,466","1,222,651,543","126,351,102","910,544,322","1,143,840,309","91,560,433","895,750,503","78,811,234","46,724,637","21,287,557","2,510.00","21,166.00",6.85,3.09,0.20,"Quý 1/2020
01/01-31/03
CKT/HN"
