Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"14,092,928","5,510,466","2,515,527","2,160,265","1,798,031","37,679,149","62,024,705","30,297,604","29,033,183","31,727,101","5,541.00","24,980.00",21.02,15.33,5.83,2.94,,"Quý 1/2024
01/01-31/03
CKT/HN"
"14,690,413","5,631,864","2,386,698","2,051,241","1,728,400","36,709,543","60,325,276","30,376,921","29,667,280","29,948,355","5,476.00","23,580.00",17.55,13.96,5.92,2.82,,"Quý 4/2023
01/10-31/12
CKT/HN"
"13,761,745","5,496,369","2,438,361","2,075,869","1,739,340","39,531,943","62,112,676","33,707,021","33,050,415","28,405,656","5,362.00","22,365.00",17.31,15.08,6.10,2.84,,"Quý 3/2023
01/07-30/09
CKT/HN"
"12,484,364","4,633,824","2,189,766","1,855,582","1,509,220","38,758,397","60,556,686","31,961,502","31,322,666","28,595,184","5,289.00","25,891.00",16.26,14.86,5.42,2.71,,"Quý 2/2023
01/04-30/06
CKT/HN"
"14,092,928","5,510,466","2,515,527","2,160,265","1,798,031","37,679,149","62,024,705","30,297,604","29,033,183","31,727,101","5,541.00","24,980.00",21.02,15.33,5.83,2.94,,"Quý 1/2023
01/01-31/03
CKT/HN"
"14,690,413","5,631,864","2,386,698","2,051,241","1,728,400","36,709,543","60,325,276","30,376,921","29,667,280","29,948,355","5,476.00","23,580.00",17.55,13.96,5.92,2.82,,"Quý 4/2022
01/10-31/12
CKT/HN"
"13,761,745","5,496,369","2,438,361","2,075,869","1,739,340","39,531,943","62,112,676","33,707,021","33,050,415","28,405,656","5,362.00","22,365.00",17.31,15.08,6.10,2.84,,"Quý 3/2022
01/07-30/09
CKT/HN"
"12,484,364","4,633,824","2,189,766","1,855,582","1,509,220","38,758,397","60,556,686","31,961,502","31,322,666","28,595,184","5,289.00","25,891.00",16.26,14.86,5.42,2.71,,"Quý 2/2022
01/04-30/06
CKT/HN"
"11,681,379","4,567,879","2,096,933","1,809,799","1,493,563","29,524,493","50,741,161","23,679,982","23,043,505","27,061,179","5,258.00","24,665.00",15.04,15.49,5.70,2.92,,"Quý 1/2022
01/01-31/03
CKT/HN"
"13,042,426","5,241,274","1,978,262","1,619,892","1,351,601","30,933,925","51,655,409","26,312,428","24,534,231","25,342,981","4,805.00","23,099.00",14.68,12.42,5.47,2.53,,"Quý 4/2021
01/10-31/12
CKT/HN"
