Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"23,314,998","3,691,115","3,169,456","2,543,605","2,511,656","66,458,956","91,775,937","23,875,666","16,434,181","67,900,271","5,127.00","29,564.00",15.64,10.91,3.77,2.80,,"Quý 1/2024
01/01-31/03
CKT/HN"
"22,570,616","4,058,279","3,367,778","2,775,973","2,723,017","62,217,752","87,754,455","22,455,835","14,971,949","65,298,620","5,776.00","28,431.00",13.07,12.30,4.26,3.16,,"Quý 4/2023
01/10-31/12
CKT/HN"
"22,126,161","3,681,632","3,008,198","2,404,261","2,377,168","59,128,795","84,638,511","21,967,230","13,584,867","62,671,281","6,339.00","32,744.00",14.31,10.87,3.65,2.75,,"Quý 3/2023
01/07-30/09
CKT/HN"
"24,042,649","4,342,776","4,003,492","3,196,033","3,155,590","62,984,582","88,247,093","20,796,045","12,546,218","67,451,047","6,711.00","35,242.00",13.86,13.29,4.78,3.66,,"Quý 2/2023
01/04-30/06
CKT/HN"
"21,214,481","4,842,234","4,239,655","3,416,829","3,350,256","57,952,012","84,128,384","19,558,856","10,555,594","64,569,528","7,720.00","33,736.00",13.21,16.11,5.33,4.02,,"Quý 1/2023
01/01-31/03
CKT/HN"
"22,051,958","4,868,818","4,149,041","3,336,693","3,250,038","55,651,708","82,806,381","21,489,089","12,487,957","61,317,292","7,761.00","32,037.00",13.08,15.13,5.45,3.87,,"Quý 4/2022
01/10-31/12
CKT/HN"
"24,329,090","4,397,012","3,848,742","3,089,020","3,089,020","57,329,016","85,223,863","27,210,834","15,493,287","58,013,029","7,089.00","30,311.00",15.52,12.70,5.21,3.56,,"Quý 3/2022
01/07-30/09
CKT/HN"
"27,653,355","6,912,228","6,383,514","5,141,205","5,086,494","60,393,770","88,539,470","27,967,583","17,014,432","60,571,888","6,738.00","31,648.00",17.14,18.59,8.75,5.86,,"Quý 2/2022
01/04-30/06
CKT/HN"
"26,689,145","5,136,478","4,342,470","3,495,353","3,428,679","57,191,407","85,170,156","29,460,831","18,619,859","55,709,324","5,262.00","29,107.00",20.58,13.10,6.36,4.18,,"Quý 1/2022
01/01-31/03
CKT/HN"
"20,177,088","3,526,651","2,554,377","2,029,453","1,963,898","51,395,282","78,768,075","26,575,344","16,561,262","52,192,731","4,531.00","27,270.00",21.23,10.06,3.84,2.58,,"Quý 4/2021
01/10-31/12
CKT/HN"
"18,542,925","3,407,331","3,081,900","2,463,536","2,417,436","47,691,610","73,218,244","23,025,099","13,841,166","50,193,145","4,384.00","26,225.00",22.12,13.29,4.93,3.27,,"Quý 3/2021
01/07-30/09
CKT/HN"
"22,701,645","3,782,209","2,948,240","2,301,384","2,261,954","50,213,422","74,826,437","26,981,135","20,039,329","47,845,302","4,178.00","24,998.00",22.26,10.14,4.55,3.15,,"Quý 2/2021
01/04-30/06
CKT/HN"
"17,570,498","3,269,465","2,588,593","2,057,439","2,029,678","44,230,493","68,626,315","17,049,736","11,785,545","51,576,579","3,892.00","26,948.00",23.05,11.71,4.02,3.08,,"Quý 1/2021
01/01-31/03
CKT/HN"
"15,524,700","2,619,782","2,079,169","1,681,263","1,682,292","39,354,424","63,089,656","13,681,514","9,674,514","48,365,550","4,051.00","25,270.00",21.38,10.83,3.50,2.70,"1,042,593","Quý 4/2020
01/10-31/12
CKT/HN"
"15,937,440","2,906,384","2,604,874","2,068,095","2,023,381","39,767,378","61,704,300","13,910,236","10,868,790","47,794,064","4,743.00","24,971.00",15.03,12.98,4.00,3.14,,"Quý 3/2020
01/07-30/09
CKT/HN"
"15,627,037","2,402,261","2,159,495","1,712,760","1,714,320","46,463,846","67,211,584","13,799,369","11,240,941","53,412,215","5,193.00","27,907.00",13.29,10.96,3.25,2.58,,"Quý 2/2020
01/04-30/06
CKT/HN"
"17,093,939","3,311,772","2,963,311","2,350,603","2,333,041","45,148,433","65,452,636","13,489,515","10,840,024","51,963,121","5,869.00","27,150.00",9.34,13.75,4.59,3.66,,"Quý 1/2020
01/01-31/03
CKT/HN"
"17,317,638","3,841,262","3,828,198","3,098,124","3,007,449","42,034,111","62,254,323","12,569,850","9,960,116","49,684,473","6,232.00","25,959.00",15.03,17.89,6.20,4.82,,"Quý 4/2019
01/10-31/12
CKT/HN"
"19,038,432","4,330,297","3,684,199","2,929,352","2,883,911","42,492,241","62,557,545","15,298,612","12,346,611","47,258,933","6,345.00","24,692.00",16.75,15.39,6.16,4.51,,"Quý 3/2019
01/07-30/09
CKT/HN"
