Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Time
"4,585,365","1,075,961","708,588","650,032","475,563","22,975,130","76,913,141","20,894,964","7,722,617","56,018,177",627.00,"13,994.00",52.89,14.18,0.86,0.61,"Quý 1/2024
01/01-31/03
CKT/HN"
"7,591,177","1,603,148","1,022,911","1,416,186","1,164,396","24,185,726","78,385,274","23,531,697","10,016,576","54,853,577",645.00,"13,702.00",32.85,18.66,2.11,1.49,"Quý 4/2023
01/10-31/12
CKT/HN"
"6,195,324","1,234,500","522,510","493,610","312,835","23,731,000","77,796,795","22,506,774","8,306,812","55,290,021",582.00,"13,805.00",33.50,7.97,0.57,0.41,"Quý 3/2023
01/07-30/09
CKT/HN"
"4,272,643","969,133","597,541","717,295","554,252","22,558,668","76,616,283","22,444,571","8,257,496","54,171,713",752.00,"13,527.00",25.78,16.79,1.02,0.72,"Quý 2/2023
01/04-30/06
CKT/HN"
"4,135,169","1,005,878","611,738","755,683","549,814","22,405,646","77,043,060","22,752,098","8,400,936","54,290,962",881.00,"13,554.00",17.60,18.27,1.02,0.71,"Quý 1/2023
01/01-31/03
CKT/HN"
"9,012,780","1,687,992","1,078,009","1,310,884","911,627","23,314,794","78,063,989","24,860,732","10,232,094","53,203,257","1,007.00","13,284.00",13.70,14.54,1.69,1.16,"Quý 4/2022
01/10-31/12
CKT/HN"
"5,847,177","1,580,495","1,129,156","993,856","993,856","24,433,688","79,587,101","24,741,371","9,081,808","54,845,730","1,139.00","13,691.00",18.36,17.00,1.84,1.26,"Quý 3/2022
01/07-30/09
CKT/HN"
"5,558,860","1,495,916","1,116,968","1,199,099","1,067,810","23,394,795","78,749,124","25,595,669","9,817,173","53,153,455","1,200.00","13,269.00",18.79,21.57,1.99,1.35,"Quý 2/2022
01/04-30/06
CKT/HN"
"4,893,496","1,470,201","1,097,301","1,315,597","1,055,094","22,789,798","79,340,163","25,422,226","9,396,759","53,917,937","1,145.00","13,457.00",29.70,26.88,1.99,1.33,"Quý 1/2022
01/01-31/03
CKT/HN"
"9,655,860","2,564,449","1,999,151","1,786,649","1,437,517","22,843,448","79,023,272","27,106,526","10,989,788","51,916,746","1,085.00","12,956.00",34.04,18.50,2.73,1.82,"Quý 4/2021
01/10-31/12
CKT/HN"
"6,151,044","2,089,336","1,581,310","1,533,483","1,240,537","23,213,058","79,367,556","25,946,206","8,797,935","53,421,350","1,393.00","13,326.00",25.77,24.93,2.34,1.56,"Quý 3/2021
01/07-30/09
CKT/HN"
"5,687,574","1,628,673","1,090,709","1,159,991","845,780","22,169,459","79,341,473","26,525,245","8,842,140","52,816,228","1,329.00","13,174.00",26.35,20.40,1.61,1.07,"Quý 2/2021
01/04-30/06
CKT/HN"
"4,849,647","1,396,203","1,246,630","1,216,240","817,931","21,914,094","79,045,278","26,908,121","8,878,789","52,137,157","1,231.00","13,023.00",22.59,25.08,1.58,1.03,"Quý 1/2021
01/01-31/03
CKT/HN"
"9,054,411","2,370,378","2,759,944","3,197,273","2,667,672","23,096,806","79,645,181","28,473,659","10,564,859","51,171,522","1,083.00","12,784.00",27.66,35.31,5.32,3.36,"Quý 4/2020
01/10-31/12
CKT/HN"
"6,164,182","1,250,482","1,378,199","1,191,344","982,616","21,815,948","79,244,002","30,219,647","11,396,380","49,024,355",781.00,"12,240.00",15.80,19.33,1.98,1.25,"Quý 3/2020
01/07-30/09
CKT/HN"
"3,315,830","710,399","474,953","513,447","454,204","20,867,543","77,969,408","27,744,760","8,968,153","50,224,648",781.00,"12,538.00",14.09,15.48,0.90,0.59,"Quý 2/2020
01/04-30/06
CKT/HN"
"2,744,595","512,812","350,007","336,535","226,190","19,871,402","76,926,388","26,327,586","7,697,355","50,598,802",826.00,"12,634.00",10.14,12.26,0.45,0.29,"Quý 1/2020
01/01-31/03
CKT/HN"
"7,125,078","1,858,409","1,246,353","1,681,927","1,462,733","20,681,043","78,170,792","27,414,033","9,192,781","50,756,759",822.00,"12,672.00",12.90,23.61,2.91,1.90,"Quý 4/2019
01/10-31/12
CKT/HN"
"5,334,014","1,392,162","946,338","1,219,477","980,399","18,115,408","76,020,586","26,287,254","7,819,902","49,733,333",994.00,"12,413.00",13.79,22.86,1.97,1.29,"Quý 3/2019
01/07-30/09
CKT/HN"
"4,197,534","784,061","509,305","743,820","635,531","17,616,022","76,058,507","26,283,694","7,956,216","49,774,814","1,201.00","12,421.00",10.49,17.72,1.27,0.83,"Quý 2/2019
01/04-30/06
CKT/HN"
"3,414,031","632,794","280,096","314,834","209,005","17,374,191","76,566,426","26,477,276","7,887,307","50,089,150","1,593.00","12,494.00",7.41,9.22,0.42,0.27,"Quý 1/2019
01/01-31/03
CKT/HN"
"7,805,505","1,797,251","1,039,425","1,863,490","1,464,311","18,388,279","77,699,469","27,615,037","9,735,353","50,084,433","3,710.00","12,501.00",2.78,23.87,2.99,1.92,"Quý 4/2018
01/10-31/12
CKT/HN"
"4,847,274","967,808","581,679","488,493","456,057","16,751,087","75,002,499","27,032,009","9,648,274","47,970,490","4,343.00","482,700.00",1.91,10.08,1.90,1.22,"Quý 3/2018
01/07-30/09
CKT/HN"
"65,467","7,255","-26,524","-25,474","-25,474",,,,,,"6,793.00",0,1.81,-38.91,0,0,"Quý 1/2018
01/01-31/03
CKT/CTM"
"165,764","17,536","188,155","191,228","191,228","1,196,153","36,338,101","730,067","461,509","35,608,034",271.00,"13,621.00",,115.36,0.54,0.53,"Quý 3/2017
01/07-30/09
CKT/CTM"
"92,505","20,513","508,485","507,741","507,741","1,555,528","36,486,563","936,728","668,170","35,549,836",241.00,"13,599.00",,548.88,1.43,1.40,"Quý 2/2017
01/04-30/06
CKT/CTM"
"96,113","9,202","9,218","9,865","9,865","1,472,181","36,133,616","730,396","461,976","35,403,220",128.00,"13,530.00",,10.26,0.02,0.02,"Quý 1/2017
01/01-31/03
CKT/CTM"
"97,041","4,308","116,414","112,212","112,212",,,,,,0,0,,115.63,0,0,"Quý 3/2016
01/07-30/09
CKT/CTM"
"96,113","9,202","9,218","9,865","9,865","1,472,181","36,133,616","730,396","461,976","35,403,220",128.00,"13,530.00",,10.26,0.02,0.02,"Quý 1/2017
01/01-31/03
CKT/CTM"
"97,041","4,308","116,414","112,212","112,212",,,,,,0,0,,115.63,0,0,"Quý 3/2016
01/07-30/09
CKT/CTM"
"54,666","21,302","220,468","212,286","212,286",,,,,,0,0,,388.33,0,0,"Quý 2/2016
01/04-30/06
CKT/CTM"
"42,145",587,"-14,978","-13,602","-13,602",,,,,,0,0,,-32.27,0,0,"Quý 1/2016
01/01-31/03
CKT/CTM"
