Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"7,160,350","2,454,639","4,027,575","3,213,172","3,109,772","602,551,570","87,659,830","358,835,149","552,851,320","107,009,010","378,789,084","49,700,250","29,198,918","13,671,470","4,005.00","17,182.00",6.02,6.47,0.52,"Quý 1/2024
01/01-31/03
CKT/HN"
"7,472,503","2,630,124","4,385,130","3,447,615","3,343,895","602,314,859","96,514,863","339,349,838","555,914,537","112,086,978","370,777,888","46,400,322","29,198,918","10,561,698","3,757.00","16,041.00",5.40,7.48,0.60,"Quý 4/2023
01/10-31/12
CKT/HN"
"4,916,148","2,301,873","3,147,266","2,515,158","2,480,440","508,263,253","55,427,300","288,136,806","465,237,672","51,537,699","341,712,982","43,025,581","29,198,918","7,256,245","3,322.00","14,875.00",5.22,5.94,0.50,"Quý 3/2023
01/07-30/09
CKT/HN"
"4,954,515","2,238,587","2,741,637","2,179,528","2,158,553","483,935,823","87,190,858","283,565,064","443,459,075","62,766,342","309,645,137","40,476,748","25,426,026","8,548,698","3,400.00","16,092.00",5.47,5.31,0.46,"Quý 2/2023
01/04-30/06
CKT/HN"
"4,840,808","1,958,618","2,742,699","2,193,712","2,088,010","458,802,678","56,768,627","285,239,105","417,974,887","97,327,589","249,802,943","40,827,791","25,426,026","10,087,795","3,555.00","16,232.00",5.41,5.23,0.48,"Quý 1/2023
01/01-31/03
CKT/HN"
"4,932,102","2,671,102","2,251,952","1,799,451","1,736,284","416,273,023","49,132,317","260,754,811","377,278,137","92,653,200","215,797,174","38,994,886","25,426,026","7,999,785","3,675.00","15,503.00",4.34,4.56,0.43,"Quý 4/2022
01/10-31/12
CKT/HN"
"4,484,850","2,000,925","2,712,421","2,169,487","2,015,985","399,152,573","50,666,808","243,426,139","361,989,908","99,636,997","207,780,769","37,162,665","20,395,503","11,360,677","3,748.00","18,469.00",5.11,5.56,0.51,"Quý 3/2022
01/07-30/09
CKT/HN"
"4,551,225","2,033,070","2,776,168","2,220,093","2,079,127","384,266,740","41,470,126","234,742,051","348,899,749","86,186,983","212,520,096","35,366,991","20,395,503","9,344,689","3,591.00","17,576.00",6.68,6.10,0.54,"Quý 2/2022
01/04-30/06
CKT/HN"
"4,043,391","1,925,612","2,527,515","2,020,439","1,918,399","381,046,023","49,371,645","222,466,108","348,234,538","93,473,766","201,490,028","32,811,485","20,195,503","8,206,256","3,506.00","16,306.00",8.09,6.03,0.51,"Quý 1/2022
01/01-31/03
CKT/HN"
"3,752,996","1,656,610","1,985,158","1,588,870","1,507,187","374,611,571","55,942,644","200,758,833","343,821,459","107,242,582","183,283,118","30,790,112","20,195,503","6,290,473","3,497.00","15,455.00",8.82,5.02,0.42,"Quý 4/2021
01/10-31/12
CKT/HN"
