Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"30,852,360","4,153,983","2,887,668","2,869,183","2,870,589","94,032,458","201,940,226","96,315,645","79,314,488","105,624,581","1,601.00","18,165.00",18.90,9.30,2.75,1.47,,"Quý 1/2024
01/01-31/03
CKT/HN"
"34,383,805","4,471,610","3,315,647","2,968,971","2,972,779","82,716,439","187,782,587","84,946,167","71,513,493","102,836,419","1,175.00","17,685.00",23.78,8.63,2.93,1.65,,"Quý 4/2023
01/10-31/12
CKT/HN"
"28,484,088","3,594,807","2,128,205","2,000,363","2,004,745","78,482,566","173,507,012","73,641,823","64,117,126","99,865,188",322.00,"17,174.00",81.75,7.02,2.03,1.15,,"Quý 3/2023
01/07-30/09
CKT/HN"
"29,496,383","3,194,987","1,715,017","1,447,825","1,460,043","84,954,320","176,294,074","78,433,783","68,735,390","97,860,291",-328.00,"16,830.00",-79.69,4.91,1.50,0.83,,"Quý 2/2023
01/04-30/06
CKT/HN"
"26,588,752","1,676,437","491,893","383,230","397,497","85,412,137","175,408,611","78,970,636","67,898,727","96,437,975",121.00,"16,585.00",172.22,1.44,0.41,0.23,,"Quý 1/2023
01/01-31/03
CKT/HN"
"25,825,732","-885,250","-2,091,449","-1,998,767","-1,991,548","80,514,711","170,335,522","74,222,582","62,385,393","96,112,940","1,636.00","16,529.00",11.00,-7.74,-2.05,-1.12,,"Quý 4/2022
01/10-31/12
CKT/HN"
"34,103,341","1,000,728","-1,351,520","-1,785,707","-1,774,134","96,870,553","183,805,111","85,729,628","72,529,759","98,075,483","3,705.00","16,867.00",5.72,-5.24,-1.79,-0.91,,"Quý 3/2022
01/07-30/09
CKT/HN"
"37,422,055","6,539,622","4,312,597","4,022,573","4,032,232","120,220,562","207,496,628","107,581,227","93,614,176","99,915,401","6,689.00","17,183.00",3.33,10.75,4.06,2.05,,"Quý 2/2022
01/04-30/06
CKT/HN"
"44,058,147","10,108,326","8,924,404","8,206,330","8,216,960","100,439,720","185,847,109","86,889,171","72,447,610","98,957,938","8,376.00","22,124.00",5.38,18.63,8.66,4.51,,"Quý 1/2022
01/01-31/03
CKT/HN"
"44,710,732","9,587,410","8,040,287","7,419,400","7,427,443","94,154,411","178,235,974","87,455,797","73,459,316","90,780,177","8,630.00","20,295.00",5.38,16.59,8.48,4.21,,"Quý 4/2021
01/10-31/12
CKT/HN"
"38,673,829","11,860,899","10,961,076","10,350,844","10,351,739","95,958,382","174,643,274","90,317,590","71,995,624","84,325,684","8,590.00","18,852.00",6.16,26.76,13.08,6.19,,"Quý 3/2021
01/07-30/09
CKT/HN"
"35,118,355","11,477,059","10,323,744","9,745,151","9,721,407","82,425,690","159,809,151","85,824,712","66,589,936","73,984,439","7,545.00","16,541.00",6.83,27.75,13.87,6.51,,"Quý 2/2021
01/04-30/06
CKT/HN"
"31,176,875","8,183,042","7,683,337","7,005,559","6,977,554","63,943,159","138,982,270","72,760,709","51,504,078","66,221,560","5,824.00","19,987.00",8.04,22.47,11.12,5.16,,"Quý 1/2021
01/01-31/03
CKT/HN"
"25,778,071","6,267,237","5,331,723","4,660,721","4,637,855","56,800,329","131,511,437","72,291,648","51,975,217","59,219,789","4,503.00","17,873.00",9.21,18.08,8.12,3.73,,"Quý 4/2020
01/10-31/12
CKT/HN"
"24,685,562","5,169,065","4,240,988","3,785,123","3,772,707","43,319,363","117,472,262","62,484,991","35,959,335","54,987,271","3,774.00","16,596.00",7.00,15.33,7.01,3.28,,"Quý 3/2020
01/07-30/09
CKT/HN"
"20,422,202","3,705,502","3,081,033","2,755,562","2,742,827","39,021,211","112,644,201","60,063,624","33,561,295","52,580,576","3,151.00","19,044.00",8.51,13.49,5.34,2.50,,"Quý 2/2020
01/04-30/06
CKT/HN"
"19,232,708","3,763,058","2,635,684","2,304,761","2,285,287","34,134,100","107,108,967","57,045,558","29,619,288","50,063,409","3,031.00","18,132.00",5.56,11.98,4.67,2.19,,"Quý 1/2020
01/01-31/03
CKT/HN"
"17,975,303","2,835,681","2,268,708","1,923,372","1,917,006","30,471,566","101,790,659","54,002,872","26,997,677","47,787,787","3,017.00","17,308.00",7.79,10.70,4.09,1.92,,"Quý 4/2019
01/10-31/12
CKT/HN"
"15,087,031","2,701,974","2,135,013","1,794,413","1,754,756","30,494,640","97,448,356","51,398,830","24,505,626","46,049,526","3,169.00","16,678.00",6.93,11.89,3.89,1.84,,"Quý 3/2019
01/07-30/09
CKT/HN"
"15,097,266","3,026,804","2,469,554","2,050,016","2,035,194","29,981,286","93,018,692","48,762,602","22,320,140","44,256,090","3,714.00","16,029.00",6.33,13.58,4.71,2.29,,"Quý 2/2019
01/04-30/06
CKT/HN"
"14,963,251","2,620,914","2,157,706","1,810,450","1,800,794","28,055,962","84,946,730","42,735,605","21,872,971","42,211,124","4,117.00","19,874.00",7.82,12.10,4.35,2.21,,"Quý 1/2019
01/01-31/03
CKT/HN"
"14,386,211","2,555,154","2,024,207","1,767,000","1,764,221","26,013,633","78,224,963","37,616,013","24,299,196","40,608,950","4,653.00","19,120.00",6.65,12.28,4.43,2.38,,"Quý 4/2018
01/10-31/12
CKT/HN"
"14,188,346","3,263,216","2,868,592","2,408,423","2,401,952","31,834,301","70,102,772","31,069,071","21,460,455","39,033,701","5,468.00","18,378.00",7.74,16.97,6.35,3.63,,"Quý 3/2018
01/07-30/09
CKT/HN"
"14,260,938","2,881,275","2,580,574","2,202,372","2,195,587","33,713,014","62,077,583","25,450,739","19,958,369","36,626,844","5,997.00","17,245.00",6.40,15.44,6.18,3.77,,"Quý 2/2018
01/04-30/06
CKT/HN"
"13,000,963","2,965,509","2,598,713","2,222,756","2,211,254","32,950,887","54,437,484","20,009,291","17,459,060","34,428,193","5,978.00","22,697.00",10.10,17.10,6.62,4.12,,"Quý 1/2018
01/01-31/03
CKT/HN"
"12,744,862","3,190,545","2,738,011","2,400,561","2,395,691","33,077,484","53,021,998","20,624,418","18,520,536","32,397,580","6,522.00","21,358.00",7.18,18.84,7.66,4.73,,"Quý 4/2017
01/10-31/12
CKT/HN"
"12,539,992","2,831,212","2,477,216","2,140,395","2,138,960","30,643,372","48,342,147","18,205,063","16,469,143","30,137,085","7,183.00","19,867.00",5.42,17.07,8.06,4.86,,"Quý 3/2017
01/07-30/09
CKT/HN"
"10,612,083","2,188,958","1,797,278","1,538,505","1,537,806","23,982,297","39,662,484","16,723,039","15,754,307","22,939,446","7,891.00","18,146.00",4.06,14.50,6.94,4.01,,"Quý 2/2017
01/04-30/06
CKT/HN"
"10,264,754","2,462,861","2,213,061","1,935,296","1,934,215","21,530,443","36,945,826","15,542,328","14,470,323","21,403,498","9,498.00","25,397.00",3.22,18.85,9.38,5.51,,"Quý 1/2017
01/01-31/03
CKT/HN"
