Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"9,062,293","3,514,292","5,795,311","4,624,216","4,532,698","900,647,141","77,809,357","603,072,394","799,305,717","82,905,508","558,826,062","97,274,562","54,938,426","30,092,796","4,027.00","18,399.00",6.31,4.67,0.49,"Quý 1/2024
01/01-31/03
CKT/HN"
"9,163,492","3,875,911","6,287,272","5,045,088","4,986,366","944,953,640","46,343,813","599,579,267","848,242,481","99,810,466","567,532,577","96,711,159","54,938,426","25,559,753","4,265.00","18,548.00",4.37,5.29,0.57,"Quý 4/2023
01/10-31/12
CKT/HN"
"9,811,793","3,333,959","7,283,787","5,820,708","5,773,265","815,880,535","36,980,878","523,969,217","724,117,540","75,969,591","479,732,568","91,762,995","54,938,370","3,914,443","4,095.00","17,599.00",4.52,6.49,0.71,"Quý 3/2023
01/07-30/09
CKT/HN"
"9,481,370","4,135,168","6,222,864","4,982,440","4,893,495","806,237,587","21,618,233","506,395,409","720,168,463","87,145,499","475,406,125","86,069,124","47,626,099","22,511,239","4,140.00","18,983.00",4.88,5.73,0.62,"Quý 2/2023
01/04-30/06
CKT/HN"
"9,062,293","3,514,292","5,795,311","4,624,216","4,532,698","900,647,141","77,809,357","603,072,394","799,305,717","82,905,508","558,826,062","97,274,562","54,938,426","30,092,796","4,027.00","18,399.00",6.31,4.67,0.49,"Quý 1/2023
01/01-31/03
CKT/HN"
"9,163,492","3,875,911","6,287,272","5,045,088","4,986,366","944,953,640","46,343,813","599,579,267","848,242,481","99,810,466","567,532,577","96,711,159","54,938,426","25,559,753","4,265.00","18,548.00",4.37,5.29,0.57,"Quý 4/2022
01/10-31/12
CKT/HN"
"9,811,793","3,333,959","7,283,787","5,820,708","5,773,265","815,880,535","36,980,878","523,969,217","724,117,540","75,969,591","479,732,568","91,762,995","54,938,370","3,914,443","4,095.00","17,599.00",4.52,6.49,0.71,"Quý 3/2022
01/07-30/09
CKT/HN"
"9,481,370","4,135,168","6,222,864","4,982,440","4,893,495","806,237,587","21,618,233","506,395,409","720,168,463","87,145,499","475,406,125","86,069,124","47,626,099","22,511,239","4,140.00","18,983.00",4.88,5.73,0.62,"Quý 2/2022
01/04-30/06
CKT/HN"
"10,227,193","3,567,903","6,512,166","5,205,556","5,023,662","760,761,405","32,264,103","469,698,929","675,993,922","76,745,163","452,414,711","84,767,483","47,596,709","24,078,246","4,259.00","18,696.00",4.28,6.11,0.67,"Quý 1/2022
01/01-31/03
CKT/HN"
"9,629,602","3,628,414","4,537,629","3,600,022","3,434,131","728,532,373","32,937,210","448,598,622","648,919,154","65,116,779","443,605,638","79,613,219","47,596,709","19,063,767","4,328.00","17,559.00",3.95,4.42,0.50,"Quý 4/2021
01/10-31/12
CKT/HN"
"9,038,629","3,728,778","6,295,505","5,034,902","4,879,193","656,804,225","37,194,092","417,061,489","580,894,349","63,171,996","377,145,234","75,909,876","39,615,017","23,585,768","4,575.00","16,742.00",4.37,6.65,0.74,"Quý 3/2021
01/07-30/09
CKT/HN"
"8,969,406","3,860,555","5,986,513","4,793,819","4,623,202","658,274,396","57,116,354","404,439,406","587,367,590","62,770,943","396,909,793","70,906,806","39,318,356","18,860,755","4,221.00","18,767.00",5.73,6.70,0.71,"Quý 2/2021
01/04-30/06
CKT/HN"
"8,385,485","3,597,881","5,909,673","4,726,442","4,546,209","649,039,794","48,938,002","405,221,579","581,976,246","86,402,081","390,173,507","67,063,548","39,318,356","17,452,102","3,933.00","17,750.00",8.38,7.02,0.72,"Quý 1/2021
01/01-31/03
CKT/HN"
