Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"18,854,898","5,254,838","626,631","478,851","104,356","42,629,110","146,522,417","107,688,924","49,428,183","38,833,493",216.00,"27,140.00",344.06,2.54,0.27,0.07,,"Quý 1/2024
01/01-31/03
CKT/HN"
"20,781,920","5,767,833","893,065","516,776","50,110","43,763,477","147,383,472","109,146,231","50,422,500","38,237,241",293.00,"26,724.00",228.37,2.49,0.13,0.03,,"Quý 4/2023
01/10-31/12
CKT/HN"
"20,154,911","5,939,635","442,988","484,513","48,376","47,845,660","145,072,630","106,999,415","54,028,721","38,073,215",572.00,"26,609.00",133.33,2.40,0.13,0.03,,"Quý 3/2023
01/07-30/09
CKT/HN"
"18,608,561","5,327,477","466,572","429,187","105,294","45,883,821","140,858,359","103,334,056","57,503,618","37,524,303",920.00,"26,356.00",81.70,2.31,0.28,0.07,,"Quý 2/2023
01/04-30/06
CKT/HN"
"18,706,227","5,086,167","547,804","439,451","214,915","51,583,262","145,783,619","108,677,511","61,125,017","37,106,108","1,546.00","26,063.00",50.32,2.35,0.58,0.15,,"Quý 1/2023
01/01-31/03
CKT/HN"
"20,642,781","5,554,169","962,309","803,554","447,050","47,674,624","141,342,815","104,706,076","65,320,877","36,636,739","2,628.00","25,733.00",35.39,3.89,1.24,0.33,,"Quý 4/2022
01/10-31/12
CKT/HN"
"19,523,055","5,424,308","963,369","840,984","543,155","36,801,602","128,431,115","92,829,597","63,610,497","35,601,518","7,390.00","25,006.00",13.40,4.31,1.46,0.43,,"Quý 3/2022
01/07-30/09
CKT/HN"
"17,834,053","4,967,440","1,269,508","1,214,873","980,911","36,815,333","125,259,949","86,463,709","52,344,059","38,796,240","8,254.00","27,250.00",13.57,6.81,2.60,0.79,,"Quý 2/2022
01/04-30/06
CKT/HN"
"18,189,336","5,089,107","2,027,556","1,894,973","1,595,880","38,346,182","124,284,102","87,545,658","38,734,533","36,738,444","8,454.00","31,120.00",16.82,10.42,4.04,1.27,,"Quý 1/2022
01/01-31/03
CKT/HN"
"23,827,803","6,877,246","7,929,270","7,118,856","6,436,813","43,630,176","126,093,471","83,756,819","34,547,836","42,336,652","7,268.00","35,862.00",23.53,29.88,17.23,5.16,,"Quý 4/2021
01/10-31/12
CKT/HN"
"23,604,809","6,096,188","1,736,820","1,586,332","1,147,456","36,888,542","123,396,452","91,029,737","39,858,448","32,366,715","2,032.00","27,417.00",70.16,6.72,3.60,0.94,,"Quý 3/2021
01/07-30/09
CKT/HN"
"21,219,294","4,847,247","1,143,791","1,053,462","791,243","34,398,733","120,696,902","89,260,191","38,124,851","31,436,711","1,784.00","26,629.00",62.43,4.96,2.78,0.67,,"Quý 2/2021
01/04-30/06
CKT/HN"
"19,976,861","4,314,120","463,301","342,731","187,370","31,327,888","116,266,529","90,861,428","37,773,997","25,405,101","1,279.00","21,627.00",72.33,1.72,0.74,0.16,,"Quý 1/2021
01/01-31/03
CKT/HN"
"21,599,531","5,214,759","746,003","584,393","265,226","29,760,685","115,736,562","90,706,283","38,874,663","25,030,279","1,054.00","21,308.00",84.37,2.71,0.99,0.24,,"Quý 4/2020
01/10-31/12
CKT/HN"
"20,214,308","4,817,839","210,020","972,565","851,502","25,574,944","109,264,560","80,668,824","37,457,587","28,595,736","2,066.00","24,343.00",26.42,4.81,2.85,0.79,,"Quý 3/2020
01/07-30/09
CKT/HN"
"17,766,382","3,894,584","324,589","54,408","195,362","24,716,045","105,003,862","73,785,579","37,243,199","31,218,283","3,245.00","26,706.00",16.67,0.31,0.47,0.19,,"Quý 2/2020
01/04-30/06
CKT/HN"
"17,637,587","3,961,515","-84,838","-216,353","-78,108","30,897,924","105,075,751","53,509,343","33,057,956","51,566,408","3,952.00","44,114.00",12.40,-1.23,-0.15,-0.08,,"Quý 1/2020
01/01-31/03
CKT/HN"
