Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"31,486,492","6,712,616","1,212,405","902,974","902,437","56,259,440","63,543,531","37,509,372","31,420,953","26,034,159",717.00,"17,804.00",71.26,2.87,3.65,1.46,,"Quý 1/2024
01/01-31/03
CKT/HN"
"31,421,489","6,186,461","463,219","90,318","90,258","51,946,979","60,107,878","36,748,320","30,761,902","23,359,558",115.00,"15,973.00",373.43,0.29,0.39,0.15,,"Quý 4/2023
01/10-31/12
CKT/HN"
"30,287,657","5,678,485","196,834","38,816","38,739","49,825,378","58,644,798","35,374,645","29,475,270","23,270,153",476.00,"15,911.00",110.51,0.13,0.16,0.07,,"Quý 3/2023
01/07-30/09
CKT/HN"
"29,464,830","5,441,168","189,371","17,414","17,406","49,611,451","59,368,502","35,404,828","29,505,453","23,963,674","1,069.00","16,380.00",40.52,0.06,0.07,0.03,,"Quý 2/2023
01/04-30/06
CKT/HN"
"31,486,492","6,712,616","1,212,405","902,974","902,437","56,259,440","63,543,531","37,509,372","31,420,953","26,034,159",717.00,"17,804.00",71.26,2.87,3.65,1.46,,"Quý 1/2023
01/01-31/03
CKT/HN"
"31,421,489","6,186,461","463,219","90,318","90,258","51,946,979","60,107,878","36,748,320","30,761,902","23,359,558",115.00,"15,973.00",373.43,0.29,0.39,0.15,,"Quý 4/2022
01/10-31/12
CKT/HN"
"30,287,657","5,678,485","196,834","38,816","38,739","49,825,378","58,644,798","35,374,645","29,475,270","23,270,153",476.00,"15,911.00",110.51,0.13,0.16,0.07,,"Quý 3/2022
01/07-30/09
CKT/HN"
"29,464,830","5,441,168","189,371","17,414","17,406","49,611,451","59,368,502","35,404,828","29,505,453","23,963,674","1,069.00","16,380.00",40.52,0.06,0.07,0.03,,"Quý 2/2022
01/04-30/06
CKT/HN"
"27,105,812","5,214,500","168,427","21,281","21,267","43,359,007","53,919,016","29,965,599","24,064,349","23,953,417","2,059.00","16,369.00",18.72,0.08,0.09,0.04,,"Quý 1/2022
01/01-31/03
SX/HN"
"30,588,381","7,929,509","964,210","619,022","619,041","44,631,140","55,834,210","31,901,628","26,000,378","23,932,582","3,646.00","16,354.00",11.77,2.02,2.62,1.06,,"Quý 4/2021
01/10-31/12
CKT/HN"
"32,011,980","7,392,024","1,647,301","906,779","906,246","50,183,401","61,281,997","37,968,545","32,001,045","23,313,452","5,437.00","15,928.00",11.77,2.83,3.96,1.50,,"Quý 3/2021
01/07-30/09
CKT/HN"
"34,337,740","7,336,418","1,703,196","1,130,669","1,130,011","48,626,741","59,216,900","36,812,511","36,812,511","22,404,388","7,117.00","15,307.00",10.05,3.29,5.11,1.86,,"Quý 2/2021
01/04-30/06
CKT/HN"
"36,466,677","8,124,264","1,997,371","1,445,244","1,444,465","51,376,792","62,370,640","40,560,350","40,560,350","21,810,291","8,200.00","29,794.00",17.78,3.96,6.85,2.30,,"Quý 1/2021
01/01-31/03
CKT/HN"
"36,138,330","7,374,890","2,026,738","1,563,313","1,562,486","51,976,154","62,983,197","42,604,838","39,836,438","20,378,359","8,867.00","28,588.00",15.33,4.33,7.97,2.76,,"Quý 4/2020
01/10-31/12
CKT/HN"
"24,333,214","6,088,713","965,787","785,802","785,385","35,015,204","50,127,294","31,320,026","27,421,545","18,807,267","8,843.00","26,381.00",14.45,3.23,4.24,1.51,,"Quý 3/2020
01/07-30/09
CKT/HN"
"31,658,419","7,143,583","1,628,200","1,213,678","1,213,030","44,393,735","54,138,905","35,879,987","34,751,040","18,258,918","9,641.00","38,415.00",15.77,3.83,6.89,2.33,,"Quý 2/2020
01/04-30/06
SX/HN"
"30,828,144","7,024,946","1,823,977","1,338,633","1,337,969","40,807,257","49,885,508","32,931,984","31,804,172","16,953,524","9,056.00","36,371.00",14.32,4.34,8.25,2.79,,"Quý 1/2020
01/01-31/03
SX/HN"
"27,193,693","6,274,665","1,328,359","942,297","941,797","37,425,548","46,139,194","30,657,504","29,530,827","15,481,690","8,655.00","34,206.00",13.74,3.47,6.14,2.17,,"Quý 4/2019
01/10-31/12
CKT/HN"
"25,713,554","5,749,720","1,279,240","951,032","950,540","32,884,122","40,727,512","25,507,282","24,381,740","15,220,230","8,522.00","33,623.00",12.24,3.70,6.45,2.40,,"Quý 3/2019
01/07-30/09
CKT/HN"
"26,285,559","5,770,142","1,262,259","894,424","893,912","30,910,452","38,346,341","24,073,431","22,949,024","14,272,910","8,358.00","31,493.00",9.67,3.40,6.47,2.38,,"Quý 2/2019
01/04-30/06
CKT/HN"
"29,353,213","6,159,970","1,542,672","1,132,120","1,131,519","30,121,860","36,869,933","23,491,162","22,367,890","13,378,771","8,820.00","29,546.00",6.68,3.86,8.87,2.88,,"Quý 1/2019
01/01-31/03
SX/HN"
"25,410,989","5,365,047","1,174,063","860,022","859,569","35,011,897","41,708,096","29,564,503","28,442,367","12,143,592","8,660.00","27,431.00",13.16,3.38,7.34,2.32,,"Quý 4/2018
01/10-31/12
CKT/HN"
"25,142,086","4,940,557","1,136,428","855,532","855,081","26,686,795","32,353,400","21,063,673","19,942,672","11,289,726","8,701.00","25,500.00",14.49,3.40,7.87,2.63,,"Quý 3/2018
01/07-30/09
CKT/HN"
"26,603,759","4,748,417","1,392,800","1,079,566","1,079,179","27,617,537","32,766,826","22,335,864","21,215,998","10,430,962","8,861.00","23,558.00",10.47,4.06,10.56,3.42,,"Quý 2/2018
01/04-30/06
CKT/HN"
"25,017,410","4,433,778","1,331,392","1,041,120","1,040,441","25,629,416","30,405,181","20,388,072","19,212,733","10,017,109","8,627.00","22,606.00",9.83,4.16,10.95,3.56,,"Quý 1/2018
01/01-31/03
SX/HN"
