Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"75,106,197","4,669,438","1,419,130","1,132,833","1,072,974","58,284,382","80,732,358","50,419,175","49,633,736","30,313,183","2,539.00","23,858.00",14.69,1.51,3.61,1.34,,"Quý 1/2024
01/01-31/03
CKT/HN"
"68,656,417","3,981,968","799,079","764,181","641,045","56,666,895","78,962,072","49,776,784","48,980,243","29,185,288","2,182.00","22,970.00",15.81,1.11,2.23,0.80,,"Quý 4/2023
01/10-31/12
CKT/HN"
"72,414,132","3,779,561","1,152,797","729,379","738,170","61,140,996","81,876,406","53,447,994","52,498,296","28,428,412","2,597.00","22,374.00",14.44,1.01,2.62,0.91,,"Quý 3/2023
01/07-30/09
CKT/HN"
"65,751,879","3,838,868","989,783","849,934","773,540","57,981,841","80,817,827","52,925,957","51,997,266","27,891,870","2,094.00","21,952.00",17.84,1.29,2.75,1.04,,"Quý 2/2023
01/04-30/06
CKT/HN"
"75,106,197","4,669,438","1,419,130","1,132,833","1,072,974","58,284,382","80,732,358","50,419,175","49,633,736","30,313,183","2,539.00","23,858.00",14.69,1.51,3.61,1.34,,"Quý 1/2023
01/01-31/03
CKT/HN"
"68,656,417","3,981,968","799,079","764,181","641,045","56,666,895","78,962,072","49,776,784","48,980,243","29,185,288","2,182.00","22,970.00",15.81,1.11,2.23,0.80,,"Quý 4/2022
01/10-31/12
CKT/HN"
"72,414,132","3,779,561","1,152,797","729,379","738,170","61,140,996","81,876,406","53,447,994","52,498,296","28,428,412","2,597.00","22,374.00",14.44,1.01,2.62,0.91,,"Quý 3/2022
01/07-30/09
CKT/HN"
"65,751,879","3,838,868","989,783","849,934","773,540","57,981,841","80,817,827","52,925,957","51,997,266","27,891,870","2,094.00","21,952.00",17.84,1.29,2.75,1.04,,"Quý 2/2022
01/04-30/06
CKT/HN"
"67,432,314","3,559,165","826,206","666,972","619,676","44,727,892","68,638,881","40,212,985","39,256,788","28,425,896","1,330.00","22,372.00",28.15,0.99,2.20,0.87,,"Quý 1/2022
01/01-31/03
CKT/HN"
"78,383,071","4,285,823","1,357,978","1,414,207","1,168,037","49,477,222","73,811,082","46,003,635","45,010,203","27,807,447","1,034.00","21,885.00",30.65,1.80,4.31,1.61,,"Quý 4/2021
01/10-31/12
CKT/HN"
"73,694,770","2,802,791","302,479","189,812","98,946","45,378,461","71,026,145","44,613,183","43,434,880","26,412,962",583.00,"20,788.00",56.41,0.26,0.38,0.13,,"Quý 3/2021
01/07-30/09
CKT/HN"
"84,367,409","2,402,507","-295,475","-140,752","-196,202","53,889,271","81,048,728","54,929,310","53,671,181","26,119,419",568.00,"20,557.00",71.01,-0.17,-0.72,-0.24,,"Quý 2/2021
01/04-30/06
CKT/HN"
"67,019,920","2,777,467","553,318","442,432","243,337","58,388,395","83,212,040","54,535,986","53,294,487","28,676,054","1,843.00","22,569.00",29.94,0.66,0.85,0.33,,"Quý 1/2021
01/01-31/03
CKT/HN"
"49,371,864","3,049,388","601,855","701,439","594,936","40,797,469","64,297,848","36,062,704","34,834,615","28,235,144","2,195.00","22,222.00",24.55,1.42,2.13,0.95,,"Quý 4/2020
01/10-31/12
CKT/HN"
"34,625,296","2,035,667","83,065","79,547","76,177","38,377,137","61,579,613","33,985,608","32,564,844","27,594,005","2,494.00","21,717.00",20.69,0.23,0.28,0.12,,"Quý 3/2020
01/07-30/09
CKT/HN"
"46,588,742","4,154,173","1,728,812","1,513,706","1,406,349","44,603,702","68,380,224","40,936,565","39,435,314","27,443,659","3,153.00","22,064.00",17.38,3.25,5.22,2.12,,"Quý 2/2020
01/04-30/06
CKT/HN"
"38,247,061","3,393,755","983,819","736,215","661,254","41,149,732","64,512,470","38,034,854","36,442,182","26,477,616","2,584.00","21,287.00",21.32,1.92,2.61,1.05,,"Quý 1/2020
01/01-31/03
CKT/HN"
"31,276,772","3,716,529","1,174,373","1,006,765","933,329","37,815,910","61,143,212","37,007,090","35,373,459","24,136,122",475.00,"19,803.00",115.06,3.22,3.93,1.57,,"Quý 4/2019
01/10-31/12
CKT/HN"
"27,461,973","3,136,302","1,027,597","921,143","853,126","34,540,173","57,471,597","34,166,614","32,662,100","23,304,983",513.00,"19,121.00",98.14,3.35,3.74,1.46,,"Quý 3/2019
01/07-30/09
CKT/HN"
"26,708,901","2,751,569","691,904","733,178","677,158","36,495,183","59,343,776","36,995,909","35,334,765","22,347,868",605.00,"17,272.00",73.52,2.75,3.06,1.18,,"Quý 2/2019
01/04-30/06
CKT/HN"
"38,477,738","449,796","-1,703,290","-1,813,156","-1,893,095","31,939,652","55,078,785","33,118,896","31,387,452","21,959,889",997.00,"18,441.00",36.60,-4.71,-7.91,-3.24,,"Quý 1/2019
01/01-31/03
CKT/HN"
"49,339,524","3,557,090","1,373,414","1,132,154","975,215","38,868,922","61,883,916","35,924,443","34,234,365","25,959,474","3,635.00","21,800.00",15.41,2.29,3.83,1.63,,"Quý 4/2018
01/10-31/12
CKT/HN"
