Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Time
"6,243,103","376,721","207,139","216,297","277,633","28,377,297","72,549,765","38,681,995","28,586,606","33,867,770",350.00,"14,462.00",32.60,3.46,0.82,0.39,"Quý 1/2024
01/01-31/03
CKT/HN"
"6,411,527","728,086","429,498","445,728","332,454","29,152,451","70,347,039","36,181,202","26,261,244","34,165,838",459.00,"14,589.00",24.50,6.95,0.98,0.50,"Quý 4/2023
01/10-31/12
CKT/HN"
"5,679,491","306,932","83,729","52,382","82,659","29,378,901","63,607,990","29,899,831","23,331,096","33,708,159",609.00,"14,394.00",19.04,0.92,0.24,0.13,"Quý 3/2023
01/07-30/09
CKT/HN"
"8,430,921","469,058","261,624","181,632","126,283","29,649,494","61,818,330","27,986,752","21,956,873","33,831,578",603.00,"14,446.00",22.24,2.15,0.37,0.21,"Quý 2/2023
01/04-30/06
CKT/HN"
"6,243,103","376,721","207,139","216,297","277,633","28,377,297","72,549,765","38,681,995","28,586,606","33,867,770",350.00,"14,462.00",32.60,3.46,0.82,0.39,"Quý 1/2023
01/01-31/03
CKT/HN"
"6,411,527","728,086","429,498","445,728","332,454","29,152,451","70,347,039","36,181,202","26,261,244","34,165,838",459.00,"14,589.00",24.50,6.95,0.98,0.50,"Quý 4/2022
01/10-31/12
CKT/HN"
"5,679,491","306,932","83,729","52,382","82,659","29,378,901","63,607,990","29,899,831","23,331,096","33,708,159",609.00,"14,394.00",19.04,0.92,0.24,0.13,"Quý 3/2022
01/07-30/09
CKT/HN"
"8,430,921","469,058","261,624","181,632","126,283","29,649,494","61,818,330","27,986,752","21,956,873","33,831,578",603.00,"14,446.00",22.24,2.15,0.37,0.21,"Quý 2/2022
01/04-30/06
CKT/HN"
"7,424,375","678,926","536,995","649,978","534,002","26,260,063","58,004,553","24,195,954","18,683,713","33,808,599",727.00,"14,437.00",18.16,8.75,1.59,0.93,"Quý 1/2022
01/01-31/03
CKT/HN"
"7,669,214","1,107,752","840,774","731,823","683,865","24,685,400","56,641,700","23,535,494","18,306,885","33,106,206",807.00,"14,137.00",13.20,9.54,2.09,1.21,"Quý 4/2021
01/10-31/12
CKT/HN"
"6,041,684","702,673","204,987","201,281","66,854","24,122,048","56,502,551","24,099,721","18,548,314","32,402,830",488.00,"13,836.00",25.31,3.33,0.21,0.12,"Quý 3/2021
01/07-30/09
CKT/HN"
"7,462,393","929,004","584,046","582,086","417,264","24,661,163","57,698,847","25,508,993","19,949,505","32,189,855",666.00,"13,745.00",20.43,7.80,1.31,0.74,"Quý 2/2021
01/04-30/06
CKT/HN"
"7,061,388","1,027,171","869,497","803,482","721,340","21,032,715","54,897,772","23,149,595","17,189,777","31,748,178",862.00,"13,557.00",18.40,11.38,2.29,1.34,"Quý 1/2021
01/01-31/03
CKT/HN"
