Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"7,183,512","2,100,218","1,308,389","1,023,722","997,269","24,868,689","32,146,521","5,689,664","5,344,984","26,456,856","4,260.00","20,628.00",13.31,14.25,3.84,3.01,,"Quý 1/2024
01/01-31/03
CKT/HN"
"8,520,387","2,455,728","1,266,895","966,519","946,648","26,553,406","34,056,625","8,571,467","8,224,608","25,485,158","5,012.00","19,871.00",12.57,11.34,3.64,2.81,,"Quý 4/2023
01/10-31/12
CKT/HN"
"7,414,904","2,232,766","1,346,632","1,074,047","1,044,409","25,948,827","33,426,374","6,907,846","6,490,319","26,518,528","6,442.00","20,676.00",11.25,14.48,4.01,3.11,,"Quý 3/2023
01/07-30/09
CKT/HN"
"8,312,142","2,487,879","1,536,090","1,210,440","1,159,245","26,098,898","33,646,876","8,123,463","7,638,835","25,523,413","7,036.00","39,801.00",21.83,14.56,4.54,3.56,,"Quý 2/2023
01/04-30/06
CKT/HN"
"7,183,512","2,100,218","1,308,389","1,023,722","997,269","24,868,689","32,146,521","5,689,664","5,344,984","26,456,856","4,260.00","20,628.00",13.31,14.25,3.84,3.01,,"Quý 1/2023
01/01-31/03
CKT/HN"
"8,520,387","2,455,728","1,266,895","966,519","946,648","26,553,406","34,056,625","8,571,467","8,224,608","25,485,158","5,012.00","19,871.00",12.57,11.34,3.64,2.81,,"Quý 4/2022
01/10-31/12
CKT/HN"
"7,414,904","2,232,766","1,346,632","1,074,047","1,044,409","25,948,827","33,426,374","6,907,846","6,490,319","26,518,528","6,442.00","20,676.00",11.25,14.48,4.01,3.11,,"Quý 3/2022
01/07-30/09
CKT/HN"
"8,312,142","2,487,879","1,536,090","1,210,440","1,159,245","26,098,898","33,646,876","8,123,463","7,638,835","25,523,413","7,036.00","39,801.00",21.83,14.56,4.54,3.56,,"Quý 2/2022
01/04-30/06
CKT/HN"
"6,213,934","1,914,990","1,253,014","1,004,047","967,304","24,035,837","31,480,307","5,907,353","5,382,596","25,572,954","7,829.00","39,878.00",23.59,16.16,3.86,2.93,,"Quý 1/2022
01/01-31/03
CKT/HN"
"10,029,204","2,813,589","1,358,639","1,075,883","1,043,337","26,860,225","34,465,076","9,874,230","9,213,862","24,590,846","8,146.00","38,346.00",20.49,10.73,4.14,3.05,,"Quý 4/2021
01/10-31/12
CKT/HN"
"8,635,078","2,694,159","1,731,340","1,394,597","1,341,941","26,420,334","33,949,185","8,103,460","7,447,627","25,845,724","8,568.00","40,303.00",21.59,16.15,5.33,4.11,,"Quý 3/2021
01/07-30/09
CKT/HN"
"9,008,445","3,085,913","2,209,745","1,793,094","1,667,877","23,788,902","31,340,762","6,873,169","6,241,893","24,467,593","7,167.00","38,154.00",21.57,19.90,7.05,5.45,,"Quý 2/2021
01/04-30/06
CKT/HN"
"7,306,356","2,177,046","1,529,936","1,236,224","1,170,696","22,424,394","29,887,133","7,064,802","6,384,330","22,822,331","6,124.00","35,589.00",25.96,16.92,5.16,3.88,,"Quý 1/2021
01/01-31/03
CKT/HN"
"9,003,847","2,492,042","1,723,621","1,400,092","1,313,729","22,877,033","30,487,024","7,892,239","7,258,021","22,594,786","5,734.00","35,234.00",26.33,15.55,5.82,4.46,,"Quý 4/2020
01/10-31/12
CKT/HN"
"4,282,337","1,141,567","597,780","471,925","443,965","20,870,073","28,427,884","5,860,663","5,025,239","22,567,222","5,971.00","35,191.00",26.19,11.02,1.99,1.56,,"Quý 3/2020
01/07-30/09
CKT/HN"
"7,226,270","2,263,185","1,303,202","1,070,945","998,722","20,949,993","28,560,634","6,399,615","5,473,586","22,161,019","7,451.00","34,557.00",22.69,14.82,4.61,3.60,,"Quý 2/2020
01/04-30/06
CKT/HN"
"5,861,293","1,711,771","1,155,629","986,344","920,836","19,224,902","26,989,160","5,808,140","4,846,369","21,181,020","7,710.00","33,029.00",23.35,16.83,4.34,3.39,,"Quý 1/2020
01/01-31/03
CKT/HN"
"7,865,362","2,468,274","1,862,387","1,533,756","1,465,792","19,513,381","27,374,973","6,159,696","5,173,043","21,215,276","7,366.00","33,083.00",26.47,19.50,6.94,5.32,,"Quý 4/2019
01/10-31/12
CKT/HN"
"8,052,118","2,472,466","1,806,317","1,470,416","1,393,014","19,987,612","27,686,461","6,640,936","5,837,028","21,045,524","6,653.00","32,818.00",27.55,18.26,6.83,5.17,,"Quý 3/2019
01/07-30/09
CKT/HN"
"7,135,024","2,207,139","1,466,201","1,215,692","1,164,460","18,413,850","26,159,349","6,417,635","5,573,385","19,741,713","6,642.00","30,785.00",23.64,17.04,6.09,4.63,,"Quý 2/2019
01/04-30/06
CKT/HN"
"4,908,820","1,353,216","941,506","716,982","700,230","16,346,544","24,186,570","5,699,870","4,816,868","18,486,700","7,068.00","28,828.00",17.40,14.61,3.63,2.74,,"Quý 1/2019
01/01-31/03
CKT/HN"
"9,729,083","2,547,198","1,417,972","1,090,841","1,008,416","19,164,603","26,962,476","6,886,229","6,087,830","20,076,247","7,880.00","31,306.00",28.93,11.21,5.16,3.90,,"Quý 4/2018
01/10-31/12
CKT/HN"
"9,745,434","2,398,636","1,808,055","1,459,308","1,386,490","17,575,957","24,777,610","5,796,889","5,492,197","18,980,720","7,654.00","29,598.00",34.44,14.97,7.38,5.68,,"Quý 3/2018
01/07-30/09
CKT/HN"
"9,087,766","2,413,562","1,863,460","1,530,066","1,437,739","16,861,849","24,060,963","5,468,545","5,174,249","18,592,418","7,012.00","28,993.00",39.22,16.84,8.02,6.10,,"Quý 2/2018
01/04-30/06
CKT/HN"
"9,336,776","2,191,232","1,585,120","1,289,933","1,220,719","15,515,538","23,039,552","5,777,984","5,451,256","17,261,568","6,678.00","26,917.00",37.39,13.82,7.32,5.38,,"Quý 1/2018
01/01-31/03
CKT/HN"
"10,406,027","2,184,096","1,123,769","918,782","863,115","14,690,168","22,378,526","6,268,953","5,940,649","16,109,573","6,510.00","25,121.00",41.09,8.83,5.11,3.80,,"Quý 4/2017
01/10-31/12
CKT/HN"
"8,562,716","1,859,588","1,271,833","1,034,757","974,874","15,206,371","23,000,453","5,297,792","5,073,408","17,702,660","7,192.00","27,605.00",30.94,12.08,5.65,4.33,,"Quý 3/2017
01/07-30/09
CKT/HN"
"9,169,907","2,096,460","1,556,624","1,291,036","1,223,472","14,135,940","22,026,378","5,232,426","5,015,642","16,793,953","7,384.00","26,188.00",30.54,14.08,7.57,5.72,,"Quý 2/2017
01/04-30/06
CKT/HN"
"7,809,902","1,943,994","1,395,524","1,155,734","1,113,530","12,576,323","20,764,719","5,213,474","5,005,836","15,551,245","7,297.00","24,250.00",32.97,14.80,7.43,5.21,,"Quý 1/2017
01/01-31/03
CKT/HN"
"10,467,222","2,549,556","1,765,908","1,418,828","1,300,112","13,746,941","22,079,344","7,317,132","7,178,234","14,762,212","7,318.00","23,020.00",34.07,13.55,8.48,6.00,,"Quý 4/2016
01/10-31/12
CKT/HN"
"8,055,112","2,125,404","1,424,507","1,151,719","1,098,207","13,208,725","21,241,532","5,342,290","5,209,060","15,899,242","6,737.00","24,793.00",38.60,14.30,7.17,5.32,,"Quý 3/2016
01/07-30/09
CKT/HN"
"8,300,569","1,887,214","1,499,986","1,237,042","1,167,774","11,915,775","20,055,319","5,331,572","5,178,630","14,723,747","6,940.00","22,960.00",30.02,14.90,8.25,6.02,,"Quý 2/2016
01/04-30/06
CKT/HN"
"7,478,134","2,505,962","1,435,135","1,187,963","1,126,781","10,421,900","18,753,849","5,153,773","5,010,258","13,600,076","7,255.00","21,208.00",27.57,15.89,8.66,5.94,,"Quý 1/2016
01/01-31/03
CKT/HN"
"8,833,506","2,258,121","1,105,778","996,773","927,246","10,768,939","19,260,096","6,895,091","6,607,238","12,365,004","6,978.00","19,282.00",28.33,11.28,6.93,4.42,,"Quý 4/2015
01/10-31/12
CKT/HN"
"7,073,055","1,953,825","1,486,935","1,272,956","1,228,453","13,893,792","22,703,384","8,300,466","7,733,455","14,402,918","6,640.00","22,460.00",0,18.00,8.55,5.40,,"Quý 3/2015
01/07-30/09
CKT/HN"
"7,605,104","2,154,032","1,786,461","1,401,919","1,370,298","13,790,724","22,787,898","8,438,616","7,885,128","14,349,282","6,355.00","22,376.00",0,18.43,9.37,6.13,,"Quý 1/2015
01/01-31/03
CKT/HN"
"7,130,670","1,903,550","1,219,836","983,481","948,924","12,440,234","21,914,049","7,002,521","5,980,779","14,911,528","4,219.00","23,253.00",,13.79,6.55,4.36,,"Quý 3/2015
01/07-30/09
CKT/HN"
"4,912,846","2,026,606","902,417","857,422","710,584","12,195,273","22,007,245","9,925,928","9,178,401","12,081,317","4,227.00","18,839.00",,17.45,5.41,3.31,,"Quý 1/2015
01/01-31/03
CKT/HN"
"9,684,444","1,976,560","1,370,947","1,063,373","1,045,796","11,197,461","20,881,569","6,688,775","5,712,461","14,192,794","3,119.00","22,132.00",,10.98,14.74,10.02,,"Quý 3/2014
01/07-30/09
CKT/HN"
"5,742,578","1,725,424","1,242,454","980,458","954,504","10,532,808","21,523,468","7,587,895","6,500,988","13,935,573","3,014.00","21,731.00",,17.07,7.30,4.42,,"Quý 1/2014
01/01-31/03
CKT/HN"
"9,684,444","1,976,560","1,370,947","1,063,373","1,045,796","11,197,461","20,881,569","6,688,775","5,712,461","14,192,794","3,119.00","22,132.00",,10.98,14.74,10.02,,
"5,742,578","1,725,424","1,242,454","980,458","954,504","10,532,808","21,523,468","7,587,895","6,500,988","13,935,573","3,014.00","21,731.00",,17.07,7.30,4.42,,
"6,303,900","2,011,168","1,031,193","1,027,991","978,223","8,796,024","19,552,035","6,335,934","4,910,228","12,343,761","2,828.00","19,249.00",,16.31,15.85,10.01,"872,340",
"4,876,052","1,451,748","1,061,284","885,333","835,464","7,650,818","18,276,938","6,308,519","4,730,637","11,134,661","1,303.00","17,363.00",,18.16,7.79,4.50,"833,759",
