Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"5,170,071","1,114,655","4,017,021","3,209,284","3,209,284","621,144,113","69,288,881","428,512,864","567,963,139","68,598,943","444,297,051","53,180,974","37,638,324","11,089,358","2,303.00","14,521.00",4.95,6.21,0.51,"Quý 1/2024
01/01-31/03
CKT/HN"
"5,356,054","1,192,502","734,974","579,065","579,065","630,424,751","63,547,919","428,763,835","580,544,885","70,773,152","447,503,426","49,879,866","37,638,324","8,896,292","2,298.00","13,783.00",4.70,1.17,0.09,"Quý 4/2023
01/10-31/12
CKT/HN"
"4,421,543","1,546,063","2,425,291","2,058,692","2,058,692","595,697,716","65,682,788","412,668,584","546,174,112","57,847,064","427,449,408","49,523,604","37,638,324","8,531,797","2,426.00","13,685.00",4.58,4.23,0.35,"Quý 3/2023
01/07-30/09
CKT/HN"
"4,133,798","1,115,587","2,452,828","2,060,208","2,060,208","585,111,645","68,923,122","400,409,703","537,363,599","63,192,021","409,618,315","47,748,046","32,118,175","12,257,251","2,768.00","15,569.00",4.52,4.40,0.36,"Quý 2/2023
01/04-30/06
CKT/HN"
"5,843,911","1,209,770","3,619,947","2,881,168","2,881,168","570,193,860","56,572,446","400,120,644","524,380,204","70,694,596","391,481,655","45,813,656","32,118,175","10,251,722","2,879.00","14,938.00",3.73,6.50,0.51,"Quý 1/2024
01/01-31/03
CKT/HN"
"4,292,071","1,262,779","623,597","478,547","478,547","551,351,129","63,391,451","378,351,539","508,595,013","78,513,434","361,841,278","42,756,116","32,118,175","8,333,422","2,869.00","13,941.00",3.47,1.13,0.09,"Quý 4/2023
01/10-31/12
CKT/HN"
"4,820,791","1,179,434","3,258,189","2,590,623","2,590,623","528,560,025","50,201,289","369,601,443","486,265,786","84,955,743","340,717,466","42,294,239","28,118,041","11,900,790","3,264.00","15,859.00",3.81,6.32,0.49,"Quý 3/2023
01/07-30/09
CKT/HN"
"4,209,564","944,796","2,621,422","2,096,051","2,096,051","522,131,059","50,959,791","366,682,560","482,450,150","85,190,105","339,768,265","39,680,909","28,118,041","9,178,340","3,062.00","14,879.00",4.41,5.41,0.40,"Quý 2/2023
01/04-30/06
CKT/HN"
"4,222,746","995,024","3,226,502","2,581,681","2,581,681","515,553,313","60,432,537","366,564,923","477,734,525","75,909,225","333,638,681","37,818,788","28,118,041","7,128,662","2,913.00","14,181.00",7.35,7.04,0.51,"Quý 1/2023
01/01-31/03
CKT/HN"
"4,774,049","1,349,761","1,169,223","938,705","938,705","506,556,379","64,132,885","357,456,180","470,880,249","79,623,409","327,318,099","35,676,130","28,118,041","4,657,212","2,583.00","13,378.00",8.63,2.92,0.19,"Quý 4/2022
01/10-31/12
CKT/HN"
"3,965,594","911,760","1,868,804","1,494,652","1,494,652","464,595,281","48,801,267","335,232,407","435,915,309","56,703,630","324,242,541","28,679,972","19,356,944","7,115,364","2,536.00","14,894.00",10.49,5.37,0.32,"Quý 3/2022
01/07-30/09
CKT/HN"
