Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"2,001,719","911,323","1,506,256","1,201,332","1,201,332","271,613,578","60,695,832","178,163,099","240,047,910","65,368,819","154,371,586","31,565,668","25,063,167","4,719,665","1,704.00","12,648.00",12.97,3.88,0.45,"Quý 1/2024
01/01-31/03
CKT/HN"
"2,215,184","1,040,374","1,460,120","1,161,289","1,161,289","266,107,033","48,698,574","176,773,874","235,810,354","66,698,038","144,840,006","30,296,679","25,063,167","3,518,197","1,631.00","12,140.00",14.65,3.94,0.45,"Quý 4/2023
01/10-31/12
CKT/HN"
"1,638,021","883,491","1,139,872","908,195","908,195","248,810,092","45,093,497","165,739,695","220,182,346","48,843,150","140,963,124","28,627,746","24,559,167","2,916,256","1,567.00","11,667.00",15.96,3.22,0.37,"Quý 3/2023
01/07-30/09
CKT/HN"
"1,507,548","852,295","946,470","753,505","753,505","245,206,026","44,259,836","159,125,807","217,484,189","65,789,598","123,232,629","27,721,837","21,607,167","4,960,062","1,688.00","13,587.00",16.03,2.75,0.31,"Quý 2/2023
01/04-30/06
CKT/HN"
"2,001,719","911,323","1,506,256","1,201,332","1,201,332","271,613,578","60,695,832","178,163,099","240,047,910","65,368,819","154,371,586","31,565,668","25,063,167","4,719,665","1,704.00","12,648.00",12.97,3.88,0.45,"Quý 1/2023
01/01-31/03
CKT/HN"
"2,215,184","1,040,374","1,460,120","1,161,289","1,161,289","266,107,033","48,698,574","176,773,874","235,810,354","66,698,038","144,840,006","30,296,679","25,063,167","3,518,197","1,631.00","12,140.00",14.65,3.94,0.45,"Quý 4/2022
01/10-31/12
CKT/HN"
"1,638,021","883,491","1,139,872","908,195","908,195","248,810,092","45,093,497","165,739,695","220,182,346","48,843,150","140,963,124","28,627,746","24,559,167","2,916,256","1,567.00","11,667.00",15.96,3.22,0.37,"Quý 3/2022
01/07-30/09
CKT/HN"
"1,507,548","852,295","946,470","753,505","753,505","245,206,026","44,259,836","159,125,807","217,484,189","65,789,598","123,232,629","27,721,837","21,607,167","4,960,062","1,688.00","13,587.00",16.03,2.75,0.31,"Quý 2/2022
01/04-30/06
CKT/HN"
"1,796,093","830,988","1,069,896","853,806","853,806","245,169,088","54,925,730","156,604,830","218,082,604","68,338,473","117,695,160","27,086,484","21,607,167","4,322,893","1,996.00","13,276.00",15.75,3.20,0.36,"Quý 1/2022
01/01-31/03
CKT/HN"
"1,929,175","993,821","1,052,647","837,412","837,412","231,423,056","45,068,410","151,522,983","205,190,836","59,719,627","115,547,271","26,232,220","21,607,167","3,469,086","2,241.00","12,857.00",14.68,3.29,0.36,"Quý 4/2021
01/10-31/12
CKT/HN"
"1,784,555","883,525","1,210,053","964,752","964,752","229,145,802","52,727,409","147,737,276","204,525,707","60,673,439","113,345,223","24,620,095","20,716,167","3,218,999","2,318.00","12,429.00",13.20,4.01,0.42,"Quý 3/2021
01/07-30/09
CKT/HN"
"1,727,625","868,356","1,499,887","1,201,905","1,201,905","229,723,225","52,343,826","144,534,510","206,166,425","63,121,369","116,729,330","23,556,800","20,716,168","2,254,246","2,472.00","11,892.00",12.78,5.21,0.52,"Quý 2/2021
01/04-30/06
CKT/HN"
"1,564,572","657,821","1,306,399","1,048,859","1,048,859","231,222,030","49,720,200","143,777,342","208,631,198","77,451,665","106,116,923","22,590,832","18,315,181","3,260,976","2,304.00","13,611.00",16.51,5.08,0.47,"Quý 1/2021
01/01-31/03
CKT/HN"
