DT từ KD chứng khoán,Lợi nhuận gộp,LNT từ KD chứng khoán,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Các khoản cho vay,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,Lợi ích của cổ đông thiểu số,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Time
"1,972,823","1,376,654","942,177","764,300","764,251","61,957,599","17,570,402","65,488,320","41,467,415","41,413,285","24,020,905","140,582","1,704.00","16,023.00",22.60,38.74,3.23,1.13,"Quý 1/2024
01/01-31/03
CKT/HN"
"2,047,056","1,120,837","643,555","514,332","515,509","65,755,289","15,134,065","69,241,327","46,000,435","45,939,117","23,240,892","140,533","1,531.00","15,503.00",21.42,25.13,2.24,0.83,"Quý 4/2023
01/10-31/12
CKT/HN"
"1,941,239","1,288,568","880,097","710,124","711,106","51,841,643","15,268,555","55,282,454","32,574,699","32,516,696","22,707,754","141,710","1,346.00","15,147.00",23.63,36.58,3.18,1.35,"Quý 3/2023
01/07-30/09
CKT/HN"
"1,679,982","1,217,222","706,195","567,220","562,989","46,622,416","13,439,106","50,136,083","28,142,516","28,087,366","21,993,567","142,692","1,141.00","14,671.00",22.62,33.76,2.52,1.09,"Quý 2/2023
01/04-30/06
CKT/HN"
"1,489,415","1,096,501","617,230","502,797","503,177","49,184,621","11,118,251","52,708,905","29,736,152","29,680,297","22,972,753","138,461","1,143.00","15,324.00",18.82,33.76,2.22,0.96,"Quý 1/2024
01/01-31/03
CKT/HN"
"1,351,211","710,412","281,319","233,924","234,253","48,731,915","11,057,163","52,226,383","29,842,501","29,788,711","22,383,882","138,842","1,427.00","15,031.00",12.40,17.31,1.05,0.48,"Quý 4/2023
01/10-31/12
CKT/HN"
"1,347,967","795,392","414,765","336,340","336,425","42,024,270","15,592,920","45,436,360","23,274,554","23,221,461","22,161,806","143,971","2,342.00","14,882.00",8.46,24.95,1.84,0.76,"Quý 3/2023
01/07-30/09
CKT/HN"
"1,629,086","933,912","520,584","421,175","422,106","38,842,013","14,723,785","43,271,692","28,904,944","28,844,817","14,366,748","144,056","3,103.00","14,472.00",6.06,25.85,2.86,0.90,"Quý 2/2023
01/04-30/06
CKT/HN"
"2,007,560","1,191,272","882,988","706,255","706,536","45,511,158","21,202,912","50,081,418","35,013,404","34,946,106","15,068,014","99,487","3,633.00","15,178.00",11.56,35.18,4.82,1.40,"Quý 1/2023
01/01-31/03
CKT/HN"
"2,423,325","1,353,311","1,254,045","997,950","997,544","46,539,595","23,697,887","50,793,057","36,572,974","36,479,185","14,220,083","62,569","3,684.00","14,476.00",14.06,41.18,7.59,2.03,"Quý 4/2022
01/10-31/12
CKT/HN"
"1,748,087","1,104,710","736,569","682,572","683,074","41,316,812","18,292,870","47,603,600","35,525,663","35,460,510","12,077,937","62,162","3,261.00","13,832.00",12.47,39.05,5.82,1.53,"Quý 3/2022
01/07-30/09
CKT/HN"
"1,766,190","1,020,618","732,506","590,808","591,169","37,677,550","16,158,912","41,909,854","30,510,003","30,451,834","11,399,851","62,665","2,833.00","17,407.00",19.41,33.45,5.18,1.49,"Quý 2/2022
01/04-30/06
CKT/HN"
"1,505,580","809,980","529,191","423,739","424,127","32,861,922","11,122,707","37,623,299","26,176,083","26,106,411","11,447,215","63,027","2,792.00","17,724.00",11.37,28.14,3.98,1.16,"Quý 1/2022
01/01-31/03
CKT/HN"
"1,174,729","703,207","476,476","380,949","380,829","29,040,031","9,226,158","35,769,528","25,896,731","25,823,379","9,872,797","63,415","2,178.00","16,482.00",15.20,32.43,3.93,1.21,"Quý 4/2021
01/10-31/12
CKT/HN"
"919,551","598,359","419,119","343,612","344,038","21,050,239","4,710,797","26,932,953","17,436,463","17,380,657","9,496,490","63,295","1,984.00","15,803.00",8.54,37.37,3.57,1.30,"Quý 3/2021
01/07-30/09
CKT/HN"
"1,327,443","893,355","650,545","522,393","522,891","20,041,285","3,979,491","25,926,470","16,122,927","16,053,475","9,803,542","63,722","1,933.00","16,259.00",7.66,39.35,5.48,1.96,"Quý 2/2021
01/04-30/06
CKT/HN"
"945,078","270,084","6,318","8,979","9,617","21,677,442","4,009,405","27,499,507","18,219,391","18,153,041","9,280,116","64,219","1,411.00","17,913.00",8.22,0.95,0.10,0.04,"Quý 1/2021
01/01-31/03
CKT/HN"
"903,607","515,214","261,218","220,036","221,003","22,290,867","5,359,342","27,044,115","17,643,055","16,409,541","9,401,060","64,855","1,787.00","18,504.00",10.10,24.35,9.57,3.46,"Quý 4/2020
01/10-31/12
CKT/HN"
"850,926","576,223","329,906","268,932","269,428","23,413,924","5,365,597","25,682,773","15,959,232","14,727,449","9,723,542","65,822","1,770.00","19,139.00",12.99,31.60,9.50,3.52,"Quý 3/2020
01/07-30/09
CKT/HN"
"771,187","516,376","262,860","219,732","219,958","25,346,741","6,287,090","27,241,182","17,753,050","16,533,927","9,488,132","66,318","1,995.00","18,634.00",12.43,28.49,10.72,4.04,"Quý 2/2020
01/04-30/06
CKT/HN"
"709,259","456,157","244,632","198,396","198,813","21,740,961","5,995,588","25,031,548","15,660,656","14,445,026","9,370,891","66,543","2,167.00","18,404.00",12.55,27.97,11.70,4.69,"Quý 1/2020
01/01-31/03
CKT/HN"
"878,097","402,213","267,329","208,004","208,460","22,270,357","5,966,651","23,825,627","14,669,962","13,469,410","9,155,665","66,960","2,611.00","17,982.00",10.21,23.69,14.17,5.89,"Quý 4/2019
01/10-31/12
CKT/HN"
"874,217","636,161","468,214","377,923","378,557","20,996,349","5,429,218","23,412,588","13,900,528","12,678,213","9,512,060","67,416","2,900.00","19,030.00",11.55,43.23,15.90,6.91,"Quý 3/2019
01/07-30/09
CKT/HN"
"895,318","404,060","377,056","301,614","301,913","19,219,978","5,884,565","20,473,041","11,324,248","10,111,730","9,148,792","68,050","2,589.00","18,303.00",11.01,33.69,14.36,6.61,"Quý 2/2019
01/04-30/06
CKT/HN"
"1,025,106","579,274","454,331","415,296","416,000","19,349,837","7,406,118","20,873,472","11,863,004","10,632,519","9,010,468","77,749","2,607.00","18,026.00",14.96,40.51,14.53,6.99,"Quý 1/2019
01/01-31/03
CKT/HN"
"1,026,215","556,278","415,230","346,931","345,879","17,227,983","5,764,072","18,764,375","10,148,125","9,354,274","8,616,250","78,353","2,372.00","17,238.00",12.14,33.81,13.37,6.89,"Quý 4/2018
01/10-31/12
CKT/HN"
"632,043","300,731","243,415","216,508","217,031","15,772,358","4,729,077","17,352,426","8,449,833","7,818,491","8,902,593","77,300","1,862.00","18,174.00",13.45,34.26,10.90,5.86,"Quý 3/2018
01/07-30/09
CKT/HN"
"694,633","463,004","370,005","303,702","304,324","14,357,473","4,195,715","16,390,421","7,586,827","6,720,980","8,803,593","77,823","2,167.00","17,972.00",12.76,43.72,13.24,7.21,"Quý 2/2018
01/04-30/06
CKT/HN"
"545,187","440,668","363,664","293,963","294,619","12,629,286","3,956,176","14,964,437","6,518,132","5,968,602","8,446,305","78,445","2,134.00","17,243.00",11.18,53.92,12.50,6.77,"Quý 1/2018
01/01-31/03
CKT/HN"
"583,008","195,319","106,706","91,382","91,997","11,884,989","3,779,178","13,227,969","6,075,402","5,841,951","7,152,567","79,101","1,826.00","14,602.00",10.73,15.67,11.01,5.91,"Quý 4/2017
01/10-31/12
CKT/HN"
"688,174","525,542","439,684","359,656","360,268","12,433,103","3,982,582","13,915,291","6,476,783","6,242,653","7,438,508","79,717","2,191.00","15,495.00",10.18,52.26,14.94,7.85,"Quý 3/2017
01/07-30/09
CKT/HN"
"578,223","426,075","325,680","282,556","283,039","11,817,070","4,383,736","13,506,910","6,427,324","6,392,271","7,079,585","80,329","1,786.00","14,747.00",11.65,48.87,12.32,6.48,"Quý 2/2017
01/04-30/06
CKT/HN"
"367,364","222,192","141,509","141,403","141,732","11,074,629","3,772,132","12,521,330","5,660,871","4,938,420","6,860,459","80,812","2,002.00","14,291.00",10.54,38.49,13.58,7.28,"Quý 1/2017
01/01-31/03
CKT/HN"
"373,794","256,242","252,061","260,741","261,427","10,944,974",,"13,397,481","6,669,872","5,946,595","6,646,469","81,140","2,070.00","13,845.00",10.73,69.76,13.64,7.42,"Quý 4/2016
01/10-31/12
CKT/HN"
"350,579","233,255","230,487","142,139","142,490","9,199,584",,"11,691,541","5,296,989","4,569,768","6,312,725","81,827","1,817.00","13,430.00",12.93,40.54,10.95,5.91,"Quý 3/2016
01/07-30/09
CKT/HN"
"326,949","385,625","382,241","336,114","336,538","8,238,336",,"10,877,739","4,639,372","3,787,541","6,156,189","82,178","2,043.00","14,406.00",11.90,102.80,12.65,7.37,"Quý 2/2016
01/04-30/06
CKT/HN"
"281,556","142,083","139,345","111,205","111,450","7,328,834",,"9,985,358","4,037,811","3,505,009","5,864,945","82,602","1,932.00","13,725.00",10.45,39.50,12.13,6.78,"Quý 1/2016
01/01-31/03
CKT/HN"
"277,967","29,539","23,976","100,215","100,799","6,412,053",,"8,914,435","3,140,630","3,112,711","5,690,950","82,856","2,118.00","16,085.00",12.99,36.05,13.53,7.47,"Quý 4/2015
01/10-31/12
CKT/HN"
"417,900","222,396","219,638","188,301","187,871","7,643,139",,"10,213,017","4,539,426","4,510,292","5,590,152","83,440","2,028.00","15,801.00",15.24,45.06,13.20,7.36,"Quý 3/2015
01/07-30/09
CKT/HN"
"492,851","343,349","339,926","281,080","280,927","8,486,201",,"11,092,093","5,693,399","5,661,972","5,315,684","83,009","1,762.00","15,025.00",14.70,57.03,11.69,6.70,"Quý 2/2015
01/04-30/06
CKT/HN"
"375,793","279,398","276,383","175,099","175,234","6,406,914",,"9,648,264","4,147,553","4,125,608","5,417,854","82,856","1,234.00","15,314.00",24.15,46.59,8.28,4.97,"Quý 1/2015
01/01-31/03
CKT/HN"
"204,437","79,471","75,707","67,113","67,584","4,467,396",,"7,705,074","2,379,901","2,353,917","5,242,182","82,990","1,193.00","14,817.00",15.09,32.83,8.01,4.97,"Quý 4/2014
01/10-31/12
CKT/HN"
"177,147","90,889","88,293","94,293","94,204","5,096,538",,"8,439,134","3,180,527","3,147,981","5,175,145","83,462","1,470.00","14,628.00",11.29,53.23,9.90,6.08,"Quý 3/2014
01/07-30/09
CKT/HN"
"178,631","67,677","64,501","95,868","95,766","5,730,578",,"9,028,529","3,862,124","3,842,334","5,083,032","83,373","1,332.00","14,367.00",13.21,53.67,9.02,5.54,"Quý 2/2014
01/04-30/06
CKT/HN"
"166,729","102,431","99,944","160,062","160,490","5,152,296",,"8,450,826","3,000,725","2,985,401","5,366,829","83,272","1,258.00","15,169.00",13.92,96.00,8.55,5.35,"Quý 1/2014
01/01-31/03
CKT/HN"
"272,915","152,121","147,369","164,408","164,502","4,837,002",,"7,980,876","2,705,604","2,677,707","5,191,573","83,699","1,328.00","14,723.00",12.27,60.24,9.07,5.85,"Quý 4/2013
01/10-31/12
CKT/HN"
