Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"5,950,840","3,542,916","2,654,221","2,111,403","2,111,403","693,534,553","56,985,715","492,140,463","645,625,554","40,646,857","533,358,461","47,908,999","20,601,582","22,496,034","4,206.00","25,413.00",7.51,4.51,0.31,"Quý 1/2024
01/01-31/03
CKT/HN"
"5,633,088","3,409,696","2,754,641","2,258,942","2,258,942","674,389,660","50,332,971","475,169,108","628,655,796","37,950,111","510,744,394","45,733,864","20,601,582","20,386,614","4,094.00","24,259.00",6.83,5.05,0.34,"Quý 4/2023
01/10-31/12
CKT/HN"
"4,851,108","3,014,859","2,085,293","1,634,592","1,634,592","651,288,299","46,344,192","465,403,139","607,578,312","29,634,107","507,833,203","43,709,987","20,601,582","18,130,233","3,825.00","23,186.00",8.01,3.82,0.26,"Quý 3/2023
01/07-30/09
CKT/HN"
"5,751,435","3,049,213","2,372,538","1,925,126","1,925,126","622,177,662","38,192,614","454,128,489","580,384,648","18,123,332","501,583,494","41,793,014","20,601,582","16,592,657","3,601.00","22,169.00",8.28,4.68,0.32,"Quý 2/2023
01/04-30/06
CKT/HN"
"5,950,840","3,542,916","2,654,221","2,111,403","2,111,403","693,534,553","56,985,715","492,140,463","645,625,554","40,646,857","533,358,461","47,908,999","20,601,582","22,496,034","4,206.00","25,413.00",7.51,4.51,0.31,"Quý 1/2023
01/01-31/03
CKT/HN"
"5,633,088","3,409,696","2,754,641","2,258,942","2,258,942","674,389,660","50,332,971","475,169,108","628,655,796","37,950,111","510,744,394","45,733,864","20,601,582","20,386,614","4,094.00","24,259.00",6.83,5.05,0.34,"Quý 4/2022
01/10-31/12
CKT/HN"
"4,851,108","3,014,859","2,085,293","1,634,592","1,634,592","651,288,299","46,344,192","465,403,139","607,578,312","29,634,107","507,833,203","43,709,987","20,601,582","18,130,233","3,825.00","23,186.00",8.01,3.82,0.26,"Quý 3/2022
01/07-30/09
CKT/HN"
"5,751,435","3,049,213","2,372,538","1,925,126","1,925,126","622,177,662","38,192,614","454,128,489","580,384,648","18,123,332","501,583,494","41,793,014","20,601,582","16,592,657","3,601.00","22,169.00",8.28,4.68,0.32,"Quý 2/2022
01/04-30/06
CKT/HN"
"5,836,702","3,416,137","2,382,528","1,899,957","1,899,957","596,693,994","31,349,277","442,922,318","556,136,201","24,549,053","478,789,403","40,557,793","20,601,582","15,890,310","3,006.00","21,514.00",8.72,4.80,0.32,"Quý 1/2022
01/01-31/03
CKT/HN"
"6,043,398","2,645,824","1,899,038","1,751,123","1,751,123","591,994,201","25,293,585","432,997,593","553,367,205","28,430,448","454,740,496","38,626,996","20,601,582","13,971,682","2,674.00","20,489.00",8.41,4.63,0.30,"Quý 4/2021
01/10-31/12
CKT/HN"
"5,761,978","3,097,107","1,532,027","1,211,607","1,211,607","564,192,851","18,024,063","414,922,969","527,252,603","17,692,685","457,890,375","36,940,248","20,601,582","12,246,611","2,200.00","19,595.00",9.36,3.33,0.22,"Quý 3/2021
01/07-30/09
CKT/HN"
"2,602,299","2,606,362","1,319,061","803,889","803,889","551,422,119","17,876,787","407,251,198","515,623,994","14,376,406","456,417,837","35,798,125","20,601,582","11,035,004","1,905.00","18,989.00",11.29,2.26,0.15,"Quý 2/2021
01/04-30/06
CKT/HN"
"2,739,459","2,831,806","1,588,946","1,274,076","1,274,076","552,539,011","13,222,053","405,918,816","517,057,918","17,660,693","457,791,917","35,481,093","20,601,582","11,155,093","2,092.00","18,821.00",15.16,3.65,0.24,"Quý 1/2021
01/01-31/03
CKT/HN"
"2,494,886","2,399,883","1,150,763","857,867","857,867","521,196,331","8,353,579","381,012,317","486,934,994","15,229,099","427,386,772","34,261,337","20,601,582","9,907,117","1,856.00","18,174.00",16.97,2.54,0.17,"Quý 4/2020
01/10-31/12
CKT/HN"
"3,313,028","2,423,811","824,771","639,728","639,728","494,294,982","7,772,007","350,191,352","460,911,837","6,958,706","418,839,499","33,383,145","20,601,582","9,050,746","1,866.00","17,708.00",13.77,2.01,0.13,"Quý 3/2020
01/07-30/09
CKT/HN"
"3,148,209","2,336,056","1,424,248","1,112,839","1,112,839","504,533,717","13,541,640","355,342,446","474,149,926","8,855,610","433,943,764","30,383,791","18,166,632","8,411,018","1,922.00","16,846.00",15.92,3.70,0.22,"Quý 2/2020
01/04-30/06
CKT/HN"
"3,008,364","2,669,373","1,000,244","801,062","801,062","497,427,679","8,631,605","351,318,425","467,693,809","8,462,783","431,136,898","29,733,870","18,166,632","8,105,851","1,495.00","16,485.00",14.34,2.73,0.16,"Quý 1/2020
01/01-31/03
CKT/HN"
"3,013,620","3,939,271","1,013,587","836,610","836,610","492,636,633","18,397,370","334,854,576","463,680,391","7,880,006","427,971,850","28,956,242","18,166,632","7,303,619","1,487.00","16,054.00",11.37,2.93,0.17,"Quý 4/2019
01/10-31/12
CKT/HN"
