Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"8,499,544","3,249,136","7,801,659","6,277,003","6,220,997","885,653,461","89,074,540","552,577,121","747,780,735","172,892,747","458,040,690","137,872,726","36,257,461","55,234,141","5,606.00","39,140.00",8.48,4.62,0.72,"Quý 1/2024
01/01-31/03
CKT/HN"
"7,597,203","3,610,089","5,773,070","4,481,615","4,438,909","849,482,012","104,072,320","512,513,672","717,853,947","153,173,002","454,660,779","131,628,065","36,257,461","48,328,134","5,118.00","37,368.00",6.21,3.43,0.54,"Quý 4/2023
01/10-31/12
CKT/HN"
"7,272,160","3,630,731","5,842,790","4,668,705","4,612,943","781,278,666","69,386,021","469,588,515","654,148,880","159,262,494","409,044,572","127,129,786","36,204,797","46,266,763","4,864.00","36,145.00",6.92,3.70,0.61,"Quý 3/2023
01/07-30/09
CKT/HN"
"6,294,877","2,868,890","5,649,010","4,503,449","4,455,055","732,470,169","71,193,282","460,753,044","610,005,199","153,625,650","381,946,519","122,464,970","36,204,797","41,653,820","5,061.00","34,819.00",6.39,3.71,0.61,"Quý 2/2023
01/04-30/06
CKT/HN"
"8,499,544","3,249,136","7,801,659","6,277,003","6,220,997","885,653,461","89,074,540","552,577,121","747,780,735","172,892,747","458,040,690","137,872,726","36,257,461","55,234,141","5,606.00","39,140.00",8.48,4.62,0.72,"Quý 1/2023
01/01-31/03
CKT/HN"
"7,597,203","3,610,089","5,773,070","4,481,615","4,438,909","849,482,012","104,072,320","512,513,672","717,853,947","153,173,002","454,660,779","131,628,065","36,257,461","48,328,134","5,118.00","37,368.00",6.21,3.43,0.54,"Quý 4/2022
01/10-31/12
CKT/HN"
"7,272,160","3,630,731","5,842,790","4,668,705","4,612,943","781,278,666","69,386,021","469,588,515","654,148,880","159,262,494","409,044,572","127,129,786","36,204,797","46,266,763","4,864.00","36,145.00",6.92,3.70,0.61,"Quý 3/2022
01/07-30/09
CKT/HN"
"6,294,877","2,868,890","5,649,010","4,503,449","4,455,055","732,470,169","71,193,282","460,753,044","610,005,199","153,625,650","381,946,519","122,464,970","36,204,797","41,653,820","5,061.00","34,819.00",6.39,3.71,0.61,"Quý 2/2022
01/04-30/06
CKT/HN"
"6,526,880","3,142,086","5,623,358","4,537,097","4,496,895","723,517,800","66,839,068","460,145,233","605,552,384","151,194,118","387,297,891","117,965,416","36,204,797","68,979,321","5,446.00","33,539.00",5.21,3.89,0.63,"Quý 1/2022
01/01-31/03
CKT/HN"
"6,819,411","3,989,840","4,746,223","3,572,087","3,544,272","699,032,544","82,873,754","415,752,256","585,607,578","167,562,969","358,403,785","113,424,966","36,204,797","64,482,685","5,735.00","32,248.00",4.51,3.17,0.52,"Quý 4/2021
01/10-31/12
CKT/HN"
