Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"3,427,386","1,675,773","1,828,594","1,462,797","1,462,797","355,870,488","56,447,319","198,127,997","321,680,275","92,480,852","190,827,358","34,190,213","22,016,350","9,114,476","2,175.00","15,529.00",8.78,4.37,0.41,"Quý 1/2024
01/01-31/03
CKT/HN"
"3,996,093","1,843,428","629,608","493,932","493,932","356,636,840","52,351,827","202,586,102","323,894,128","83,965,697","208,261,560","32,742,712","22,016,350","7,673,995","2,315.00","14,872.00",7.52,1.52,0.14,"Quý 4/2023
01/10-31/12
CKT/ĐL"
"2,962,701","1,345,558","1,575,657","1,262,841","1,262,841","344,402,552","58,926,396","177,431,789","312,018,615","97,361,110","193,753,424","32,383,937","22,016,350",,"3,108.00","14,709.00",5.74,3.99,0.37,"Quý 3/2023
01/07-30/09
CKT/ĐL"
"2,729,027","1,930,622","1,618,437","1,293,167","1,293,167","343,406,813","56,630,247","174,730,627","312,420,812","88,139,893","199,126,911","30,986,001","22,016,350","5,917,284","3,690.00","14,074.00",4.88,4.00,0.38,"Quý 2/2023
01/04-30/06
CKT/ĐL"
"2,736,874","1,579,089","1,765,001","1,413,242","1,413,242","343,522,216","56,285,508","170,658,669","309,859,923","82,742,383","200,998,074","33,662,293","18,378,520",,"4,031.00","21,282.00",5.51,4.29,0.42,"Quý 1/2023
01/01-31/03
CKT/ĐL"
"2,779,678","1,646,065","1,902,743","1,519,328","1,519,328","328,634,007","53,364,944","159,160,375","296,394,955","73,496,158","194,959,921","32,239,052","18,378,520","11,747,277","3,959.00","20,382.00",5.32,4.83,0.47,"Quý 4/2022
01/10-31/12
CKT/ĐL"
"2,740,672","1,298,798","2,137,715","1,711,622","1,711,622","317,327,732","46,897,369","154,164,205","286,690,434","87,201,286","162,694,692","30,637,298","18,378,520","10,227,949","4,084.00","19,369.00",6.12,5.74,0.55,"Quý 3/2022
01/07-30/09
CKT/ĐL"
"3,034,868","1,762,811","2,164,683","1,731,843","1,731,843","310,772,469","40,738,575","149,008,131","281,762,989","88,034,259","156,336,660","29,009,480","18,378,520","8,517,705","4,024.00","18,340.00",6.75,6.14,0.56,"Quý 2/2022
01/04-30/06
CKT/ĐL"
"2,831,379","1,237,583","1,623,147","1,299,400","1,299,400","302,622,532","37,628,452","147,720,192","275,242,056","80,247,844","152,538,738","27,380,476","18,378,520","7,515,239","4,079.00","17,310.00",9.84,4.87,0.44,"Quý 1/2022
01/01-31/03
CKT/ĐL"
"2,810,324","1,406,990","1,644,591","1,315,133","1,315,133","292,827,078","48,752,914","139,462,565","266,839,097","87,015,960","139,562,262","25,987,981","18,378,520","6,220,582","4,407.00","16,430.00",9.32,5.18,0.48,"Quý 4/2021
01/10-31/12
CKT/ĐL"
"2,345,634","940,970","1,386,967","1,109,879","1,109,879","260,327,561","38,117,144","131,411,928","235,568,431","66,974,452","131,508,437","24,759,130","14,277,682","9,006,287","4,569.00","21,131.00",9.11,4.93,0.44,"Quý 3/2021
01/07-30/09
CKT/ĐL"
"2,526,602","1,237,841","1,584,629","1,268,915","1,268,915","242,254,793","24,762,767","130,003,410","221,973,457","56,157,590","132,070,302","20,281,336","10,994,182","7,898,275","4,565.00","18,925.00",8.05,6.64,0.55,"Quý 2/2021
01/04-30/06
CKT/ĐL"
"2,263,489","984,895","1,422,035","1,138,029","1,138,029","216,152,686","14,595,304","122,398,784","198,202,860","48,712,126","120,036,649","17,949,826","9,859,189","7,160,888","4,354.00","17,399.00",6.40,6.56,0.54,"Quý 1/2021
01/01-31/03
CKT/ĐL"
"2,088,466","1,308,442","1,364,781","1,090,578","1,090,578","206,314,594","12,698,296","118,084,610","189,570,291","40,879,958","115,903,526","16,744,303","9,859,190","6,022,763","4,208.00","16,231.00",6.37,6.78,0.55,"Quý 4/2020
01/10-31/12
CKT/ĐL"
"1,708,234","809,689","989,403","791,509","791,509","193,461,319","19,326,156","108,523,546","178,023,249","43,782,865","108,694,001","15,438,070","7,657,369","6,565,326","4,371.00","18,906.00",5.36,5.29,0.42,"Quý 3/2020
01/07-30/09
CKT/ĐL"
"1,764,509","991,829","1,024,884","1,024,884","818,718","181,339,877","23,349,975","98,754,279","166,868,356","45,992,431","96,214,153","14,471,521","7,657,369","5,773,817","4,158.00","17,722.00",4.95,5.78,0.46,"Quý 2/2020
01/04-30/06
CKT/ĐL"
"1,727,524","1,095,980","1,009,455","809,289","809,289","176,632,067","23,885,054","99,076,574","162,769,230","50,977,111","89,686,651","13,862,837","7,657,369","5,424,175","3,872.00","16,977.00",4.43,6.01,0.47,"Quý 1/2020
01/01-31/03
CKT/ĐL"
"1,503,061","1,000,467","1,464,174","1,171,246","1,171,246","164,593,666","21,023,865","94,435,382","151,518,886","40,213,903","92,439,495","13,074,780","7,882,729","4,615,792","3,694.00","15,818.00",5.70,9.38,0.74,"Quý 4/2019
01/10-31/12
CKT/ĐL"
"1,442,154","728,320","784,476","627,342","627,342","153,929,979","21,379,254","91,827,514","142,020,768","39,159,546","85,596,232","11,909,211","7,882,729","3,450,223","3,035.00","14,408.00",7.38,5.41,0.42,"Quý 3/2019
01/07-30/09
CKT/ĐL"
"1,404,429","795,325","766,673","613,129","613,129","145,716,051","17,084,356","87,837,059","134,434,183","35,515,938","80,873,528","11,281,868","7,882,729","2,822,880","2,995.00","13,649.00",7.63,5.42,0.43,"Quý 2/2019
01/04-30/06
CKT/ĐL"
"1,283,678","898,212","852,866","682,226","682,226","139,944,260","19,121,044","83,680,118","128,601,773","36,198,015","77,912,920","11,342,487","8,510,485","2,487,953","2,825.00","13,335.00",7.52,6.21,0.49,"Quý 1/2019
01/01-31/03
CKT/ĐL"
"1,263,213","867,837","644,223","514,637","514,637","136,179,403","16,340,793","76,295,237","125,537,277","33,491,419","76,138,062","10,642,126","8,510,485","1,826,168","2,779.00","12,512.00",7.18,4.94,0.39,"Quý 4/2018
01/10-31/12
CKT/ĐL"
"1,119,505","728,559","589,192","470,601","470,601","126,912,061","17,486,927","72,899,471","116,710,034","35,228,351","70,158,755","10,202,027","7,977,012","1,845,005","2,473.00","15,322.00",10.59,4.74,0.37,"Quý 3/2018
01/07-30/09
CKT/ĐL"
"1,062,048","642,101","511,572","306,699","306,699","126,532,939","15,734,248","72,918,312","116,876,050","29,970,839","75,170,153","9,656,889","7,977,012","1,374,404","2,298.00","14,504.00",11.97,3.62,0.25,"Quý 2/2018
01/04-30/06
CKT/ĐL"
"933,011","608,191","512,793","512,793","512,793","121,214,303","14,556,358","69,052,568","113,936,157","31,264,474","73,126,601","7,278,146","5,552,176","1,497,351","2,159.00","12,458.00",,7.35,0.42,"Quý 1/2018
01/01-31/03
CKT/ĐL"
"969,080","697,514","398,952","251,933","251,933","124,040,176","22,488,409","62,747,997","117,363,459","38,251,634","70,298,586","6,676,717","5,552,176","963,609","1,649.00","11,429.00",,3.84,0.21,"Quý 4/2017
01/10-31/12
CKT/ĐL"
"900,412","451,301","323,977","233,977","233,977","114,467,609","23,785,324","56,128,928","108,039,004","43,696,380","58,903,556","6,428,605","5,545,896","711,676","1,607.00","11,004.00",,3.72,0.20,"Quý 3/2017
01/07-30/09
CKT/ĐL"
"690,383","361,375","267,463","262,380","262,380","115,677,689","27,883,028","52,559,488","109,518,528","48,237,719","57,071,517","6,159,161","5,520,529","477,700","1,445.00","10,543.00",,4.38,0.24,"Quý 2/2017
01/04-30/06
CKT/ĐL"
"612,548","431,414","215,319","215,319","215,319","104,791,710","26,405,957","42,816,386","98,965,468","40,583,318","54,761,405","5,826,242","5,040,123","780,506","1,179.00","9,973.00",,3.74,0.20,"Quý 1/2017
01/01-31/03
CKT/ĐL"
"693,660","360,679","352,125","227,125","227,125","105,812,063","23,784,661","46,211,261","100,129,204","41,245,246","55,082,028","5,682,859","5,040,123","566,586",970.00,"9,727.00",,4.04,0.23,"Quý 4/2016
01/10-31/12
CKT/ĐL"
"550,040","374,908","149,411","139,411","139,411","89,507,678","18,577,694","37,434,412","83,945,428","35,759,607","45,799,011","5,562,250","4,930,302","531,779",581.00,"9,521.00",,5.01,0.31,"Quý 3/2016
01/07-30/09
CKT/ĐL"
"469,280","352,427","112,016","107,016","107,016",,,,,,,,,,0,0,,0,0,"Quý 2/2016
01/04-30/06
CKT/ĐL"
"407,846","239,302","93,034","93,034","93,034","73,598,953","14,272,012","33,773,550","68,718,005","24,305,110","42,865,473","4,880,948","4,527,197","319,870",329.00,"8,795.00",,1.92,0.12,"Quý 1/2016
01/01-31/03
CKT/ĐL"
"373,175","197,806","89,330","89,330","89,330",,,,,,,,,,0,0,,0,0,"Quý 3/2015
01/07-30/09
CKT/ĐL"
"304,821","174,841","156,465","134,015","134,015","44,916,145","4,840,169","20,103,264","40,555,882","15,981,063","23,966,749","4,360,263","4,527,198","-198,769",241.00,"7,856.00",,3.12,0.28,"Quý 1/2015
01/01-31/03
CKT/ĐL"
"216,737","114,076","120,170","120,170","120,170","29,690,398","1,935,670","13,160,509","25,862,299","7,676,317","15,507,260","3,828,099","4,527,198","-745,580",217.00,"6,897.00",,3.19,0.39,"Quý 1/2014
01/01-31/03
CKT/ĐL"
"-50,643","60,575","104,710","79,066","79,066","32,586,490","12,461,493","4,424,636","29,308,486","17,032,846","7,508,192","3,278,004","2,997,198","250,950",801.00,"10,927.00",,2.44,0.27,"Quý 3/2011
01/07-30/09
CKT/ĐL"
"-75,508","54,412","102,563","102,563","102,563","27,050,271","6,622,158","4,724,657","23,846,413","12,437,935","7,703,894","3,203,858","2,997,198","171,884",713.00,"10,680.00",,3.18,0.39,"Quý 2/2011
01/04-30/06
CKT/ĐL"
"-24,397","51,338","78,069","58,566","58,566","25,570,041","6,759,549","4,264,591","22,320,497","9,750,429","8,662,037","3,249,544","2,997,198","219,181",558.00,"10,832.00",,1.82,0.25,"Quý 1/2011
01/01-31/03
CKT/ĐL"
"105,375","47,375","69,952","52,791","52,791","14,656,764","1,334,512","5,068,638","12,496,690","3,029,308","6,714,134","2,160,074","2,000,001","146,930",648.00,"10,800.00",,2.47,0.39,"Quý 3/2010
01/07-30/09
CKT/ĐL"
"-24,397","51,338","78,069","58,566","58,566","25,570,041","6,759,549","4,264,591","22,320,497","9,750,429","8,662,037","3,249,544","2,997,198","219,181",558.00,"10,832.00",,1.82,0.25,"Quý 1/2011
01/01-31/03
CKT/ĐL"
"105,375","47,375","69,952","52,791","52,791","14,656,764","1,334,512","5,068,638","12,496,690","3,029,308","6,714,134","2,160,074","2,000,001","146,930",648.00,"10,800.00",,2.47,0.39,"Quý 3/2010
01/07-30/09
CKT/ĐL"
"77,850","40,749","73,709","55,942","55,942","12,399,951","1,196,230","3,776,375","10,285,807","2,711,668","5,610,539","2,114,144","1,989,222","95,976",439.00,"12,081.00",,2.68,0.43,"Quý 2/2010
01/04-30/06
CKT/ĐL"
