Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"14,078,056","5,053,949","10,718,239","8,585,993","8,579,996","1,773,713,584","273,301,211","1,235,587,240","1,600,099,458","171,488,381","1,347,325,611","173,614,126","61,696,139","100,556","6,180.00","31,063.00",15.36,5.07,0.47,"Quý 1/2024
01/01-31/03
CKT/HN"
"12,801,224","5,752,034","11,693,497","9,360,033","9,355,026","1,839,223,339","335,616,377","1,241,675,333","1,670,680,015","213,841,980","1,395,694,611","168,543,324","61,696,139","93,990","6,507.00","30,156.00",12.34,5.71,0.52,"Quý 4/2023
01/10-31/12
CKT/HN"
"12,596,118","5,232,506","9,051,164","7,274,556","7,268,919","1,731,305,572","320,952,135","1,150,958,460","1,572,062,054","160,234,123","1,349,007,010","159,243,518","61,696,139","75,814,366","6,925.00","28,492.00",12.64,4.67,0.42,"Quý 3/2023
01/07-30/09
CKT/HN"
"14,020,581","5,656,105","9,277,682","7,427,958","7,422,823","1,704,273,133","286,406,768","1,139,981,404","1,552,272,005","160,661,447","1,326,853,836","152,001,128","53,130,392","77,094,650","6,847.00","32,118.00",14.61,5.00,0.42,"Quý 2/2023
01/04-30/06
CKT/HN"
"14,202,946","5,274,254","11,221,344","8,991,901","8,986,435","1,846,431,290","334,747,844","1,142,187,065","1,701,772,932","255,334,468","1,281,487,916","144,658,358","53,130,392","93,744","6,533.00","30,567.00",13.99,6.41,0.49,"Quý 1/2023
01/01-31/03
CKT/HN"
"14,809,469","4,564,916","12,419,095","9,933,519","9,928,277","1,814,188,209","313,591,813","1,120,286,831","1,676,199,767","232,510,850","1,243,468,472","137,988,442","53,130,392","67,499,703","6,333.00","29,158.00",12.63,7.45,0.57,"Quý 4/2022
01/10-31/12
CKT/HN"
"13,663,951","6,370,005","7,566,222","6,069,444","6,064,870","1,649,664,327","302,927,159","1,093,971,420","1,521,274,777","179,758,633","1,197,150,901","128,389,550","53,130,392","102,207","5,936.00","27,129.00",12.33,4.83,0.37,"Quý 3/2022
01/07-30/09
CKT/HN"
"12,797,206","5,815,802","7,423,087","5,941,931","5,936,954","1,602,391,727","255,548,453","1,066,990,245","1,479,402,030","171,676,891","1,195,391,576","122,989,697","52,665,213","52,056,550","5,956.00","25,988.00",12.56,4.95,0.39,"Quý 2/2022
01/04-30/06
CKT/HN"
"11,975,852","4,509,166","9,950,256","7,967,426","7,962,184","1,462,748,158","194,999,348","997,707,933","1,345,670,470","81,277,695","1,179,668,881","117,077,688","52,665,213","46,156,897","5,837.00","24,739.00",14.07,7.04,0.55,"Quý 1/2022
01/01-31/03
CKT/HN"
"10,781,286","3,056,781","8,064,414","6,456,800","6,451,239","1,414,765,480","225,394,684","934,774,287","1,303,594,825","109,757,777","1,135,323,913","111,170,655","42,428,821","87,113","5,906.00","29,974.00",13.34,5.85,0.46,"Quý 4/2021
01/10-31/12
CKT/HN"
"10,427,846","5,002,394","5,737,854","4,599,288","4,594,130","1,385,235,404","204,916,285","909,910,950","1,275,708,552","106,138,767","1,108,418,876","109,526,852","42,428,821","52,084,482","5,694.00","29,531.00",17.07,4.28,0.34,"Quý 3/2021
01/07-30/09
CKT/HN"
"11,087,734","4,731,291","4,938,377","3,960,100","3,955,531","1,303,633,378","184,869,194","897,798,152","1,198,698,174","84,188,617","1,051,273,660","104,935,204","42,428,821","47,493,018","5,532.00","28,293.00",21.04,3.84,0.31,"Quý 2/2021
01/04-30/06
CKT/HN"
"10,081,733","4,779,221","8,631,466","6,907,522","6,902,578","1,278,965,858","203,604,117","850,460,935","1,177,958,179","80,758,597","1,025,547,607","101,007,679","42,428,821","43,552,776","5,708.00","27,234.00",16.61,7.08,0.53,"Quý 1/2021
01/01-31/03
CKT/HN"
"10,390,415","3,430,347","7,079,454","5,673,803","5,667,519","1,327,537,012","267,774,393","820,420,266","1,228,677,618","103,583,833","1,032,113,567","98,859,394","42,428,820","44,118,433","4,974.00","26,655.00",19.68,5.89,0.45,"Quý 4/2020
01/10-31/12
CKT/HN"
"8,723,174","4,578,828","4,983,070","3,995,811","3,990,903","1,188,572,083","174,497,813","766,794,848","1,094,996,063","52,329,301","981,492,077","93,576,020","42,428,820","38,840,704","4,631.00","25,230.00",18.16,4.36,0.34,"Quý 3/2020
01/07-30/09
CKT/HN"
"8,076,890","3,118,019","5,758,890","4,615,185","4,609,910","1,185,262,404","149,653,058","754,373,152","1,095,684,373","48,404,237","981,218,388","89,578,031","42,428,820","34,844,735","4,916.00","24,152.00",16.33,5.28,0.40,"Quý 2/2020
01/04-30/06
CKT/HN"
"9,034,321","4,910,290","5,222,747","4,182,655","4,177,915","1,144,270,262","176,540,624","739,956,924","1,059,198,276","43,642,452","934,048,243","85,071,986","42,428,820","30,234,825","4,849.00","22,937.00",12.79,5.03,0.35,"Quý 1/2020
01/01-31/03
CKT/HN"
"8,639,718","3,186,384","5,510,002","4,400,374","4,397,313","1,223,981,046","248,729,494","724,290,102","1,138,227,698","73,621,719","928,413,676","85,753,348","42,428,820","33,669,545","4,997.00","23,121.00",18.05,5.26,0.37,"Quý 4/2019
01/10-31/12
CKT/HN"
"8,859,286","4,182,440","6,309,272","5,051,595","5,048,342","1,157,490,007","216,739,273","693,973,370","1,076,099,113","41,331,112","902,184,481","81,390,894","42,428,820","29,285,510","5,275.00","21,945.00",15.56,6.36,0.44,"Quý 3/2019
01/07-30/09
CKT/HN"
"8,579,588","4,067,396","5,425,267","4,364,807","4,360,932","1,122,970,494","171,372,397","682,808,661","1,045,633,626","49,117,465","870,860,074","77,336,868","42,428,820","25,202,377","4,737.00","20,852.00",14.88,5.80,0.40,"Quý 2/2019
01/04-30/06
CKT/HN"
"8,498,757","4,383,645","5,878,154","4,710,901","4,707,336","1,073,331,964","169,677,886","661,260,823","1,000,340,086","39,264,447","838,277,163","72,991,878","42,428,831","20,845,932","4,377.00","19,680.00",15.38,6.96,0.44,"Quý 1/2019
01/01-31/03
CKT/HN"
"7,980,640","1,692,860","6,616,547","5,280,125","5,276,169","1,072,983,278","248,255,997","622,358,428","1,009,094,189","76,523,514","802,222,944","63,889,089","36,322,343","20,029,479","4,070.00","17,758.00",13.15,8.41,0.51,"Quý 4/2018
01/10-31/12
CKT/HN"
