Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Time
"8,211,201","1,774,386","1,450,546","904,239","884,697","255,295,711","464,484,694","268,268,453","214,974,937","196,216,241","5,081.00","45,062.00",8.43,11.01,0.47,0.19,"Quý 1/2024
01/01-31/03
CKT/HN"
"8,697,576","882,197","1,147,253","891,350","891,350","240,250,006","447,360,776","264,991,288","214,020,096","182,369,488","7,614.00","41,882.00",5.67,10.25,0.49,0.21,"Quý 4/2023
01/10-31/12
CKT/HN"
"32,724,102","14,956,906","14,528,120","10,723,541","10,694,762","215,057,869","417,039,474","236,174,964","196,258,996","180,864,510","9,460.00","41,536.00",4.81,32.77,6.09,2.63,"Quý 3/2023
01/07-30/09
CKT/HN"
"32,833,044","13,215,129","13,122,869","9,713,912","9,652,450","197,504,783","396,349,284","226,245,727","190,660,299","170,103,557","10,332.00","39,065.00",5.32,29.59,5.84,2.49,"Quý 2/2023
01/04-30/06
CKT/HN"
"29,298,557","6,643,058","15,502,528","11,922,890","11,917,322","205,327,661","377,621,667","217,203,532","190,748,131","160,418,135","8,233.00","36,841.00",6.26,40.69,7.71,3.22,"Quý 1/2023
01/01-31/03
CKT/HN"
"31,193,321","15,084,682","12,474,192","8,952,487","8,927,802","185,196,368","361,203,698","212,799,760","187,128,409","148,403,938","6,538.00","34,082.00",7.34,28.70,6.19,2.54,"Quý 4/2022
01/10-31/12
CKT/HN"
"17,804,867","9,295,875","18,070,152","14,575,173","14,493,845","179,330,798","341,601,215","201,469,484","178,927,848","140,131,731","7,228.00","32,182.00",7.01,81.86,10.76,4.52,"Quý 3/2022
01/07-30/09
CKT/HN"
"4,529,957","1,391,172","1,055,153","622,087","508,877","161,399,666","299,561,556","170,213,909","152,685,853","129,347,647","6,849.00","29,705.00",9.07,13.73,0.38,0.19,"Quý 2/2022
01/04-30/06
CKT/HN"
"8,923,490","3,865,969","5,824,060","4,724,937","4,540,066","94,888,743","233,962,584","97,890,687","70,673,122","136,071,897","9,848.00","31,250.00",7.70,52.95,3.39,1.95,"Quý 1/2022
01/01-31/03
CKT/HN"
"23,412,970","14,098,616","13,790,298","11,986,291","11,932,494","91,216,562","230,417,689","98,718,528","75,081,616","131,699,161","10,762.00","30,245.00",7.62,51.20,9.50,5.30,"Quý 4/2021
01/10-31/12
CKT/HN"
"20,679,434","13,647,766","13,891,172","11,195,103","11,166,795","102,471,473","219,638,744","100,096,479","81,301,092","119,542,265","11,544.00","27,453.00",6.78,54.14,10.21,5.20,"Quý 3/2021
01/07-30/09
CKT/HN"
"28,725,193","14,356,439","13,233,128","10,302,845","10,232,467","99,004,650","209,999,931","110,829,811","94,890,770","99,170,120","10,089.00","30,147.00",11.70,35.87,10.56,4.90,"Quý 2/2021
01/04-30/06
CKT/HN"
"12,986,441","6,212,344","7,054,458","5,477,762","5,396,149","94,043,346","207,714,673","113,109,995","93,266,931","94,604,678","8,121.00","28,759.00",11.98,42.18,5.87,2.55,"Quý 1/2021
01/01-31/03
CKT/HN"
"21,512,001","7,298,238","14,665,738","11,559,552","11,502,494","102,010,303","214,937,493","125,252,007","101,308,749","89,685,486","8,561.00","27,264.00",10.45,53.74,13.66,5.28,"Quý 4/2020
01/10-31/12
CKT/HN"
"26,482,588","9,114,809","7,453,174","6,146,258","6,058,321","141,229,902","220,509,139","141,731,332","118,476,910","78,777,807","6,856.00","23,948.00",11.01,23.21,7.82,2.72,"Quý 3/2020
01/07-30/09
CKT/HN"
"16,377,455","6,454,596","5,918,819","3,800,763","3,758,480","144,808,666","225,577,738","149,424,304","125,228,224","76,153,434","6,647.00","22,736.00",11.36,23.21,5.06,1.75,"Quý 2/2020
01/04-30/06
CKT/HN"
"6,519,224","2,948,881","10,127,571","7,645,064","6,843,831","141,421,460","203,007,149","130,668,570","121,111,829","72,338,579","7,663.00","21,991.00",7.18,117.27,9.99,3.42,"Quý 1/2020
01/01-31/03
CKT/HN"
"14,183,719","10,018,410","8,584,271","6,858,460","5,981,384","133,821,706","197,170,133","132,414,037","121,053,193","64,756,096","6,345.00","19,686.00",13.36,48.35,9.33,3.33,"Quý 4/2019
01/10-31/12
CKT/HN"
"10,906,063","6,765,621","7,673,229","6,141,630","5,470,442","112,763,374","161,661,531","98,178,200","74,441,770","63,483,330","5,310.00","18,953.00",16.82,56.31,8.94,3.64,"Quý 3/2019
01/07-30/09
CKT/HN"
"20,917,153","9,288,949","10,017,904","8,455,525","7,243,256","102,620,512","138,694,504","79,785,098","57,027,661","58,909,406","5,086.00","17,587.00",15.59,40.42,13.21,5.42,"Quý 2/2019
01/04-30/06
CKT/HN"
"5,852,605","1,328,694","3,335,031","2,687,050","2,540,181","96,614,246","128,472,112","77,716,281","54,862,053","50,755,831","4,165.00","15,153.00",21.97,45.91,5.14,2.05,"Quý 1/2019
01/01-31/03
CKT/HN"
"16,400,477","2,734,859","4,575,460","2,557,933","2,347,122","80,465,683","117,807,671","69,688,996","41,057,661","48,118,675","4,809.00","14,366.00",15.26,15.60,4.97,1.83,"Quý 4/2018
01/10-31/12
CKT/HN"
"6,878,188","2,656,171","5,117,333","4,039,352","3,847,999","107,648,618","138,194,633","91,919,408","64,012,185","46,275,225","3,951.00","17,269.00",26.83,58.73,8.72,3.01,"Quý 3/2018
01/07-30/09
CKT/HN"
"5,433,647","1,715,033","4,964,805","3,882,035","3,825,238","79,163,370","117,267,835","75,304,798","61,808,459","41,963,037","3,036.00","15,660.00",37.03,71.44,9.54,3.61,"Quý 2/2018
01/04-30/06
CKT/HN"
"10,534,721","2,858,744","3,025,351","3,986,313","3,906,326","63,034,146","94,692,755","56,445,111","47,588,528","38,247,644","1,599.00","14,274.00",,37.84,16.15,5.35,"Quý 1/2018
01/01-31/03
CKT/HN"
"3,231,117","379,422","-787,957","-960,893","-993,311","44,421,050","51,303,819","41,180,034","34,223,057","10,123,785","5,590.00","50,619.00",,-29.74,-19.62,-3.87,"Quý 4/2017
01/10-31/12
CKT/HN"
"6,892,908","2,751,811","1,879,199","1,457,966","1,395,729",,,,,,0,0,,21.15,0,0,"Quý 3/2017
01/07-30/09
CKT/HN"
"1,795,702","526,055","49,253","6,894","-24,506",,,,,,0,0,,0.38,0,0,"Quý 2/2017
01/04-30/06
CKT/HN"
"3,377,586","1,430,682","918,190","768,143","740,055","17,588,967","39,485,046","29,167,961","28,036,275","10,317,085","12,389.00","51,585.00",,22.74,7.45,1.92,"Quý 1/2017
01/01-31/03
CKT/HN"
"9,538,928","3,893,990","2,574,195","2,061,679","1,567,242","13,289,556","34,317,744","27,831,586","26,658,568","6,486,159","10,778.00","32,431.00",,21.61,28.79,4.60,"Quý 4/2016
01/10-31/12
CKT/HN"
"875,661","389,032","463,258","501,585","516,515","16,984,303","33,780,872","29,380,298","28,956,796","4,400,574","2,941.00","22,003.00",,57.28,9.32,1.67,"Quý 3/2016
01/07-30/09
CKT/HN"
"436,514","108,167","-427,232","-373,671","-345,928","10,520,727","28,242,840","21,561,264","21,120,350","6,681,575",359.00,"33,408.00",,-85.60,-10.35,-2.45,"Quý 2/2016
01/04-30/06
CKT/HN"
"9,538,928","3,893,990","2,574,195","2,061,679","1,567,242","13,289,556","34,317,744","27,831,586","26,658,568","6,486,159","10,778.00","32,431.00",,21.61,28.79,4.60,"Quý 4/2016
01/10-31/12
CKT/HN"
"875,661","389,032","463,258","501,585","516,515","16,984,303","33,780,872","29,380,298","28,956,796","4,400,574","2,941.00","22,003.00",,57.28,9.32,1.67,"Quý 3/2016
01/07-30/09
CKT/HN"
"436,514","108,167","-427,232","-373,671","-345,928","10,520,727","28,242,840","21,561,264","21,120,350","6,681,575",359.00,"33,408.00",,-85.60,-10.35,-2.45,"Quý 2/2016
01/04-30/06
CKT/HN"
"366,607","88,675","378,054","380,685","417,704",,,,,,0,0,,103.84,0,0,"Quý 1/2016
01/01-31/03
CKT/HN"
