Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"4,035,840","1,871,092","2,501,930","2,001,143","2,001,143","413,887,815","92,771,841","262,910,844","375,472,090","106,590,851","234,210,794","38,415,725","25,369,708","9,577,906","3,470.00","15,143.00",7.09,5.24,0.49,"Quý 1/2024
01/01-31/03
SX/HN"
"4,333,289","1,770,567","2,378,457","1,902,006","1,902,006","409,880,584","68,197,574","262,074,228","371,941,629","98,639,721","236,577,266","37,938,955","25,369,708","9,098,839","3,689.00","14,955.00",5.31,5.14,0.48,"Quý 4/2023
01/10-31/12
CKT/HN"
"4,321,296","1,716,919","2,682,793","2,146,903","2,146,903","384,419,101","74,707,078","241,890,738","348,379,345","98,342,851","213,533,762","36,039,756","25,369,708","7,200,691","4,018.00","14,207.00",4.82,6.14,0.56,"Quý 3/2023
01/07-30/09
SX/HN"
"4,401,862","1,555,747","2,948,005","2,358,400","2,358,400","378,662,835","79,806,086","231,347,002","344,752,989","106,384,817","205,302,772","33,909,846","25,369,615","5,053,704","4,253.00","16,089.00",4.62,7.10,0.64,"Quý 2/2023
01/04-30/06
SX/HN"
"4,304,106","1,567,510","2,693,900","2,155,111","2,155,111","357,247,165","43,216,256","226,004,365","324,676,749","86,315,743","199,267,040","32,570,416","21,078,270","7,720,560","4,354.00","15,453.00",4.91,6.61,0.62,"Quý 1/2023
01/01-31/03
SX/HN"
"3,911,041","1,566,220","2,767,034","2,216,919","2,216,919","343,069,186","51,899,808","228,879,249","310,418,141","71,166,441","200,123,940","32,651,045","21,078,270","9,055,222","4,477.00","15,492.00",4.24,7.02,0.65,"Quý 4/2022
01/10-31/12
CKT/HN"
"3,836,028","1,669,754","2,791,123","2,233,407","2,233,407","340,910,343","47,914,952","223,283,589","310,432,602","78,472,013","189,033,408","30,477,741","21,078,270","6,846,828","4,805.00","14,460.00",4.58,7.61,0.65,"Quý 3/2022
01/07-30/09
SX/HN"
"3,699,595","1,501,223","2,744,047","2,195,308","2,195,308","348,022,816","57,744,071","218,784,626","319,773,142","75,311,372","197,169,492","28,249,674","21,078,270","4,613,421","4,528.00","13,403.00",4.75,8.09,0.64,"Quý 2/2022
01/04-30/06
SX/HN"
"3,515,891","1,459,919","2,278,915","1,823,136","1,823,136","333,850,243","35,185,373","211,470,497","307,838,772","75,387,839","183,802,071","26,011,471","15,532,910","7,734,430","4,651.00","16,748.00",10.12,7.25,0.57,"Quý 1/2022
01/01-31/03
SX/HN"
"3,399,728","1,146,733","2,672,258","2,137,704","2,137,704","309,517,129","27,985,117","199,116,430","285,226,389","64,456,470","173,564,890","24,290,740","15,532,910","6,971,079","4,727.00","15,640.00",10.01,9.20,0.72,"Quý 4/2021
01/10-31/12
CKT/HN"
"2,678,429","1,428,619","1,384,669","1,108,053","1,108,053","285,035,255","32,397,411","185,703,815","262,876,686","59,685,144","170,590,963","22,158,569","15,532,910","4,833,378","4,681.00","14,267.00",7.55,5.13,0.39,"Quý 3/2021
01/07-30/09
SX/HN"
"2,959,605","1,345,835","2,147,185","1,717,783","1,717,783","277,200,433","17,272,743","180,970,774","256,152,093","53,168,217","168,109,367","21,048,340","15,532,910",,"5,638.00","13,552.00",8.77,8.51,0.64,"Quý 2/2021
01/04-30/06
CKT/HN"
"2,778,385","1,360,655","1,806,902","1,446,212","1,446,212","257,866,042","19,180,573","175,606,988","238,540,305","47,656,869","156,867,117","19,325,737","11,095,229","6,283,481","5,297.00","17,420.00",9.14,7.75,0.58,"Quý 1/2021
01/01-31/03
SX/HN"
"2,561,263","1,303,218","1,776,270","1,420,557","1,420,557","244,701,478","4,368,977","167,797,844","226,729,386","42,476,122","150,360,495","17,972,092","11,095,229","5,623,965","4,923.00","16,200.00",6.58,8.23,0.62,"Quý 4/2020
01/10-31/12
CKT/HN"
"2,233,417","1,124,746","1,668,118","1,334,884","1,334,884","213,086,346","7,955,573","147,458,347","196,534,446","25,390,601","138,030,636","16,551,900","9,246,246","4,221,433","4,493.00","17,904.00",6.17,8.40,0.64,"Quý 3/2020
01/07-30/09
CKT/HN"
"1,901,936","1,007,740","1,281,156","1,024,923","1,024,923","202,369,814","8,109,221","136,276,520","187,154,218","34,033,521","127,953,459","15,215,596","9,246,246","2,886,549","4,100.00","16,458.00",4.24,6.95,0.52,"Quý 2/2020
01/04-30/06
CKT/HN"
"1,799,491","1,029,168","1,075,311","860,249","860,249","193,314,367","5,974,665","133,467,428","179,029,563","33,579,545","123,195,235","14,284,804","9,246,246","2,450,615","4,045.00","15,452.00",3.16,6.21,0.46,"Quý 1/2020
01/01-31/03
CKT/HN"
"1,674,522","992,598","1,166,260","933,409","933,409","184,570,119","4,011,859","127,942,036","171,138,819","27,225,110","122,357,044","13,431,300","9,246,246","1,592,022","3,986.00","14,528.00",4.34,7.20,0.52,"Quý 4/2019
01/10-31/12
CKT/HN"
"1,618,523","913,166","1,095,019","876,028","876,028","175,657,834","4,296,982","121,966,052","163,159,368","29,575,269","113,716,543","12,498,466","9,246,246","2,358,840","4,264.00","13,519.00",4.22,7.26,0.52,"Quý 3/2019
01/07-30/09
SX/HN"
"1,532,088","774,584","1,010,386","808,370","808,370","163,856,431","11,829,831","113,386,619","152,235,209","32,799,102","99,158,301","11,621,222","7,835,885","1,757,025","4,135.00","15,305.00",3.97,7.07,0.52,"Quý 2/2019
01/04-30/06
CKT/HN"
"1,385,178","747,759","809,862","647,785","647,785","144,836,310","7,204,567","100,869,689","133,582,889","30,732,753","88,668,128","11,253,421","7,835,885","1,379,186","4,015.00","14,974.00",4.73,5.91,0.46,"Quý 1/2019
01/01-31/03
SX/HN"
"1,298,918","694,027","1,021,068","816,853","816,853","139,000,254","8,415,605","95,260,822","128,333,182","29,399,947","84,862,631","10,667,072","7,835,884","1,122,485","3,967.00","14,194.00",4.44,7.86,0.60,"Quý 4/2018
01/10-31/12
CKT/HN"
"1,273,502","682,333","569,977","455,982","455,982","132,506,950","8,512,212","89,687,957","122,387,901","30,412,962","79,574,941","10,119,049","6,039,799","1,888,656","3,723.00","19,002.00",7.92,4.61,0.35,"Quý 3/2018
01/07-30/09
CKT/HN"
"1,203,741","678,346","633,339","506,671","506,671","127,291,101","7,264,398","86,247,968","117,622,499","31,649,885","75,346,488","9,668,602","6,039,799","1,438,209","3,186.00","18,223.00",8.48,5.38,0.38,"Quý 2/2018
01/04-30/06
CKT/HN"
"1,052,535","637,393","518,110","414,488","414,488","136,025,736","9,279,533","83,279,542","126,868,392","41,883,379","74,256,655","9,157,345","6,039,799","926,952","2,546.00","17,259.00",15.91,4.62,0.32,"Quý 1/2018
01/01-31/03
CKT/HN"
"1,096,854","600,527","782,417","625,939","625,939","123,280,790","10,274,967","78,957,651","114,488,321","33,695,535","68,398,634","8,792,471","6,039,799","725,088","1,997.00","17,702.00",11.52,7.06,0.52,"Quý 4/2017
01/10-31/12
CKT/HN"
"891,830","604,086","242,903","194,442","194,442","116,574,339","11,453,984","71,496,840","107,644,360","28,520,137","66,491,126","8,929,979","6,802,939","799,456","1,299.00","15,821.00",16.63,2.20,0.17,"Quý 3/2017
01/07-30/09
CKT/HN"
"774,177","581,507","222,998","178,549","178,549","115,384,137","10,280,900","68,338,708","106,638,441","33,300,626","62,183,041","8,745,700","6,802,939","605,013","1,104.00","15,494.00",20.37,2.03,0.16,"Quý 2/2017
01/04-30/06
CKT/HN"
"692,738","539,110","157,136","125,709","125,709","105,981,521","10,481,580","62,638,983","97,113,263","29,670,431","60,810,204","8,868,259","6,802,939","808,597","1,021.00","15,712.00",17.63,1.43,0.12,"Quý 1/2017
01/01-31/03
CKT/HN"
"784,241","586,938","293,567","234,646","234,646","104,548,140","9,152,036","59,308,160","95,805,590","33,261,991","59,260,842","8,742,551","6,802,939","682,889",995.00,"15,489.00",0,2.72,0.24,"Quý 4/2016
01/10-31/12
CKT/HN"
"649,018","515,787","105,402","84,445","84,445","88,609,820","5,472,807","52,753,126","80,084,725","18,945,662","59,779,035","8,525,095","6,802,946","465,426","1,084.00","17,596.00",0,1.00,0.10,"Quý 3/2016
01/07-30/09
CKT/HN"
"596,952","507,960","161,493","131,515","131,515","86,755,007","6,055,252","50,616,347","78,314,358","19,300,749","57,248,363","8,440,651","6,802,946","380,982","1,047.00","17,421.00",0,1.53,0.15,"Quý 2/2016
01/04-30/06
CKT/HN"
"595,110","485,896","141,476","110,904","110,904","85,252,232","7,191,671","48,146,133","76,497,080","20,724,035","53,890,982","8,755,154","6,802,946","766,687","1,027.00","18,070.00",,1.28,0.13,"Quý 1/2016
01/01-31/03
CKT/HN"
