Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"21,738,502","-1,955,140","2,937,338","1,335,076","7,934,469","350,049,998","693,948,793","536,196,058","394,383,059","157,752,735","2,313.00","41,257.00",20.27,6.14,5.19,1.17,,"Quý 1/2024
01/01-31/03
CKT/HN"
"27,427,772","-2,818,983","-11,388,010","494,669","-158,766","342,609,157","669,617,073","521,595,497","386,669,534","148,021,576",542.00,"38,712.00",80.85,1.80,-0.11,-0.02,,"Quý 4/2023
01/10-31/12
CKT/HN"
"47,947,906","11,739,545","-2,144,358","567,268","-669,037","298,026,710","625,387,345","478,444,829","344,773,342","146,942,516",988.00,"38,528.00",46.75,1.18,-0.47,-0.11,,"Quý 3/2023
01/07-30/09
CKT/HN"
"47,143,305","10,495,758","4,217,470","397,989","1,865,507","279,246,480","607,981,142","470,275,549","336,258,541","137,705,593","1,405.00","36,106.00",35.77,0.84,1.36,0.31,,"Quý 2/2023
01/04-30/06
CKT/HN"
"38,963,375","4,434,904","4,801,848","589,149","1,066,235","291,950,103","596,877,182","460,565,228","316,175,728","136,311,954","1,748.00","35,740.00",31.02,1.51,0.78,0.18,,"Quý 1/2023
01/01-31/03
CKT/HN"
"41,167,854","12,804,471","4,207,641","410,321","1,558,987","272,222,529","574,807,290","439,194,193","296,551,641","135,613,097","2,107.00","35,557.00",25.17,1.00,1.14,0.28,,"Quý 4/2022
01/10-31/12
CKT/HN"
"28,742,356","5,758,303","4,989,886","506,346","946,781","269,408,836","555,571,017","418,345,604","286,327,011","137,225,413",162.00,"35,980.00",334.19,1.76,0.70,0.18,,"Quý 3/2022
01/07-30/09
CKT/HN"
"13,853,819","-4,567,274","-3,750,773","515,655","3,190,696","242,652,310","508,608,627","376,602,364","243,813,336","132,006,263",-173.00,"34,612.00",-409.85,3.72,2.39,0.67,,"Quý 2/2022
01/04-30/06
CKT/HN"
"18,228,910","205,072","1,827,019","512,031","2,453,756","169,506,762","441,366,523","306,808,076","148,450,387","134,558,447",-685.00,"35,281.00",-111.35,2.81,1.67,0.56,,"Quý 1/2022
01/01-31/03
CKT/HN"
"34,457,826","8,239,986","-2,876,914","-9,248,870","-5,964,033","163,350,836","427,323,934","268,177,346","144,444,929","159,146,588",-778.00,"41,659.00",-111.68,-26.84,-3.69,-1.39,,"Quý 4/2021
01/10-31/12
CKT/HN"
"30,111,579","11,698,283","3,358,772","257,066","-351,336","180,400,355","433,602,635","269,305,555","148,238,154","164,297,080","1,185.00","43,177.00",74.25,0.85,-0.23,-0.08,,"Quý 3/2021
01/07-30/09
CKT/HN"
"38,451,254","10,425,216","3,777,166","565,539","1,211,385","165,296,005","417,881,448","273,439,641","154,338,191","144,441,807","1,759.00","42,704.00",67.67,1.47,0.85,0.29,,"Quý 2/2021
01/04-30/06
CKT/HN"
"23,294,421","3,285,454","2,807,018","867,698","2,094,056","162,828,935","419,832,704","280,058,249","162,523,561","139,774,455","1,952.00","41,324.00",60.39,3.72,1.52,0.50,,"Quý 1/2021
01/01-31/03
CKT/HN"
"35,821,395","5,580,023","4,057,631","1,550,974","1,102,742","164,454,221","424,267,785","288,510,783","174,675,122","135,757,002","1,463.00","40,136.00",73.97,4.33,0.85,0.26,,"Quý 4/2020
01/10-31/12
CKT/HN"
"35,913,718","6,301,044","3,469,874","1,435,538","1,540,067","182,768,719","430,010,614","305,459,008","183,306,410","124,551,606","2,505.00","36,823.00",36.53,4.00,1.24,0.36,,"Quý 3/2020
01/07-30/09
CKT/HN"
"23,207,431","3,653,258","3,994,229","848,860","1,866,158","193,564,601","429,573,108","305,909,346","197,002,658","123,663,762","2,202.00","36,561.00",40.42,3.66,1.52,0.44,,"Quý 2/2020
01/04-30/06
CKT/HN"
"15,368,486","1,985,951","3,310,780","505,330","438,441","189,221,712","413,612,851","291,500,510","189,055,700","122,112,341","2,074.00","36,102.00",40.21,3.29,0.36,0.11,,"Quý 1/2020
01/01-31/03
CKT/HN"
"38,175,707","8,859,810","6,235,811","3,589,529","4,607,397","201,493,475","408,572,671","287,972,083","183,615,768","120,600,587","2,284.00","35,802.00",50.35,9.40,3.75,1.20,,"Quý 4/2019
01/10-31/12
CKT/HN"
"31,570,918","11,280,322","2,611,975","711,629","497,615","166,285,993","357,159,236","231,751,079","151,188,430","125,408,157","1,400.00","37,481.00",85.58,2.25,0.40,0.14,,"Quý 3/2019
01/07-30/09
CKT/HN"
"39,457,371","12,762,169","4,825,447","2,342,706","1,373,625","162,795,278","338,524,179","212,351,073","125,613,840","126,173,106","1,461.00","37,709.00",79.20,5.94,1.20,0.42,,"Quý 2/2019
01/04-30/06
CKT/HN"
"21,822,680","4,779,159","1,862,193","1,009,752","1,038,254","153,900,474","314,125,654","211,752,772","123,932,778","102,372,882","1,097.00","32,076.00",105.66,4.63,1.03,0.34,,"Quý 1/2019
01/01-31/03
CKT/HN"
"38,427,135","8,148,370","4,807,751","2,765,837","1,638,388","132,457,317","289,105,097","190,046,044","110,666,924","99,059,052","1,104.00","31,037.00",86.30,7.20,1.66,0.59,,"Quý 4/2018
01/10-31/12
CKT/HN"
"23,456,308","6,572,899","2,513,441","1,526,511","613,753","128,742,277","268,230,152","170,119,842","109,882,412","98,110,311","1,343.00","30,740.00",73.18,6.51,0.66,0.24,,"Quý 3/2018
01/07-30/09
CKT/HN"
"32,741,049","8,234,887","3,599,558","615,139","42,186","102,333,261","242,175,667","155,337,739","104,039,418","86,837,928","1,325.00","32,922.00",81.16,1.88,0.06,0.02,,"Quý 2/2018
01/04-30/06
CKT/HN"
"28,450,844","6,786,352","2,651,106","1,032,211","919,455","96,804,414","223,637,836","164,171,128","124,907,596","59,466,708","1,741.00","22,545.00",67.34,3.63,1.64,0.42,,"Quý 1/2018
01/01-31/03
SX/HN"
"33,188,786","9,165,239","4,033,199","2,675,979","2,138,834","100,528,907","214,855,098","162,548,919","124,896,668","52,306,179","1,739.00","19,830.00",44.46,8.06,4.19,1.02,,"Quý 4/2017
01/10-31/12
CKT/HN"
"21,972,279","7,005,690","1,908,357","902,854","393,418","100,624,618","204,937,940","155,219,858","114,442,106","49,718,082",872.00,"18,849.00",58.74,4.11,0.84,0.20,,"Quý 3/2017
01/07-30/09
CKT/HN"
"19,538,347","6,116,203","1,977,819","1,016,761","1,139,228","93,983,222","192,790,339","148,962,015","110,116,708","43,828,324",833.00,"16,616.00",51.25,5.20,2.62,0.60,,"Quý 2/2017
01/04-30/06
CKT/HN"
"15,791,343","5,572,924","1,209,303","593,004","914,859","90,043,249","187,255,713","144,098,189","102,353,100","43,157,524",724.00,"16,362.00",57.77,3.76,2.07,0.50,,"Quý 1/2017
01/01-31/03
CKT/HN"
"23,886,369","7,340,085","1,801,607","410,496","-165,265","70,686,265","179,805,584","135,224,264","97,311,504","44,581,320",719.00,"16,902.00",58.40,1.72,-0.38,-0.09,,"Quý 4/2016
01/10-31/12
CKT/HN"
"10,650,440","3,404,100","598,150","226,165","175,295","84,004,795","173,233,961","131,329,367","83,779,893","41,904,594",968.00,"15,887.00",45.96,2.12,0.41,0.11,,"Quý 3/2016
01/07-30/09
CKT/HN"
"9,459,758","2,420,404","1,945,633","1,636,031","743,241","73,433,114","159,332,652","114,772,286","73,621,820","44,560,366","1,059.00","20,695.00",46.63,17.29,1.74,0.48,,"Quý 2/2016
01/04-30/06
CKT/HN"
"14,736,856","4,778,499","2,280,631","1,289,476","778,651","68,546,489","148,921,815","107,942,532","64,876,114","40,979,284",870.00,"21,125.00",54.26,8.75,1.98,0.53,,"Quý 1/2016
01/01-31/03
SX/HN"
"14,366,927","4,559,855","1,485,825","420,834","187,389","66,451,289","146,056,712","108,603,013","65,390,436","37,453,699",709.00,"20,048.00",64.46,2.93,0.54,0.14,,"Quý 4/2015
01/10-31/12
CKT/HN"
"7,251,094","2,723,107","623,350","305,445","255,123","60,726,434","125,933,953","94,313,930","54,497,874","31,620,022",870.00,"17,128.00",47.95,4.21,0.82,0.22,,"Quý 3/2015
01/07-30/09
CKT/HN"
"6,031,473","2,131,892","674,655","335,267","289,302","48,904,236","110,533,442","79,990,362","39,710,566","30,543,080","1,480.00","20,937.00",29.40,5.56,0.99,0.28,,"Quý 2/2015
01/04-30/06
CKT/HN"
"6,394,135","2,243,216","800,050","357,396","427,941","38,940,061","96,056,846","68,107,005","29,085,410","27,949,841","2,132.00","19,215.00",22.04,5.59,1.77,0.46,0,"Quý 1/2015
01/01-31/03
CKT/HN"
"6,213,179","2,318,691","605,278","344,107","355,239","31,608,847","90,482,964","63,205,460","19,724,033","20,416,466","2,989.00","14,036.00",15.96,5.54,1.83,0.41,"6,861,038","Quý 4/2014
01/10-31/12
CKT/HN"
"7,657,958","2,829,343","1,624,159","1,228,608","889,282","36,550,263","82,791,938","55,496,406","18,675,297","18,426,425","3,964.00","12,886.00",12.11,16.04,4.95,1.07,"8,869,108","Quý 3/2014
01/07-30/09
CKT/HN"
"7,691,711","2,895,280","1,646,240","1,148,690","858,797","44,642,243","83,807,825","59,760,835","25,041,174","17,529,252","5,129.00","18,856.00",12.48,14.93,5.19,1.06,"6,517,739","Quý 2/2014
01/04-30/06
CKT/HN"
"6,174,804","2,409,781","1,528,411","1,068,281","1,075,667","40,148,557","78,306,373","57,162,449","23,647,758","15,549,594","8,281.00","16,726.00",8.88,17.30,7.17,1.40,"5,594,329","Quý 1/2014
01/01-31/03
CKT/HN"
"6,776,779","2,148,227","1,354,712","1,073,707","822,362","37,064,963","74,980,344","56,255,152","21,356,174","17,758,824","7,583.00","19,104.00",9.23,15.84,4.82,1.20,"966,368","Quý 4/2013
01/10-31/12
CKT/HN"
"8,469,586","3,336,826","2,805,724","2,011,633","1,874,706","29,979,359","61,580,737","44,878,258","27,006,903","16,398,568","7,352.00","17,656.00",8.50,23.75,12.08,3.12,"303,912","Quý 3/2013
01/07-30/09
CKT/HN"
"2,147,212","960,109","5,029,411","3,774,696","3,771,873","31,528,577","58,538,159","43,487,132","25,935,351","14,637,821","5,572.00","15,763.00",11.22,175.80,29.60,6.43,"413,206","Quý 2/2013
01/04-30/06
CKT/HN"
"983,723","524,751","397,066","264,661","287,066","31,359,746","58,849,026","47,301,714","29,600,327","10,845,725","1,651.00","11,685.00",38.47,26.90,2.68,0.50,"701,587","Quý 1/2013
01/01-31/03
CKT/HN"
"2,836,363","1,062,646","520,354","373,118","219,235","28,387,279","55,818,379","44,944,748","25,637,625","10,556,569","2,523.00","15,071.00",31.71,13.15,2.15,0.41,"317,062","Quý 4/2012
01/10-31/12
CKT/HN"
"1,282,353","501,816","151,760","120,717","95,439","27,002,934","51,119,547","41,539,544","24,188,606","9,818,310","2,946.00","14,017.00",28.17,9.41,0.98,0.20,"-238,308","Quý 3/2012
01/07-30/09
CKT/HN"
