Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Time
"17,791,993","1,745,281","542,235","539,140","536,184","38,743,314","85,828,171","69,776,185","35,373,043","16,051,986","1,866.00","29,637.00",55.20,3.03,3.43,0.62,"Quý 1/2024
01/01-31/03
CKT/HN"
"18,797,012","-102,345","-166,527","151,846","126,160","37,272,432","84,681,062","69,048,472","36,187,381","15,632,590","1,194.00","28,863.00",90.47,0.81,0.82,0.16,"Quý 4/2023
01/10-31/12
CKT/HN"
"14,234,694","1,240,778","201,269","55,463","135,119","33,866,777","76,538,500","61,324,803","29,553,467","15,213,697","-3,389.00","28,090.00",-29.30,0.39,0.88,0.18,"Quý 3/2023
01/07-30/09
CKT/HN"
"16,872,037","1,102,287","236,333","214,019","213,106","36,839,742","71,496,137","56,144,463","32,521,122","15,351,674","-3,564.00","28,344.00",-26.46,1.27,1.40,0.30,"Quý 2/2023
01/04-30/06
CKT/HN"
"12,897,936","1,062,176","243,514","172,729","172,207","33,805,248","69,276,892","54,127,724","29,759,920","15,149,168","-3,625.00","27,971.00",-28.99,1.34,1.15,0.25,"Quý 1/2023
01/01-31/03
CKT/HN"
"11,807,303","-3,843,121","-3,745,606","-2,358,814","-2,356,213","31,047,873","67,146,804","52,905,348","30,822,468","14,241,456","-3,492.00","26,295.00",-31.36,-19.98,-14.83,-3.50,"Quý 4/2022
01/10-31/12
CKT/HN"
"11,600,466","363,815","55,125","42,544","40,648","40,400,480","67,470,184","49,938,103","26,970,777","17,532,081",671.00,"32,370.00",165.33,0.37,0.23,0.06,"Quý 3/2022
01/07-30/09
CKT/HN"
"11,589,999","1,127,397","272,252","181,319","180,090","34,626,215","64,591,821","47,103,608","22,916,055","17,488,213",730.00,"32,289.00",178.00,1.56,1.04,0.29,"Quý 2/2022
01/04-30/06
CKT/HN"
"4,522,244","-256,848","249,073","244,362","244,362","34,982,025","61,206,335","44,095,002","20,680,645","17,111,333",409.00,"31,593.00",343.13,5.40,1.44,0.43,"Quý 1/2022
01/01-31/03
CKT/HN"
"2,788,564","369,612","-82,088","-93,362","-101,806","27,375,787","51,784,779","34,909,978","16,809,453","16,874,800",189.00,"31,157.00",679.50,-3.35,-0.60,-0.20,"Quý 4/2021
01/10-31/12
CKT/HN"
"2,653,835","559,008","103,019","71,778","72,902","26,132,963","50,948,679","34,020,066","17,058,375","16,928,613","2,255.00","31,256.00",56.73,2.70,0.43,0.15,"Quý 3/2021
01/07-30/09
CKT/HN"
"3,541,776","-1,277,566","10,182","4,526","5,760","28,112,441","48,620,658","31,615,400","18,379,165","17,005,258",292.00,"31,398.00",415.71,0.13,0.04,0.01,"Quý 2/2021
01/04-30/06
CKT/HN"
"4,048,643","-1,013,746","121,804","123,319","124,375","27,353,004","47,497,810","32,868,244","22,154,222","14,629,566","2,311.00","27,928.00",56.11,3.05,0.84,0.27,"Quý 1/2021
01/01-31/03
CKT/HN"
"4,429,932","494,094","261,712","994,675","995,215","24,496,625","47,088,257","32,108,450","20,993,064","14,979,806",185.00,"28,596.00",675.00,22.45,6.87,2.15,"Quý 4/2020
01/10-31/12
CKT/HN"
"2,809,499","-611,963","-927,860","-971,248","-971,356","22,550,649","45,304,421","31,321,654","19,962,302","13,982,768",-689.00,"26,693.00",-151.80,-34.57,-6.70,-2.07,"Quý 3/2020
01/07-30/09
CKT/HN"
