Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"14,112,411","5,911,521","2,715,537","2,206,983","2,194,667","35,013,918","51,653,870","15,786,279","15,294,388","35,867,591","4,408.00","17,162.00",15.34,15.64,6.19,4.21,,"Quý 1/2024
01/01-31/03
SX/HN"
"15,618,711","6,441,613","2,725,822","2,350,705","2,326,014","35,935,880","52,673,371","17,647,627","17,138,690","35,025,744","4,246.00","16,759.00",15.92,15.05,6.74,4.32,,"Quý 4/2023
01/10-31/12
CKT/HN"
"15,636,988","6,554,901","3,086,271","2,533,264","2,492,254","37,680,162","54,967,436","20,964,372","20,399,328","34,003,064","4,027.00","16,270.00",18.42,16.20,7.05,4.71,,"Quý 3/2023
01/07-30/09
SX/HN"
"15,194,825","6,150,192","2,776,744","2,229,158","2,198,811","33,403,480","50,968,782","14,308,732","13,742,782","36,660,050","3,935.00","17,541.00",18.05,14.67,6.18,4.39,,"Quý 2/2023
01/04-30/06
CKT/HN"
"13,918,392","5,398,026","2,314,795","1,906,226","1,856,733","32,394,854","49,264,785","14,754,559","14,407,883","34,510,226","3,879.00","16,512.00",19.18,13.70,5.52,3.80,,"Quý 1/2023
01/01-31/03
SX/HN"
"15,068,655","5,845,588","2,229,049","1,869,122","1,869,126","31,560,382","48,482,664","15,666,146","15,308,423","32,816,518","4,075.00","15,702.00",18.68,12.40,5.61,3.75,,"Quý 4/2022
01/10-31/12
CKT/HN"
"16,079,491","6,350,180","2,888,929","2,322,872","2,298,399","34,373,292","51,199,903","17,355,518","16,983,265","33,844,385","4,231.00","16,194.00",17.09,14.45,6.51,4.38,,"Quý 3/2022
01/07-30/09
CKT/HN"
"14,930,275","6,076,660","2,600,936","2,102,267","2,082,981","36,871,286","53,842,176","17,021,657","16,644,211","36,820,519","4,531.00","17,618.00",15.93,14.08,5.80,3.90,,"Quý 2/2022
01/04-30/06
SX/HN"
"13,877,826","5,624,804","2,772,151","2,283,315","2,265,518","35,452,396","52,995,528","18,018,317","17,607,914","34,977,212","4,891.00","16,736.00",16.54,16.45,6.40,4.26,,"Quý 1/2022
01/01-31/03
SX/HN"
"15,819,037","6,725,317","2,639,085","2,212,607","2,196,004","36,109,911","53,332,403","17,482,289","17,068,417","35,850,114","5,040.00","17,154.00",17.14,13.99,6.30,4.17,,"Quý 4/2021
01/10-31/12
CKT/HN"
"16,194,052","6,943,747","3,507,045","2,960,726","2,925,767","34,446,542","52,067,759","18,192,841","17,766,092","33,874,918","5,075.00","16,208.00",17.65,18.28,8.57,5.57,,"Quý 3/2021
01/07-30/09
SX/HN"
"15,715,806","6,854,357","3,510,265","2,862,269","2,834,789","35,042,535","53,046,669","18,671,296","18,127,021","34,375,373","5,382.00","16,448.00",16.80,18.21,8.30,5.45,,"Quý 2/2021
01/04-30/06
SX/HN"
"13,190,270","5,754,880","3,071,225","2,596,934","2,575,917","32,834,547","51,051,211","17,087,270","16,532,816","33,963,941","5,752.00","16,251.00",17.11,19.69,7.62,5.18,,"Quý 1/2021
01/01-31/03
SX/HN"
"14,424,795","6,658,174","2,698,989","2,236,184","2,185,170","29,665,726","48,432,481","14,785,358","14,212,646","33,647,122","6,112.00","16,102.00",17.80,15.50,6.69,4.42,,"Quý 4/2020
01/10-31/12
CKT/HN"
"15,563,158","7,266,743","3,755,880","3,138,176","3,077,141","31,541,320","50,396,458","18,704,936","18,164,146","31,691,521","6,383.00","18,199.00",17.06,20.16,9.61,6.15,,"Quý 3/2020
01/07-30/09
SX/HN"
"15,495,234","7,137,895","3,721,525","3,084,566","3,071,714","30,073,376","49,596,810","17,241,111","16,681,721","32,355,699","6,161.00","18,577.00",18.29,19.91,9.51,6.42,,"Quý 2/2020
01/04-30/06
SX/HN"
"14,153,100","6,605,812","3,362,987","2,776,807","2,764,912","26,461,639","46,073,727","13,826,963","13,314,973","32,246,764","6,061.00","18,518.00",15.01,19.62,8.92,6.09,,"Quý 1/2020
01/01-31/03
SX/HN"
"14,238,961","6,680,303","2,673,952","2,176,436","2,201,516","24,721,565","44,699,873","14,968,618","14,442,852","29,731,255","6,076.00","17,073.00",19.17,15.29,7.65,5.19,,"Quý 4/2019
01/10-31/12
CKT/HN"
"14,290,900","6,722,966","3,265,127","2,676,737","2,690,192","22,146,345","40,101,853","12,261,225","11,924,062","27,840,628","6,132.00","15,988.00",21.15,18.73,9.48,6.70,,"Quý 3/2019
01/07-30/09
SX/HN"
"14,598,961","7,013,946","3,516,776","2,903,779","2,898,738","22,089,274","40,186,476","11,252,755","10,816,139","28,933,720","6,286.00","16,615.00",19.57,19.89,10.02,7.39,,"Quý 2/2019
01/04-30/06
SX/HN"
