Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"11,323,398","3,466,567","4,181,852","3,141,883","3,566,697","822,366,981","98,545,790","567,636,430","679,429,571","153,846,616","455,817,478","142,937,410","103,331,782","22,632,666","1,531.00","18,016.00",12.90,2.52,0.43,"Quý 1/2024
01/01-31/03
CKT/HN"
"11,041,836","3,615,483","2,707,851","2,111,161","2,030,080","817,699,538","94,093,778","551,622,004","677,752,965","156,356,651","442,368,381","139,946,573","103,331,782","19,149,037","1,446.00","17,639.00",13.27,1.62,0.25,"Quý 4/2023
01/10-31/12
CKT/HN"
"8,836,748","3,194,749","3,117,132","2,427,678","2,424,746","780,212,730","98,886,732","508,798,755","670,221,182","160,069,135","421,471,748","109,991,548","66,550,770","26,803,338","1,568.00","16,384.00",13.84,2.23,0.32,"Quý 3/2023
01/07-30/09
CKT/HN"
"8,762,153","3,678,666","2,612,539","2,452,231","3,061,793","739,761,986","105,026,761","474,940,426","632,198,116","153,746,278","387,611,144","107,563,870","66,550,770","24,378,592","1,937.00","16,023.00",10.25,2.88,0.43,"Quý 2/2023
01/04-30/06
CKT/HN"
"11,323,398","3,466,567","4,181,852","3,141,883","3,566,697","822,366,981","98,545,790","567,636,430","679,429,571","153,846,616","455,817,478","142,937,410","103,331,782","22,632,666","1,531.00","18,016.00",12.90,2.52,0.43,"Quý 1/2023
01/01-31/03
CKT/HN"
"11,041,836","3,615,483","2,707,851","2,111,161","2,030,080","817,699,538","94,093,778","551,622,004","677,752,965","156,356,651","442,368,381","139,946,573","103,331,782","19,149,037","1,446.00","17,639.00",13.27,1.62,0.25,"Quý 4/2022
01/10-31/12
CKT/HN"
"8,836,748","3,194,749","3,117,132","2,427,678","2,424,746","780,212,730","98,886,732","508,798,755","670,221,182","160,069,135","421,471,748","109,991,548","66,550,770","26,803,338","1,568.00","16,384.00",13.84,2.23,0.32,"Quý 3/2022
01/07-30/09
CKT/HN"
"8,762,153","3,678,666","2,612,539","2,452,231","3,061,793","739,761,986","105,026,761","474,940,426","632,198,116","153,746,278","387,611,144","107,563,870","66,550,770","24,378,592","1,937.00","16,023.00",10.25,2.88,0.43,"Quý 2/2022
01/04-30/06
CKT/HN"
"9,533,939","3,422,919","2,549,655","1,649,719","2,535,954","677,623,733","69,935,068","450,145,682","572,526,094","139,929,833","331,184,428","105,097,639","66,550,770","19,260,758","2,221.00","15,655.00",9.48,2.43,0.39,"Quý 1/2022
01/01-31/03
CKT/HN"
"10,282,653","4,064,846","1,382,817","1,140,448","2,265,619","631,073,662","47,965,493","424,662,382","527,556,773","140,249,116","303,151,417","103,516,889","66,550,770","16,759,092","3,718.00","15,420.00",4.81,2.20,0.37,"Quý 4/2021
01/10-31/12
CKT/HN"
"10,384,901","3,536,223","4,514,000","3,542,430","3,729,883","595,901,874","47,833,645","390,122,807","493,535,620","128,584,980","277,422,332","102,366,254","44,173,464","38,375,456","4,196.00","22,873.00",4.29,3.71,0.62,"Quý 3/2021
01/07-30/09
CKT/HN"
"10,465,653","3,524,036","4,176,730","3,324,075","3,508,206","608,275,139","62,025,635","379,718,347","509,751,315","122,797,129","295,419,571","98,523,824","43,373,620","34,645,426","4,346.00","22,163.00",6.67,3.62,0.60,"Quý 2/2021
01/04-30/06
CKT/HN"
"9,887,714","2,990,976","11,146,176","8,916,823","8,671,526","563,923,685","51,850,561","362,946,441","468,721,666","103,754,590","274,148,697","95,202,019","43,373,620","31,110,740","5,135.00","21,416.00",7.25,9.56,1.56,"Quý 1/2021
01/01-31/03
CKT/HN"
"8,522,870","2,854,783","2,844,755","2,271,529","2,428,891","547,626,129","57,104,628","345,606,972","461,174,630","114,619,106","241,837,028","86,451,499","43,373,620","22,499,887","4,067.00","19,447.00",8.80,3.27,0.47,"Quý 4/2020
01/10-31/12
CKT/HN"
"7,474,232","2,455,568","2,698,371","2,160,820","2,160,820","479,431,926","38,915,525","311,073,629","417,109,431","97,888,875","239,357,320","62,322,495","23,616,370","25,909,459","5,006.00","25,234.00",13.16,3.53,0.46,"Quý 3/2020
01/07-30/09
CKT/HN"
"9,231,836","2,816,551","5,031,158","4,016,363","4,016,363","451,767,038","34,483,219","306,025,689","391,755,363","78,220,737","233,591,350","60,011,675","23,466,370","27,348,639","5,056.00","24,447.00",13.39,6.92,0.90,"Quý 2/2020
01/04-30/06
CKT/HN"
"9,119,891","2,592,035","4,006,176","3,201,810","3,201,810","436,241,186","18,789,761","296,601,536","380,245,874","70,921,932","232,426,703","55,995,312","23,466,370","20,617,174","4,628.00","22,811.00",9.65,5.89,0.75,"Quý 1/2020
01/01-31/03
CKT/HN"
"8,739,998","2,767,411","3,621,938","2,897,229","2,897,229","419,026,527","19,554,808","286,319,402","366,233,025","56,511,282","233,427,953","52,793,502","23,466,370","17,415,364","4,272.00","21,507.00",7.61,5.65,0.70,"Quý 4/2019
01/10-31/12
CKT/HN"
"7,883,845","2,786,691","2,812,644","2,251,514","2,251,514","413,892,030","26,917,855","273,164,448","364,165,757","49,543,378","241,657,962","49,726,273","23,296,370","17,719,643","4,120.00","20,398.00",5.76,4.63,0.55,"Quý 3/2019
01/07-30/09
CKT/HN"
"7,700,803","2,555,273","3,673,479","2,951,020","2,951,020","399,473,209","26,033,839","265,908,483","351,998,452","46,402,397","236,776,714","47,474,757","23,296,369","15,468,129","4,124.00","19,475.00",4.96,6.42,0.74,"Quý 2/2019
01/04-30/06
CKT/HN"
"8,021,178","3,282,646","2,911,392","2,313,995","2,313,995","393,208,887","13,323,869","259,593,869","348,685,150","63,734,621","215,715,762","44,523,737","23,296,370","14,119,962","3,747.00","18,264.00",4.52,5.34,0.60,"Quý 1/2019
01/01-31/03
CKT/HN"
"8,064,068","3,192,210","3,134,852","2,514,276","2,514,276","377,213,836","20,097,552","253,099,865","334,996,327","50,867,989","213,949,567","42,217,509","23,296,370","11,812,568","3,376.00","17,318.00",5.92,6.08,0.68,"Quý 4/2018
01/10-31/12
CKT/HN"
"7,976,967","3,122,220","2,856,406","2,282,601","2,282,601","358,236,462","16,300,937","249,770,616","317,745,218","40,102,564","205,585,380","40,491,244","24,096,960","10,585,784","3,341.00","16,482.00",6.60,5.80,0.65,"Quý 3/2018
01/07-30/09
CKT/HN"
