Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Time
"2,254,643","1,255,224","1,342,652","1,082,577","1,082,577","11,393,460","49,016,195","10,107,120","6,625,269","38,909,075","1,966.00","17,123.00",13.15,48.02,2.82,2.24,"Quý 1/2024
01/01-31/03
CKT/HN"
"2,342,672","1,268,082","1,273,970","1,067,509","1,067,494","10,036,447","47,653,731","9,826,881","4,472,954","37,826,850","1,940.00","16,647.00",12.01,45.57,2.86,2.31,"Quý 4/2023
01/10-31/12
CKT/HN"
"3,332,560","1,700,069","1,634,174","1,316,685","1,316,671","13,022,665","44,706,330","7,946,987","4,385,808","36,759,343","1,818.00","16,177.00",14.35,39.51,3.65,2.96,"Quý 3/2023
01/07-30/09
CKT/HN"
"2,172,827","1,189,382","1,269,701","1,000,603","1,000,589","12,223,421","44,194,153","8,751,496","5,253,992","35,442,657","1,588.00","15,598.00",16.87,46.05,2.86,2.26,"Quý 2/2023
01/04-30/06
CKT/HN"
"1,943,276","1,188,352","1,204,035","1,024,011","1,023,846","11,909,878","44,258,969","9,816,913","6,294,958","34,442,056","1,488.00","15,157.00",19.86,52.70,3.02,2.35,"Quý 1/2023
01/01-31/03
CKT/HN"
"2,084,406","1,052,207","994,040","791,471","790,984","10,481,806","42,658,813","9,275,421","5,818,481","33,383,392","1,204.00","14,691.00",21.85,37.97,2.40,1.91,"Quý 4/2022
01/10-31/12
CKT/HN"
"2,005,196","1,038,978","984,362","793,625","793,401","7,165,237","39,951,492","7,354,019","3,936,431","32,597,473",909.00,"14,345.00",30.80,39.58,2.46,2.02,"Quý 3/2022
01/07-30/09
CKT/HN"
"1,849,532","1,061,138","939,142","773,136","772,972","7,065,392","38,671,763","6,870,201","3,426,906","31,801,562",571.00,"13,995.00",50.04,41.80,2.46,2.02,"Quý 2/2022
01/04-30/06
CKT/HN"
"1,369,460","611,355","482,312","377,597","377,435","7,044,190","37,730,509","6,702,083","2,386,407","31,028,426",401.00,"13,655.00",83.43,27.57,1.22,1.00,"Quý 1/2022
01/01-31/03
CKT/HN"
"1,367,010","463,959","197,689","121,875","121,813","7,896,580","37,873,488","7,222,659","2,890,056","30,650,829",578.00,"13,489.00",52.03,8.92,0.40,0.32,"Quý 4/2021
01/10-31/12
CKT/HN"
"787,355","130,349","35,500","24,376","24,253","5,911,228","37,746,326","7,217,370","2,857,864","30,528,956",954.00,"13,435.00",30.51,3.10,0.08,0.06,"Quý 3/2021
01/07-30/09
CKT/HN"
"1,510,391","629,429","464,997","387,627","387,511","5,708,358","37,913,627","7,409,046","3,040,554","30,504,581","1,195.00","13,424.00",26.57,25.66,1.28,1.00,"Quý 2/2021
01/04-30/06
CKT/HN"
"2,226,386","1,168,369","959,727","781,136","780,935","5,936,580","39,780,187","9,663,235","5,266,409","30,116,952","1,175.00","13,254.00",27.82,35.09,2.63,1.96,"Quý 1/2021
01/01-31/03
CKT/HN"
"3,252,725","1,571,801","1,185,907","974,551","974,399","7,099,011","39,769,477","10,433,659","3,490,911","29,335,818","1,048.00","12,910.00",29.96,29.96,3.38,2.44,"Quý 4/2020
01/10-31/12
CKT/HN"
"1,760,351","844,784","672,678","572,392","572,265","9,770,626","40,079,176","11,717,910","4,781,389","28,361,266","1,001.00","12,481.00",27.57,32.52,2.04,1.45,"Quý 3/2020
01/07-30/09
CKT/HN"
"1,630,177","645,793","467,468","343,168","343,107","8,162,386","38,760,884","10,972,010","5,866,685","27,788,874","1,057.00","11,933.00",23.46,21.05,1.24,0.91,"Quý 2/2020
01/04-30/06
CKT/HN"
"1,685,666","758,910","575,395","492,198","492,085","5,287,693","36,915,583","9,469,878","5,344,909","27,445,705","1,179.00","12,078.00",16.24,29.20,1.81,1.35,"Quý 1/2020
01/01-31/03
CKT/HN"
"2,784,403","1,396,047","1,098,122","880,230","880,004","4,368,190","35,822,533","8,872,448","4,767,529","26,950,085","1,224.00","11,860.00",27.78,31.61,3.20,2.40,"Quý 4/2019
01/10-31/12
CKT/HN"
"2,208,069","1,077,930","890,105","716,802","716,573","5,636,025","37,585,106","9,560,993","5,655,212","28,024,113","1,168.00","12,034.00",28.34,32.46,2.59,1.92,"Quý 3/2019
01/07-30/09
CKT/HN"
